# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
	🖐🏾;លើកម្រាមដៃប្រាំ: សម្បុរខ្មៅល្មម;​ បាតដៃ|ប្រាំ|ម្រាមដៃ|ម្រាមប្រាំ|លើកម្រាមដៃប្រាំ|លើកម្រាមដៃប្រាំ: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	🖐🏿;លើកម្រាមដៃប្រាំ: សម្បុរខ្មៅ;​ បាតដៃ|ប្រាំ|ម្រាមដៃ|ម្រាមប្រាំ|លើកម្រាមដៃប្រាំ|លើកម្រាមដៃប្រាំ: សម្បុរខ្មៅ|សម្បុរខ្មៅ
✋;លើកដៃ;បាតដៃ|លើកដៃ
	✋🏻;លើកដៃ: សម្បុរស;បាតដៃ|លើកដៃ|លើកដៃ: សម្បុរស|សម្បុរស
	✋🏼;លើកដៃ: សម្បុរសល្មម;បាតដៃ|លើកដៃ|លើកដៃ: សម្បុរសល្មម|សម្បុរសល្មម
	✋🏽;លើកដៃ: សម្បុរស្រអែម;បាតដៃ|លើកដៃ|លើកដៃ: សម្បុរស្រអែម|សម្បុរស្រអែម
	✋🏾;លើកដៃ: សម្បុរខ្មៅល្មម;បាតដៃ|លើកដៃ|លើកដៃ: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	✋🏿;លើកដៃ: សម្បុរខ្មៅ;បាតដៃ|លើកដៃ|លើកដៃ: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🖖;ផ្គុំម្រាមដៃជាពីរគូ;ផ្គុំម្រាមដៃជាពីរគូ|ម្រាមផ្គុំ
	🖖🏻;ផ្គុំម្រាមដៃជាពីរគូ: សម្បុរស;ផ្គុំម្រាមដៃជាពីរគូ|ផ្គុំម្រាមដៃជាពីរគូ: សម្បុរស|ម្រាមផ្គុំ|សម្បុរស
	🖖🏼;ផ្គុំម្រាមដៃជាពីរគូ: សម្បុរសល្មម;ផ្គុំម្រាមដៃជាពីរគូ|ផ្គុំម្រាមដៃជាពីរគូ: សម្បុរសល្មម|ម្រាមផ្គុំ|សម្បុរសល្មម
	🖖🏽;ផ្គុំម្រាមដៃជាពីរគូ: សម្បុរស្រអែម;ផ្គុំម្រាមដៃជាពីរគូ|ផ្គុំម្រាមដៃជាពីរគូ: សម្បុរស្រអែម|ម្រាមផ្គុំ|សម្បុរស្រអែម
	🖖🏾;ផ្គុំម្រាមដៃជាពីរគូ: សម្បុរខ្មៅល្មម;ផ្គុំម្រាមដៃជាពីរគូ|ផ្គុំម្រាមដៃជាពីរគូ: សម្បុរខ្មៅល្មម|ម្រាមផ្គុំ|សម្បុរខ្មៅល្មម
	🖖🏿;ផ្គុំម្រាមដៃជាពីរគូ: សម្បុរខ្មៅ;ផ្គុំម្រាមដៃជាពីរគូ|ផ្គុំម្រាមដៃជាពីរគូ: សម្បុរខ្មៅ|ម្រាមផ្គុំ|សម្បុរខ្មៅ
🫱;សញ្ញាដៃចង្អុលទៅខាងស្ដាំ;ទៅខាងស្ដាំ|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងស្ដាំ|ស្ដាំ
	🫱🏻;សញ្ញាដៃចង្អុលទៅខាងស្ដាំ: សម្បុរស;ទៅខាងស្ដាំ|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងស្ដាំ|សញ្ញាដៃចង្អុលទៅខាងស្ដាំ: សម្បុរស|សម្បុរស|ស្ដាំ
	🫱🏼;សញ្ញាដៃចង្អុលទៅខាងស្ដាំ: សម្បុរសល្មម;ទៅខាងស្ដាំ|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងស្ដាំ|សញ្ញាដៃចង្អុលទៅខាងស្ដាំ: សម្បុរសល្មម|សម្បុរសល្មម|ស្ដាំ
	🫱🏽;សញ្ញាដៃចង្អុលទៅខាងស្ដាំ: សម្បុរស្រអែម;ទៅខាងស្ដាំ|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងស្ដាំ|សញ្ញាដៃចង្អុលទៅខាងស្ដាំ: សម្បុរស្រអែម|សម្បុរស្រអែម|ស្ដាំ
	🫱🏾;សញ្ញាដៃចង្អុលទៅខាងស្ដាំ: សម្បុរខ្មៅល្មម;ទៅខាងស្ដាំ|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងស្ដាំ|សញ្ញាដៃចង្អុលទៅខាងស្ដាំ: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|ស្ដាំ
	🫱🏿;សញ្ញាដៃចង្អុលទៅខាងស្ដាំ: សម្បុរខ្មៅ;ទៅខាងស្ដាំ|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងស្ដាំ|សញ្ញាដៃចង្អុលទៅខាងស្ដាំ: សម្បុរខ្មៅ|សម្បុរខ្មៅ|ស្ដាំ
🫲;សញ្ញាដៃចង្អុលទៅខាងឆ្វេង;ឆ្វេង|ទៅខាងឆ្វេង|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងឆ្វេង
	🫲🏻;សញ្ញាដៃចង្អុលទៅខាងឆ្វេង: សម្បុរស;ឆ្វេង|ទៅខាងឆ្វេង|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងឆ្វេង|សញ្ញាដៃចង្អុលទៅខាងឆ្វេង: សម្បុរស|សម្បុរស
	🫲🏼;សញ្ញាដៃចង្អុលទៅខាងឆ្វេង: សម្បុរសល្មម;ឆ្វេង|ទៅខាងឆ្វេង|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងឆ្វេង|សញ្ញាដៃចង្អុលទៅខាងឆ្វេង: សម្បុរសល្មម|សម្បុរសល្មម
	🫲🏽;សញ្ញាដៃចង្អុលទៅខាងឆ្វេង: សម្បុរស្រអែម;ឆ្វេង|ទៅខាងឆ្វេង|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងឆ្វេង|សញ្ញាដៃចង្អុលទៅខាងឆ្វេង: សម្បុរស្រអែម|សម្បុរស្រអែម
	🫲🏾;សញ្ញាដៃចង្អុលទៅខាងឆ្វេង: សម្បុរខ្មៅល្មម;ឆ្វេង|ទៅខាងឆ្វេង|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងឆ្វេង|សញ្ញាដៃចង្អុលទៅខាងឆ្វេង: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	🫲🏿;សញ្ញាដៃចង្អុលទៅខាងឆ្វេង: សម្បុរខ្មៅ;ឆ្វេង|ទៅខាងឆ្វេង|ប្រអប់ដៃ|សញ្ញាដៃចង្អុលទៅខាងឆ្វេង|សញ្ញាដៃចង្អុលទៅខាងឆ្វេង: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🫳;សញ្ញាផ្កាប់បាតដៃចុះក្រោម;ច្រានចោល|បដិសេធ|សញ្ញាផ្កាប់បាតដៃចុះក្រោម
	🫳🏻;សញ្ញាផ្កាប់បាតដៃចុះក្រោម: សម្បុរស;ច្រានចោល|បដិសេធ|សញ្ញាផ្កាប់បាតដៃចុះក្រោម|សញ្ញាផ្កាប់បាតដៃចុះក្រោម: សម្បុរស|សម្បុរស
	🫳🏼;សញ្ញាផ្កាប់បាតដៃចុះក្រោម: សម្បុរសល្មម;ច្រានចោល|បដិសេធ|សញ្ញាផ្កាប់បាតដៃចុះក្រោម|សញ្ញាផ្កាប់បាតដៃចុះក្រោម: សម្បុរសល្មម|សម្បុរសល្មម
	🫳🏽;សញ្ញាផ្កាប់បាតដៃចុះក្រោម: សម្បុរស្រអែម;ច្រានចោល|បដិសេធ|សញ្ញាផ្កាប់បាតដៃចុះក្រោម|សញ្ញាផ្កាប់បាតដៃចុះក្រោម: សម្បុរស្រអែម|សម្បុរស្រអែម
	🫳🏾;សញ្ញាផ្កាប់បាតដៃចុះក្រោម: សម្បុរខ្មៅល្មម;ច្រានចោល|បដិសេធ|សញ្ញាផ្កាប់បាតដៃចុះក្រោម|សញ្ញាផ្កាប់បាតដៃចុះក្រោម: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	🫳🏿;សញ្ញាផ្កាប់បាតដៃចុះក្រោម: សម្បុរខ្មៅ;ច្រានចោល|បដិសេធ|សញ្ញាផ្កាប់បាតដៃចុះក្រោម|សញ្ញាផ្កាប់បាតដៃចុះក្រោម: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🫴;សញ្ញាផ្ងារបាតដៃឡើងលើ;ចាប់យក|ផ្ដល់|មក|សញ្ញាផ្ងារបាតដៃឡើងលើ|ឱ្យ
	🫴🏻;សញ្ញាផ្ងារបាតដៃឡើងលើ: សម្បុរស;ចាប់យក|ផ្ដល់|មក|សញ្ញាផ្ងារបាតដៃឡើងលើ|សញ្ញាផ្ងារបាតដៃឡើងលើ: សម្បុរស|សម្បុរស|ឱ្យ
	🫴🏼;សញ្ញាផ្ងារបាតដៃឡើងលើ: សម្បុរសល្មម;ចាប់យក|ផ្ដល់|មក|សញ្ញាផ្ងារបាតដៃឡើងលើ|សញ្ញាផ្ងារបាតដៃឡើងលើ: សម្បុរសល្មម|សម្បុរសល្មម|ឱ្យ
	🫴🏽;សញ្ញាផ្ងារបាតដៃឡើងលើ: សម្បុរស្រអែម;ចាប់យក|ផ្ដល់|មក|សញ្ញាផ្ងារបាតដៃឡើងលើ|សញ្ញាផ្ងារបាតដៃឡើងលើ: សម្បុរស្រអែម|សម្បុរស្រអែម|ឱ្យ
	🫴🏾;សញ្ញាផ្ងារបាតដៃឡើងលើ: សម្បុរខ្មៅល្មម;ចាប់យក|ផ្ដល់|មក|សញ្ញាផ្ងារបាតដៃឡើងលើ|សញ្ញាផ្ងារបាតដៃឡើងលើ: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|ឱ្យ
	🫴🏿;សញ្ញាផ្ងារបាតដៃឡើងលើ: សម្បុរខ្មៅ;ចាប់យក|ផ្ដល់|មក|សញ្ញាផ្ងារបាតដៃឡើងលើ|សញ្ញាផ្ងារបាតដៃឡើងលើ: សម្បុរខ្មៅ|សម្បុរខ្មៅ|ឱ្យ
🫷;ដៃរុញទៅខាងឆ្វេង;ឈប់|ដៃរុញទៅខាងឆ្វេង|ទះដៃគ្នា|ទៅឆ្វេង|បដិសេធ|រង់ចាំ|រុញ
	🫷🏻;ដៃរុញទៅខាងឆ្វេង: សម្បុរស;ឈប់|ដៃរុញទៅខាងឆ្វេង|ដៃរុញទៅខាងឆ្វេង: សម្បុរស|ទះដៃគ្នា|ទៅឆ្វេង|បដិសេធ|រង់ចាំ|រុញ|សម្បុរស
	🫷🏼;ដៃរុញទៅខាងឆ្វេង: សម្បុរសល្មម;ឈប់|ដៃរុញទៅខាងឆ្វេង|ដៃរុញទៅខាងឆ្វេង: សម្បុរសល្មម|ទះដៃគ្នា|ទៅឆ្វេង|បដិសេធ|រង់ចាំ|រុញ|សម្បុរសល្មម
	🫷🏽;ដៃរុញទៅខាងឆ្វេង: សម្បុរស្រអែម;ឈប់|ដៃរុញទៅខាងឆ្វេង|ដៃរុញទៅខាងឆ្វេង: សម្បុរស្រអែម|ទះដៃគ្នា|ទៅឆ្វេង|បដិសេធ|រង់ចាំ|រុញ|សម្បុរស្រអែម
	🫷🏾;ដៃរុញទៅខាងឆ្វេង: សម្បុរខ្មៅល្មម;ឈប់|ដៃរុញទៅខាងឆ្វេង|ដៃរុញទៅខាងឆ្វេង: សម្បុរខ្មៅល្មម|ទះដៃគ្នា|ទៅឆ្វេង|បដិសេធ|រង់ចាំ|រុញ|សម្បុរខ្មៅល្មម
	🫷🏿;ដៃរុញទៅខាងឆ្វេង: សម្បុរខ្មៅ;ឈប់|ដៃរុញទៅខាងឆ្វេង|ដៃរុញទៅខាងឆ្វេង: សម្បុរខ្មៅ|ទះដៃគ្នា|ទៅឆ្វេង|បដិសេធ|រង់ចាំ|រុញ|សម្បុរខ្មៅ
🫸;ដៃរុញទៅខាងស្ដាំ;ឈប់|ដៃរុញទៅខាងស្ដាំ|ទះដៃគ្នា|ទៅស្ដាំ|បដិសេធ|រង់ចាំ|រុញ
	🫸🏻;ដៃរុញទៅខាងស្ដាំ: សម្បុរស;ឈប់|ដៃរុញទៅខាងស្ដាំ|ដៃរុញទៅខាងស្ដាំ: សម្បុរស|ទះដៃគ្នា|ទៅស្ដាំ|បដិសេធ|រង់ចាំ|រុញ|សម្បុរស
	🫸🏼;ដៃរុញទៅខាងស្ដាំ: សម្បុរសល្មម;ឈប់|ដៃរុញទៅខាងស្ដាំ|ដៃរុញទៅខាងស្ដាំ: សម្បុរសល្មម|ទះដៃគ្នា|ទៅស្ដាំ|បដិសេធ|រង់ចាំ|រុញ|សម្បុរសល្មម
