# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
😍;يۈرەك كۆزلۈك خۇش چىراي;چىراي|سۆيگۈ|كۆز|كۈلۈمسىرەش|يۈرەك كۆزلۈك خۇش چىراي
🤩;يۇلتۇز كۆرۈش;چىراي|چىش|كۆز|يۇلتۇز|يۇلتۇز كۆرۈش
😘;سۆيگۈ ئەۋەتكەن چىراي;چىراي|سۆيگۈ ئەۋەتكەن چىراي|سۆيۈش
😗;سۆيگەن چىراي;چىراي|سۆيگەن چىراي|سۆيۈش
☺️;كۈلۈمسىرىگەن چىراي;ئازادە|ئەركىن|چىراي|كۈلۈمسىرەش|كۈلۈمسىرىگەن چىراي
😚;كۆزىنى يۇمۇپ سۆيگەن چىراي;چىراي|سۆيۈش|كۆز|كۆزىنى يۇمۇپ سۆيگەن چىراي|يېپىق
😙;خۇش كۆزلۈك سۆيگەن چىراي;چىراي|خۇش كۆزلۈك سۆيگەن چىراي|سۆيۈش|كۆز|كۈلۈمسىرەش
🥲;;
😋;شۆلگەيلىك چىراي;پاھ|تەملىك|چىراي|شۆلگەي|شۆلگەيلىك چىراي|كۈلۈمسىرەش|ھىم
😛;تىلى چىقىپ قالغان چىراي;تىل|تىلى چىقىپ قالغان چىراي|چىراي
😜;تىلىنى چىقىرىپ كۆز قىسقان چىراي ئىپادىسى;تىل|تىلىنى چىقىرىپ كۆز قىسقان چىراي ئىپادىسى|چاقچاق|چىراي|قىسىش|كۆز
🤪;ساراڭ چىراي;چوڭ|ساراڭ چىراي|كۆز|كىچىك
😝;كۆزىنى يۇمۇپ تىلىنى چىقارغان چىراي;تەم|تىل|چىراي|قورقۇنچلۇق|كۆز|كۆزىنى يۇمۇپ تىلىنى چىقارغان چىراي
🤑;پۇل چىراي;ئېغىز|پۇل|چىراي
🤗;قۇچاقلىغان چىراي;چىراي|قۇچاق|قۇچاقلاش|قۇچاقلىغان چىراي
🤭;ئاغزىنى تۇتقان چىراي;ئاغزىنى تۇتقان چىراي|ۋارقىراش
🫢;;
🫣;;
🤫;جىم چىراي;ئۈششش|تىنچ|جىم چىراي
🤔;ئويچان چىراي;ئويچان چىراي|ئويلاش|چىراي
🫡;;
🤐;سىيرىتما چىراي;ئېغىز|چىراي|سىيرتما|سىيرىتما چىراي
🤨;قېشى ئۆرلىگەن چىراي;ئىشەنمەسلىك|قېشى ئۆرلىگەن چىراي|گۇمان
😐;نورمال چىراي;ئۆلۈك|چىراي|نورمال
😑;ئىپادىسىز چىراي;ئىپادە يوق|ئىپادىسىز|ئىپادىلىك|چىراي
😶;ئېغىزسىز چىراي;ئېغىز|ئېغىزسىز چىراي|تىنچ|جىم|چىراي
🫥;;
😶‍🌫️;;
😏;ھېجايغان چىراي;چىراي|ھېجايغان چىراي|ھېجىيىش
😒;مۇز چىراي;چىراي|خاپا|مۇز
🙄;كۆزى پىرقىرىغان چىراي;ئۆرۈش|چىراي|كۆز|كۆزى پىرقىرىغان چىراي
😬;چىشى قېيىشقان چىراي;چىراي|چىشى قېيىشقان چىراي|قېيىشقان
😮‍💨;;
🤥;يالغانچى چىراي;پىنوچىيو|چىراي|يالغانچى
🫨;;
🙂‍↔️;;
🙂‍↕️;;
😌;خاتىرجەم چىراي;چىراي|خاتىرجەم
😔;ئويغا چۆمگەن چىراي;ئويغا چۆمگەن چىراي|چۆمگەن|چىراي|سۇلغۇن
😪;ئۇيقۇ چىراي;ئۇخلاش|ئۇيقۇ چىراي|چىراي
🤤;شۆلگەي ئاققان چىراي;چىراي|شۆلگەي|شۆلگەي ئاققان چىراي
😴;ئۇخلاق چىراي;ئۇخخخ|ئۇخلاش|ئۇخلاق چىراي|چىراي
😷;ماسكىلىق چىراي;چىراي|دوختۇر|دورا|سوغۇق|كېسەل|ماسكا|ماسكىلىق چىراي
🤒;تېرمومېتىرلىق چىراي;ئاغرىق|تېرمومېتىر|تېرمومېتىرلىق چىراي|چىراي|كېسەل
🤕;تېڭىق چىراي;تېڭىق|چىراي|يارا|يارىدار
🤢;كۆڭلى ئېلىشقان چىراي;چىراي|قۇسۇش|كۆڭلى ئېلىشقان چىراي|كۆڭلى ئېلىشىش
🤮;قۇسقان چىراي;قۇسقان چىراي|قۇسۇش|كېسەل
🤧;چۈشكۈرگەن چىراي;چۈشكۈرگەن چىراي|چۈشكۈرۈش|چىراي|ماڭقا
🥵;;
🥶;;
🥴;;
😵;باش قايغان چىراي;باش قايغان|باش قايغان چىراي|چىراي
😵‍💫;;
🤯;بېشى پارتلاش;بېشى پارتلاش|داڭ قاتقان
🤠;پادىچى قالپاقلىق چىراي;پادىچى قالپاقلىق چىراي|پادىچى قىز|پادىچى يىگىت|قالپاق|يۈز
🥳;;
🥸;;
😎;كۆزەينەك تاقىغان خۇش چىراي;ئەينەك|پەيزى|چىراي|كۆز|كۆزەينەك|كۆزەينەك تاقىغان خۇش چىراي|كۈلۈمسىرەش|كۈن|كۈن ئەينىكى|يورۇق
🤓;دۆت چىراي;ئەخمەق|چىراي|دۆت
🧐;يەكچەشمە چىراي;دىمىق|يەكچەشمە چىراي
😕;ھاڭۋاققان چىراي;چىراي|ھاڭۋاققان
🫤;;
😟;ئەنسىز چىراي;ئەنسىرەش|ئەنسىز چىراي|چىراي
🙁;سەل قوشۇمىلىق چىراي;سەل قوشۇمىلىق چىراي|قوشۇما|كۆز
☹️;قوشۇما تۈرگەن چىراي;قوشۇما|قوشۇما تۈرگەن چىراي|كۆز
😮;ئاغزى ئوچۇق چىراي;ئاغزى ئوچۇق چىراي|ئوچۇق|ئىچ ئاغرىتىش|ئېغىز|چىراي
😯;جىمجىت چىراي;جىم|جىمجىت چىراي|چىراي|قاتقان|ھەيران
😲;ھەيران چىراي;پۈتۈنلەي|چىراي|قاتقان|ھەيران
😳;قىزارغان چىراي;چىراي|قىزارغان|ھاڭۋاققان
🥺;;
🥹;;
😦;ئاغزىنى ئېچىپ قوشۇمىسىنى تۈرگەن چىراي;ئاغزىنى ئېچىپ قوشۇمىسىنى تۈرگەن چىراي|ئوچۇق|ئېغىز|چىراي|قوشۇما
😧;ئازابلىق چىراي;ئازابلىق|چىراي
😨;قورقۇنچلۇق چىراي;چۆچۈش|چىراي|قورققان|قورقۇنچ|قورقۇنچلۇق چىراي
😰;ئاغزى ئوچۇق سوغۇق تەرلىگەن چىراي;ئاغزى ئوچۇق سوغۇق تەرلىگەن چىراي|ئالدىراش|ئوچۇق|تەر|چىراي|سوغۇق|كۆك
😥;ئۈمىدسىز ئەمما خاتىرجەم چىراي;ئەركىن|ئۈمىدسىز|ئۈمىدسىز ئەمما خاتىرجەم چىراي|چىراي|ھەي
😢;يىغلىغان چىراي;چىراي|غەمكىن|ياش|يىغا|يىغلىغان چىراي
😭;ئۆكسۈپ يىغلىغان چىراي;ئۆكسۈپ يىغلىغان چىراي|ئۆكسۈش|چىراي|غەمكىن|ياش|يىغا
😱;قورقۇنچلۇق چىرقىرىغان چىراي;چىراي|چىرقىراش|قارغىش|قورققان|قورقۇنچ|قورقۇنچلۇق چىرقىرىغان چىراي
😖;بىزار چىراي;بىزار|چىراي
😣;كەسكىن چىراي;چىراي|كەسكىن
😞;ئۈمىدسىز چىراي;ئۈمىدسىز|چىراي
😓;سوغۇق تەرلىك چىراي;تەر|چىراي|سوغۇق|سوغۇق تەرلىك چىراي
😩;ھارغان چىراي;چارچاش|چىراي|ھارغان چىراي|ھارغىن
😫;ھارغىن چىراي;چىراي|ھارغىن
🥱;;
😤;بۇرنىدىن ھور چىققان چىراي;ئۇتۇق|بۇرنىدىن ھور چىققان چىراي|چىراي|غالىب
😡;ھومايغان چىراي;ئاچچىقلانغان|تۈرۈلگەن|چىراي|خاپا|قىزىل|ھومايغان
😠;خاپا چىراي;ئاچچىقلانغان|چىراي|خاپا
🤬;ئاغزىدا بەلگە چىراي;ئاغزىدا بەلگە چىراي|قارغاش
😈;مۈڭگۈزلۈك خۇش چىراي;چۆچەك|چىراي|فانتازىيە|كۈلۈمسىرەش|مۈڭگۈز|مۈڭگۈزلۈك خۇش چىراي
👿;مۈڭگۈزلۈك خاپا چىراي;چۆچەك|چىراي|رەزىل|فانتازىيە|كەپسىز|مۈڭگۈزلۈك خاپا چىراي|يالماۋۇز
💀;باش سۆڭەك;ئۆلۈم|باش سۆڭەك|چۆچەك|چىراي|يالماۋۇز
☠️;باش سۆڭەك ۋە ئۇستىخان;ئۆلۈم|باش سۆڭەك|باش سۆڭەك ۋە ئۇستىخان|چىراي|سۆڭەك|يالماۋۇز
💩;پوق;پوق|تېزەك|چىچىش|چىراي|كۈلكىلىك|يالماۋۇز
🤡;سېرىكچى چىراي;چىراي|سېرىكچى
👹;دىۋە;چۆچەك|چىراي|دىۋە|فانتازىيە|مەخلۇق|يالماۋۇز
👺;جىن;جىن|چۆچەك|چىراي|فانتازىيە|مەخلۇق|يالماۋۇز
👻;ئالۋاستى;ئالۋاستى|چۆچەك|چىراي|فانتازىيە|مەخلۇق|يالماۋۇز
👽;تاشقى پىلانېتلىقلار;ئۇچار تەخسە|تاشقى پىلانېت|تاشقى پىلانېتلىقلار|چۆچەك|چىراي|فانتازىيە|مەخلۇق|يالماۋۇز
👾;تاشقى پىلانېتلىق يالماۋۇز;ئۇچار تەخسە|تاشقى پىلانېتلىق|تاشقى پىلانېتلىق يالماۋۇز|چۆچەك|چىراي|فانتازىيە|مەخلۇق|يالماۋۇز
🤖;روبوت چىراي;چىراي|روبوت|يالماۋۇز
😺;ئاغزى ئوچۇق خۇش مۈشۈك چىراي;ئاغزى ئوچۇق خۇش مۈشۈك چىراي|ئوچۇق|ئېغىز|چىراي|كۈلۈمسىرەش|مۈشۈك
😸;چىشىنى چىقارغان خۇش كۆزلۈك مۈشۈك چىراي;چىراي|چىش|چىشىنى چىقارغان خۇش كۆزلۈك مۈشۈك چىراي|كۆز|كۈلۈمسىرەش|مۈشۈك
😹;خۇش ياشلىق مۈشۈك چىراي;چىراي|خۇش|خۇش ياشلىق مۈشۈك چىراي|مۈشۈك|ياش
😻;يۈرەك كۆزلۈك خۇش مۈشۈك چىراي;چىراي|سۆيگۈ|كۆز|كۈلۈمسىرەش|مۈشۈك|يۈرەك كۆزلۈك خۇش مۈشۈك چىراي
😼;ئاچچىق كۈلكىلىك مۈشۈك چىراي;ئاچچىق|ئاچچىق كۈلكىلىك مۈشۈك چىراي|تەنە|چىراي|كۈلۈمسىرەش|مۈشۈك
😽;كۆزىنى يۇمۇپ سۆيگەن مۈشۈك چىراي;چىراي|سۆيۈش|كۆز|كۆزىنى يۇمۇپ سۆيگەن مۈشۈك چىراي|مۈشۈك
🙀;ھارغان مۈشۈك چىراي;ئوھ|چىراي|مۈشۈك|ھارغان|ھەيران
😿;يىغلىغان مۈشۈك چىراي;چىراي|غەمكىن|مۈشۈك|ياش|يىغلىغان مۈشۈك چىراي
😾;ھومايغان مۈشۈك چىراي;چىراي|مۈشۈك|ھومايغان
🙈;ياماننى كۆرمەس مايمۇن;ئەمەس|ئىشارە|چەكلەنگەن|چىراي|رەزىل|قىلماڭ|كۆرۈش|مايمۇن|ياق|ياماننى كۆرمەس مايمۇن
🙉;ياماننى ئاڭلىماس مايمۇن;ئاڭلاش|ئەمەس|ئىشارە|چەكلەنگەن|چىراي|رەزىل|قىلماڭ|مايمۇن|ياق|ياماننى ئاڭلىماس مايمۇن
🙊;يامان سۆزلىمەس مايمۇن;ئەمەس|ئىشارە|چەكلەنگەن|چىراي|رەزىل|سۆزلەش|سۆزلىمەڭ|مايمۇن|ياق|يامان سۆزلىمەس مايمۇن
💌;سۆيگۈ خېتى;خەت|سالامخەت|سۆيگۈ|سۆيگۈ خېتى|يۈرەك
💘;ئوقلۇق يۈرەك;ئوقلۇق يۈرەك|ئوقياچى|كۆرسەتكۈچ
💝;باغلاق يۈرەك;باغلاق يۈرەك|تاسما|يۈرەك
💖;چاقنىغان يۈرەك;چاقنىغان يۈرەك|ھاياجان|يالقۇن
💗;ئۆسۈۋاتقان يۈرەك;ئۆسكەن|ئۆسۈۋاتقان يۈرەك|جىددىيلەشكەن|سوقۇش|ھاياجان
💓;سوقۇۋاتقان يۈرەك;سوقۇش|سوقۇۋاتقان|سوقۇۋاتقان يۈرەك|يۈرەك سوقۇشى
💞;ئايلانغان يۈرەك;ئايلانغان يۈرەك|ئايلىنىش
💕;قوش يۈرەك;سۆيگۈ|قوش يۈرەك
💟;يۈرەك بېزەك;يۈرەك|يۈرەك بېزەك
❣️;يۈرەكلىك ئۈندەش;ئۈندەش|بەلگە|تىنىش|يۈرەكلىك ئۈندەش
💔;سۇلغان يۈرەك;سۇلغان يۈرەك|سۇنغان|سۇنۇش
❤️‍🔥;;
❤️‍🩹;;
❤️;قىزىل يۈرەك;قىزىل يۈرەك|يۈرەك
🩷;;
🧡;قىزغۇچ يۈرەك;قىزغۇچ رەڭ|قىزغۇچ يۈرەك
💛;سېرىق يۈرەك;سېرىق|سېرىق يۈرەك
💚;يېشىل يۈرەك;يېشىل|يېشىل يۈرەك
💙;كۆك يۈرەك;كۆك|كۆك يۈرەك
🩵;;
💜;سۆسۈن يۈرەك;سۆسۈن|سۆسۈن يۈرەك
🤎;;
🖤;قارا يۈرەك;رەزىل|قارا|قارا يۈرەك|يامان
🩶;;
🤍;;
💋;سۆيگەن ئىز;سۆۈش|سۆيگەن ئىز|لەۋ
💯;يۈز نومۇر;100|تولۇق|نومۇر|يۈز
💢;ئاچچىق بەلگىسى;ئاچچىق بەلگىسى|خاپا|ساراڭ|كۈلكە
💥;سوقۇلۇش;سوقۇلۇش|كۈلكىلىك|گۈلدۈر-قاراس
💫;قېيىش;قېيىش|كۈلكىلىك|يۇلتۇز
💦;تەر تامچىسى;تەر|تەر تامچىسى|چاچراش|كۈلكىلىك
💨;قۇيۇندەك كېتىش;قۇيۇن|قۇيۇندەك كېتىش|كۈلكىلىك|يۈگۈرۈش
🕳️;تۆشۈك;تۆشۈك
💬;سۆز رامكىسى;دىيالوگ|سۆز رامكىسى|سۆزلەش|شار|كۆپۈك|كۈلكىلىك
👁️‍🗨️;شاردىكى كۆز;دىيالوگ|شاردىكى كۆز|كۆز|گۇۋاھچى
🗨️;سول سۆز رامكىسى;دىيالوگ|سول سۆز رامكىسى|سۆزلەش
🗯️;ئوڭ خاپىلىق كۆپۈكچىسى;ئوڭ خاپىلىق كۆپۈكچىسى|خاپا|ساراڭ|شار|كۆپۈك
💭;ئوي شارچىسى;ئوي شارچىسى|ئويلاش|شار|كۆپۈك|كۈلكىلىك
💤;ئۇخخخ;ئۇخخخ|ئۇخلاش|كۈلكە

[people_body]
👋;قول پۇلاڭلىتىش;پۇلاڭلاش|پۇلاڭلىتىش|قول
	👋🏻;قول پۇلاڭلىتىش: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|پۇلاڭلاش|پۇلاڭلىتىش|قول|قول پۇلاڭلىتىش: ئاچ تېرە رەڭ
	👋🏼;قول پۇلاڭلىتىش: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|پۇلاڭلاش|پۇلاڭلىتىش|قول|قول پۇلاڭلىتىش: ئارا ئاچ تېرە رەڭگى
	👋🏽;قول پۇلاڭلىتىش: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|پۇلاڭلاش|پۇلاڭلىتىش|قول|قول پۇلاڭلىتىش: ئارا تېرە رەڭگى
	👋🏾;قول پۇلاڭلىتىش: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|پۇلاڭلاش|پۇلاڭلىتىش|قول|قول پۇلاڭلىتىش: ئارا توق تېرە رەڭگى
	👋🏿;قول پۇلاڭلىتىش: توق تېرە رەڭ;پۇلاڭلاش|پۇلاڭلىتىش|توق تېرە رەڭ|قول|قول پۇلاڭلىتىش: توق تېرە رەڭ
🤚;كۆتۈرگەن قولنىڭ ئارقىسى;قارا قول|كۆتۈرگەن|كۆتۈرگەن قولنىڭ ئارقىسى
	🤚🏻;كۆتۈرگەن قولنىڭ ئارقىسى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|قارا قول|كۆتۈرگەن|كۆتۈرگەن قولنىڭ ئارقىسى|كۆتۈرگەن قولنىڭ ئارقىسى: ئاچ تېرە رەڭ
	🤚🏼;كۆتۈرگەن قولنىڭ ئارقىسى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|قارا قول|كۆتۈرگەن|كۆتۈرگەن قولنىڭ ئارقىسى|كۆتۈرگەن قولنىڭ ئارقىسى: ئارا ئاچ تېرە رەڭگى
	🤚🏽;كۆتۈرگەن قولنىڭ ئارقىسى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|قارا قول|كۆتۈرگەن|كۆتۈرگەن قولنىڭ ئارقىسى|كۆتۈرگەن قولنىڭ ئارقىسى: ئارا تېرە رەڭگى
	🤚🏾;كۆتۈرگەن قولنىڭ ئارقىسى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|قارا قول|كۆتۈرگەن|كۆتۈرگەن قولنىڭ ئارقىسى|كۆتۈرگەن قولنىڭ ئارقىسى: ئارا توق تېرە رەڭگى
	🤚🏿;كۆتۈرگەن قولنىڭ ئارقىسى: توق تېرە رەڭ;توق تېرە رەڭ|قارا قول|كۆتۈرگەن|كۆتۈرگەن قولنىڭ ئارقىسى|كۆتۈرگەن قولنىڭ ئارقىسى: توق تېرە رەڭ
🖐️;بارماقلىرىنى يېيىپ كۆتۈرگەن قول;بارماق|بارماقلىرىنى يېيىپ كۆتۈرگەن قول|قول|يايغان
	🖐🏻;بارماقلىرىنى يېيىپ كۆتۈرگەن قول: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|بارماق|بارماقلىرىنى يېيىپ كۆتۈرگەن قول|بارماقلىرىنى يېيىپ كۆتۈرگەن قول: ئاچ تېرە رەڭ|قول|يايغان
	🖐🏼;بارماقلىرىنى يېيىپ كۆتۈرگەن قول: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|بارماق|بارماقلىرىنى يېيىپ كۆتۈرگەن قول|بارماقلىرىنى يېيىپ كۆتۈرگەن قول: ئارا ئاچ تېرە رەڭگى|قول|يايغان
	🖐🏽;بارماقلىرىنى يېيىپ كۆتۈرگەن قول: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|بارماق|بارماقلىرىنى يېيىپ كۆتۈرگەن قول|بارماقلىرىنى يېيىپ كۆتۈرگەن قول: ئارا تېرە رەڭگى|قول|يايغان
	🖐🏾;بارماقلىرىنى يېيىپ كۆتۈرگەن قول: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|بارماق|بارماقلىرىنى يېيىپ كۆتۈرگەن قول|بارماقلىرىنى يېيىپ كۆتۈرگەن قول: ئارا توق تېرە رەڭگى|قول|يايغان
	🖐🏿;بارماقلىرىنى يېيىپ كۆتۈرگەن قول: توق تېرە رەڭ;بارماق|بارماقلىرىنى يېيىپ كۆتۈرگەن قول|بارماقلىرىنى يېيىپ كۆتۈرگەن قول: توق تېرە رەڭ|توق تېرە رەڭ|قول|يايغان
✋;كۆتۈرگەن قول;قول|كۆتۈرگەن قول
	✋🏻;كۆتۈرگەن قول: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|قول|كۆتۈرگەن قول|كۆتۈرگەن قول: ئاچ تېرە رەڭ
	✋🏼;كۆتۈرگەن قول: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|قول|كۆتۈرگەن قول|كۆتۈرگەن قول: ئارا ئاچ تېرە رەڭگى
	✋🏽;كۆتۈرگەن قول: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|قول|كۆتۈرگەن قول|كۆتۈرگەن قول: ئارا تېرە رەڭگى
	✋🏾;كۆتۈرگەن قول: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|قول|كۆتۈرگەن قول|كۆتۈرگەن قول: ئارا توق تېرە رەڭگى
	✋🏿;كۆتۈرگەن قول: توق تېرە رەڭ;توق تېرە رەڭ|قول|كۆتۈرگەن قول|كۆتۈرگەن قول: توق تېرە رەڭ
🖖;ۋولقان سالام;بارماق|سپوك|قول|ۋولقان|ۋولقان سالام
	🖖🏻;ۋولقان سالام: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|بارماق|سپوك|قول|ۋولقان|ۋولقان سالام|ۋولقان سالام: ئاچ تېرە رەڭ
	🖖🏼;ۋولقان سالام: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|بارماق|سپوك|قول|ۋولقان|ۋولقان سالام|ۋولقان سالام: ئارا ئاچ تېرە رەڭگى
	🖖🏽;ۋولقان سالام: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|بارماق|سپوك|قول|ۋولقان|ۋولقان سالام|ۋولقان سالام: ئارا تېرە رەڭگى
	🖖🏾;ۋولقان سالام: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|بارماق|سپوك|قول|ۋولقان|ۋولقان سالام|ۋولقان سالام: ئارا توق تېرە رەڭگى
	🖖🏿;ۋولقان سالام: توق تېرە رەڭ;بارماق|توق تېرە رەڭ|سپوك|قول|ۋولقان|ۋولقان سالام|ۋولقان سالام: توق تېرە رەڭ
🫱;;
	🫱🏻;;
	🫱🏼;;
	🫱🏽;;
	🫱🏾;;
	🫱🏿;;
🫲;;
	🫲🏻;;
	🫲🏼;;
	🫲🏽;;
	🫲🏾;;
	🫲🏿;;
🫳;;
	🫳🏻;;
	🫳🏼;;
	🫳🏽;;
	🫳🏾;;
	🫳🏿;;
🫴;;
	🫴🏻;;
	🫴🏼;;
	🫴🏽;;
	🫴🏾;;
	🫴🏿;;
🫷;;
	🫷🏻;;
	🫷🏼;;
	🫷🏽;;
	🫷🏾;;
	🫷🏿;;
🫸;;
	🫸🏻;;
	🫸🏼;;
	🫸🏽;;
	🫸🏾;;
	🫸🏿;;
👌;ماقۇل بەلگىسى;قول|ماقل|ماقۇل بەلگىسى
	👌🏻;ماقۇل بەلگىسى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|قول|ماقل|ماقۇل بەلگىسى|ماقۇل بەلگىسى: ئاچ تېرە رەڭ
	👌🏼;ماقۇل بەلگىسى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|قول|ماقل|ماقۇل بەلگىسى|ماقۇل بەلگىسى: ئارا ئاچ تېرە رەڭگى
	👌🏽;ماقۇل بەلگىسى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|قول|ماقل|ماقۇل بەلگىسى|ماقۇل بەلگىسى: ئارا تېرە رەڭگى
	👌🏾;ماقۇل بەلگىسى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|قول|ماقل|ماقۇل بەلگىسى|ماقۇل بەلگىسى: ئارا توق تېرە رەڭگى
	👌🏿;ماقۇل بەلگىسى: توق تېرە رەڭ;توق تېرە رەڭ|قول|ماقل|ماقۇل بەلگىسى|ماقۇل بەلگىسى: توق تېرە رەڭ
🤌;;
	🤌🏻;;
	🤌🏼;;
	🤌🏽;;
	🤌🏾;;
	🤌🏿;;
🤏;;
	🤏🏻;;
	🤏🏼;;
	🤏🏽;;
	🤏🏾;;
	🤏🏿;;
✌️;غەلبە ئىشارىسى;v|غەلبە|غەلبە ئىشارىسى|قول
	✌🏻;غەلبە ئىشارىسى: ئاچ تېرە رەڭ;v|ئاچ تېرە رەڭ|غەلبە|غەلبە ئىشارىسى|غەلبە ئىشارىسى: ئاچ تېرە رەڭ|قول
	✌🏼;غەلبە ئىشارىسى: ئارا ئاچ تېرە رەڭگى;v|ئارا ئاچ تېرە رەڭگى|غەلبە|غەلبە ئىشارىسى|غەلبە ئىشارىسى: ئارا ئاچ تېرە رەڭگى|قول
	✌🏽;غەلبە ئىشارىسى: ئارا تېرە رەڭگى;v|ئارا تېرە رەڭگى|غەلبە|غەلبە ئىشارىسى|غەلبە ئىشارىسى: ئارا تېرە رەڭگى|قول
	✌🏾;غەلبە ئىشارىسى: ئارا توق تېرە رەڭگى;v|ئارا توق تېرە رەڭگى|غەلبە|غەلبە ئىشارىسى|غەلبە ئىشارىسى: ئارا توق تېرە رەڭگى|قول
	✌🏿;غەلبە ئىشارىسى: توق تېرە رەڭ;v|توق تېرە رەڭ|غەلبە|غەلبە ئىشارىسى|غەلبە ئىشارىسى: توق تېرە رەڭ|قول
🤞;كېسىشكەن بارماقلار;ئاق يول|بارماق|قول|كېسىشكەن|كېسىشكەن بارماقلار
	🤞🏻;كېسىشكەن بارماقلار: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئاق يول|بارماق|قول|كېسىشكەن|كېسىشكەن بارماقلار|كېسىشكەن بارماقلار: ئاچ تېرە رەڭ
	🤞🏼;كېسىشكەن بارماقلار: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئاق يول|بارماق|قول|كېسىشكەن|كېسىشكەن بارماقلار|كېسىشكەن بارماقلار: ئارا ئاچ تېرە رەڭگى
	🤞🏽;كېسىشكەن بارماقلار: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئاق يول|بارماق|قول|كېسىشكەن|كېسىشكەن بارماقلار|كېسىشكەن بارماقلار: ئارا تېرە رەڭگى
	🤞🏾;كېسىشكەن بارماقلار: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئاق يول|بارماق|قول|كېسىشكەن|كېسىشكەن بارماقلار|كېسىشكەن بارماقلار: ئارا توق تېرە رەڭگى
