# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Ojú tó rẹ́rìn;fẹyín|ojú|Ojú tó rẹ́rìn
👨‍👨‍👧‍👦;Ẹbí: Ọkùnrin, Ọkùnrin, ọmọbìrin, ọmọkùnrin;Ẹbí|Ẹbí: Ọkùnrin, Ọkùnrin, ọmọbìrin, ọmọkùnrin|Ọkùnrin|ọmọbìrin|ọmọkùnrin
👨‍👨‍👦‍👦;Ẹbí: Ọkùnrin, Ọkùnrin, ọmọkùnrin, ọmọkùnrin;Ẹbí|Ẹbí: Ọkùnrin, Ọkùnrin, ọmọkùnrin, ọmọkùnrin|Ọkùnrin|ọmọkùnrin
👨‍👨‍👧‍👧;Ẹbí: Ọkùnrin, Ọkùnrin, ọmọbìrin, ọmọbìrin;Ẹbí|Ẹbí: Ọkùnrin, Ọkùnrin, ọmọbìrin, ọmọbìrin|Ọkùnrin|ọmọbìrin
👩‍👩‍👦;Ẹbí: Obìnrin, Obìnrin, ọmọkùnrin;Ẹbí|Ẹbí: Obìnrin, Obìnrin, ọmọkùnrin|Obìnrin|ọmọkùnrin
👩‍👩‍👧;Ẹbí: Obìnrin, Obìnrin, ọmọbìrin;Ẹbí|Ẹbí: Obìnrin, Obìnrin, ọmọbìrin|Obìnrin|ọmọbìrin
👩‍👩‍👧‍👦;Ẹbí: Obìnrin, Obìnrin, ọmọbìrin, ọmọkùnrin;Ẹbí|Ẹbí: Obìnrin, Obìnrin, ọmọbìrin, ọmọkùnrin|Obìnrin|ọmọbìrin|ọmọkùnrin
👩‍👩‍👦‍👦;Ẹbí: Obìnrin, Obìnrin, ọmọkùnrin, ọmọkùnrin;Ẹbí|Ẹbí: Obìnrin, Obìnrin, ọmọkùnrin, ọmọkùnrin|Obìnrin|ọmọkùnrin
👩‍👩‍👧‍👧;Ẹbí: Obìnrin, Obìnrin, ọmọbìrin, ọmọbìrin;Ẹbí|Ẹbí: Obìnrin, Obìnrin, ọmọbìrin, ọmọbìrin|Obìnrin|ọmọbìrin
👨‍👦;Ẹbí: Ọkùnrin, ọmọkùnrin;Ẹbí|Ẹbí: Ọkùnrin, ọmọkùnrin|Ọkùnrin|ọmọkùnrin
👨‍👦‍👦;Ẹbí: Ọkùnrin, ọmọkùnrin, ọmọkùnrin;Ẹbí|Ẹbí: Ọkùnrin, ọmọkùnrin, ọmọkùnrin|Ọkùnrin|ọmọkùnrin
👨‍👧;Ẹbí: Ọkùnrin, ọmọbìrin;Ẹbí|Ẹbí: Ọkùnrin, ọmọbìrin|Ọkùnrin|ọmọbìrin
👨‍👧‍👦;Ẹbí: Ọkùnrin, ọmọbìrin, ọmọkùnrin;Ẹbí|Ẹbí: Ọkùnrin, ọmọbìrin, ọmọkùnrin|Ọkùnrin|ọmọbìrin|ọmọkùnrin
👨‍👧‍👧;Ẹbí: Ọkùnrin, ọmọbìrin, ọmọbìrin;Ẹbí|Ẹbí: Ọkùnrin, ọmọbìrin, ọmọbìrin|Ọkùnrin|ọmọbìrin
👩‍👦;Ẹbí: Obìnrin, ọmọkùnrin;Ẹbí|Ẹbí: Obìnrin, ọmọkùnrin|Obìnrin|ọmọkùnrin
👩‍👦‍👦;Ẹbí: Obìnrin, ọmọkùnrin, ọmọkùnrin;Ẹbí|Ẹbí: Obìnrin, ọmọkùnrin, ọmọkùnrin|Obìnrin|ọmọkùnrin
👩‍👧;Ẹbí: Obìnrin, ọmọbìrin;Ẹbí|Ẹbí: Obìnrin, ọmọbìrin|Obìnrin|ọmọbìrin
👩‍👧‍👦;Ẹbí: Obìnrin, ọmọbìrin, ọmọkùnrin;Ẹbí|Ẹbí: Obìnrin, ọmọbìrin, ọmọkùnrin|Obìnrin|ọmọbìrin|ọmọkùnrin
👩‍👧‍👧;Ẹbí: Obìnrin, ọmọbìrin, ọmọbìrin;Ẹbí|Ẹbí: Obìnrin, ọmọbìrin, ọmọbìrin|Obìnrin|ọmọbìrin
🗣️;orí tí ń sọ̀rọ̀;bíríbírí|ń sọ̀rọ̀|ojú|orí|orí tí ń sọ̀rọ̀|sọ̀rọ̀
👤;Bujade Ni Biribiri;bíríbírí|bújáde|Bujade Ni Biribiri
👥;Awọn Ibujade Ni Biribiri;Awọn Ibujade Ni Biribiri|bíríbírí|bújáde
🫂;àwọn ènìyàn tóndìmọ́ra;àwọn ènìyàn tóndìmọ́ra|àwọn ènìyanń dí mọ́ra|bawo ni|di mọra|o dabo|o ṣé
👪;Ẹbí;Ẹbí
🧑‍🧑‍🧒;ìdílé: àgbàlagbà, àgbàlagbà, ọmọdé;àgbàlagbà|ìdílé: àgbàlagbà|ìdílé: àgbàlagbà, àgbàlagbà, ọmọdé|ọmọdé
🧑‍🧑‍🧒‍🧒;ìdílé: àgbàlagbà, àgbàlagbà, ọmọdé, ọmọdé;àgbàlagbà|ìdílé: àgbàlagbà|ìdílé: àgbàlagbà, àgbàlagbà, ọmọdé, ọmọdé|ọmọdé
🧑‍🧒;ìdílé: àgbàlagbà, ọmọdé;ìdílé: àgbàlagbà|ìdílé: àgbàlagbà, ọmọdé|ọmọdé
🧑‍🧒‍🧒;ìdílé: àgbàlagbà, ọmọdé, ọmọdé;ìdílé: àgbàlagbà|ìdílé: àgbàlagbà, ọmọdé, ọmọdé|ọmọdé
👣;Ipa ẹsẹ;aṣọ|Ipa ẹsẹ|ipasẹ̀|ìpasẹ̀

[animals_nature]
🐵;Oju Ọbọ;ọ̀bọ|ojú|Oju Ọbọ
🐒;Ọ̀bọ;Ọ̀bọ
🦍;Inaki;Inaki
🦧;oraguta;aapù|oraguta|oragutan
🐶;Ojú ajá;ajá|ǹkan ìsìn|ojú
🐕;Ajá;Ajá|ńkan ìsìn
🦮;ajá ìtóni;ajá ìtóni|ajá ìtọ̀ni|fọ́jú|tọ́ni
🐕‍🦺;ajá iṣẹ́ àwọn abirùn;ajá|ajá iṣẹ́ àwọn abirùn|ìráàyèsí|ìrànlọ́wọ́|iṣẹ́
🐩;Ajá kékeré;Ajá|Ajá kékeré
🐺;Oju Ikooko;ìkookò|ojú|Oju Ikooko
🦊;Oju Kọlọkọlọ;kọlọkọlọ|ojú|Oju Kọlọkọlọ
🦝;rakumi;rakumi|rakumin|wiwa
🐱;Ojú olóńgbò;ǹkan ìsìn|ojú|Ojú olóńgbò|olóńgò
🐈;Olóńgbò;ńkan ìsìn|Olóńgbò
🐈‍⬛;ológbò dúdú;àìṣoríire|dúdú|ológbó|ológbò dúdú
🦁;Oju Kiniun;àmi oṣù ìbí|kìnìu|Leo|ojú|Oju Kiniun
🐯;Oju Ẹkùn;ẹkùn|ojú|Oju Ẹkùn
🐅;Ẹkùn;Ẹkùn
🐆;Àmọ̀tẹ́kùn;Àmọ̀tẹ́kùn
🐴;Oju Ẹṣin;ẹṣin|ojú|Oju Ẹṣin
🫎;ẹmọ́;ẹmọ́|erank inuomi|eranko
🫏;kẹ́tẹ́kẹ́tẹ́;burò|eranko|ijọ̀gbọ̀n|ketekete|kẹ́tẹ́kẹ́tẹ́
🐎;Ẹṣin;equestrian|eṣi ìsáré|Ẹṣin|ìsáré
🦄;Oju Ẹṣin Oniwo;eṣin oníwo|ojú|Oju Ẹṣin Oniwo
🦓;kẹ́tẹ́kẹ́tẹ́ abìla;kẹ́tẹ́kẹ́tẹ́ abìla|onílà
🦌;Agbọnrin;Agbọnrin
🦬;bison;bison|bísonú|búfálò
🐮;Oju Maalu;maalu|oju
🐂;Ẹgbọrọ maalu;àmi oṣù ìbí|Ẹgbọrọ maalu|ẹgbọrọ màlálù|Taurus
🐃;Ẹfọn Omi;ẹfọ̀n|Ẹfọn Omi|omi
🐄;Maalu;Maalu
🐷;Oju Ẹlẹdẹ;ẹlẹ́dẹ̀|ojú|Oju Ẹlẹdẹ
🐖;Ẹlẹdẹ;abo ẹlẹ́dẹ̀|Ẹlẹdẹ
🐗;Biari;Biari|Ẹlẹdẹ
🐽;Imu Ẹlẹdẹ;ẹlẹ́dẹ̀|imú|Imu Ẹlẹdẹ|ojú
🐏;Agbo;Agbo|àgùntàn|akọ|àmi oṣù ìbí|Aries
🐑;abo àgùntàn;abo|àgùntàn
🐐;Ewúrẹ́;àmi oṣù ìbí|capricorn|Ewúrẹ́
🐪;Kẹtẹkẹtẹ;iké|Kẹtẹkẹtẹ|ràkúmí
🐫;Kẹtẹkẹtẹ Onike-Meji;iké|Kẹtẹkẹtẹ Onike-Meji|ràkúmí|ràkúmí oníké méjì
🦙;llama;alapaka|llama|owu
🦒;àgùfọn;àgùfọn|àwọn àyè
🐘;Erin;Erin
🦣;mamotì;mamoti|mamotì|pare|tobi
🦏;Ẹranko Imado;Ẹranko Imado
🦛;hipopotámọ́ọ̀sì;hipopo|hipopotámọ́ọ̀sì
🐭;Ọju Eku;ekú|ojú|Ọju Eku
🐁;Eku;Eku
🐀;Ekute;Ekute
🐹;Oju Eku Oko;eku oko|ǹkan ìsìn|ojú|Oju Eku Oko
🐰;Oju Ehoro;ehoro|ǹkan ìsìn|ojú|Oju Ehoro
🐇;Ehoro;Ehoro|ǹkan ìsìn
🐿️;eku ńlá;eku ńlá
🦫;bifa;bifa|damú
🦔;hedgehog;ẹlẹ́gùń|hedgehog
🦇;Adan;Adan|àdán|amùjẹ́
🐻;Oju Biari;biari|oju
🐻‍❄️;ẹranko beari funfun tí ń gbé orí yìnyín;agbègbè òtútù|ẹranko beari|ẹranko beari funfun tí ń gbé orí yìnyín|funfun
🐨;Koala;bíárì|Koala
🐼;Oju Panda;ojú|Oju Panda|pándà
🦥;àsẹ́wó;asẹ́wó|àsẹ́wó|dìẹ̀dìẹ̀|ọlẹ́
🦦;ota;ota|peja|sere
🦨;Vote òkété igbó;rùn|skọ́nk|Vote òkété igbó
🦘;kangaròó;fo|kangaròó|kangaròó } Australia
🦡;bájà;bájà|bája oloyin
🐾;Apa Eekan;Apa Eekan|àtẹ́lẹ́ ọwa|ẹsẹ̀|ipa
🦃;Tólòtólò;ẹyẹ|Tólòtólò|tòlótòló
🐔;Adìyẹ;adìye|Adìyẹ|ẹyẹ
🐓;Akukọ;Akukọ|àkùkọ|ẹyẹ
🐣;Ọmọ Adiyẹ Pipa;ẹyẹ|ìkókó|ọmọ adìyẹ|Ọmọ Adiyẹ Pipa|pípa
🐤;Ọmọ Adiyẹ;ẹyẹ|ìkókó|Ọmọ Adiyẹ|ọmọ adìyẹ
🐥;Ọmọ Adiyẹ ti now Iwaju;ẹyẹ|ìkókó|ọmọ adìyẹ|Ọmọ Adiyẹ ti now Iwaju
🐦;Ẹyẹ;Ẹyẹ
🐧;Ẹyẹ Oko;ẹyẹ|Ẹyẹ Oko
🕊️;àdàbà;àdàbà|àláfíà|ẹyẹ|fò
🦅;Àṣá;Àṣá|ẹyẹ
🦆;Pẹ́pẹ́yẹ;ẹyẹ|Pẹ́pẹ́yẹ
🦢;ẹyẹ swan;eye|ẹyẹ swan|pepeye|síwan
🦉;Owiwi;ẹyẹ|ọlọ́ngbọ́n|Owiwi|òwìwí
🦤;ẹyẹ dodo;dodo|ẹyẹ dodo|pare|tobi
🪶;ìyẹ́;eye|ina|iye|ìyẹ́|sare
🦩;Vote ẹyẹ flamingò;fìlàmígò|tobi|Vote ẹyẹ flamingò
🦚;ọ̀kín;eye|fihan|gberaga|okin|ọ̀kín
🦜;àparò;aparo|àparò|eye|soro
🪽;iye;angeli|eye|fifo|itan|iye
🐦‍⬛;ẹyẹ dúdú;dúdú|ẹyẹ|ẹyẹ ìwò|kannakánná|oríṣi kannakánná kan
🪿;tòlotòló;adie|atioro|eye|lekeleke|tòlotòló
🐦‍🔥;ẹyẹ ìtàn àìlèkú;àlá àìlèṣẹ|àtúnbí|àtúnwáyé|ẹyẹ ìtàn àìlèkú|ẹyẹ oníná
🐸;Oju Ọpọlọ;ojú|Oju Ọpọlọ|ọpọlọ
🐊;Ọni;Ọni
🐢;Adaba;Adaba|Awun|awun kékeré|ìjàpá
🦎;Aláǹgba;Aláǹgba|aláǹgbà|ẹranko tí nfí àìyà fà
🐍;Ejò;àmi oṣù ìbí|Ejò|olùgbé|Ophiuchus
🐲;Oju Dragoni;Drágónì|ìtàn àrõnì|oju|Oju Dragoni
🐉;Drágónì;Drágónì|ìtàn àrõnì
🦕;sauropod;brachiosaurus|brontosaurus|diplodocus|sauropod
🦖;T-Rex;T-Rex|Tyrannosaurus Rex
🐳;Ẹja Nla Atutọ;Ẹja Nla|Ẹja Nla Atutọ|Oju|yọ jade tì ipá
🐋;Ẹja Nla;Ẹja Nla
🐬;Dọfini;Dọfini|Ohun lúwë
🦭;alákàsà;alákàsà|kìnìún odò
🐟;Ẹja;àmi oṣù ìbí|Ẹja|Pisces
🐠;Ẹja oorùn;Ẹja|oorùn
🐡;Ẹja Awura;Ẹja|Ẹja Awura
🦈;Ṣáàkì;ẹja|Ṣáàkì
🐙;Ẹja ẹlẹsẹ mẹjọ;Ẹja ẹlẹsẹ mẹjọ
🐚;Onikaraun Pinpin;àyíká|Ikarahun|Onikaraun Pinpin
🪸;kórà;kóra|kórà|okun|rifu
🪼;ẹ̀ja jẹ́lì;ẹ̀ja jẹ́lì|jeli|jo|omi
🐌;Ìgbín;Ìgbín
🦋;Labalaba;arẹwà|kòkòrò|Labalaba|labalábá
🐛;Ìyanjú Àṣìṣe;Ìyanjú Àṣìṣe|kòkòrò
🐜;Kokoro;Kokoro|kòkòrò
🐝;Oyin;kòkòrò|Oyin
🪲;bítù;bítù|eèra|kokoro
🐞;Yigbẹ-yigbẹ;kòkòrò|obounboùn|obounboùn kékeré|Yigbẹ-yigbẹ
🦗;tata gígùn;tata|tata gígùn
🪳;ayán;ayán|eera|Eṣinṣin|Irawọ
🕷️;aláõtakùn;aláõtakùn|kòkòrò
🕸️;ìtakùnaláõtakùn;ìtakùn|ìtakùnaláõtakùn
🦂;Àkekè;Àkekè|àmi oṣù ìbí|scorpio|Scorpius
🦟;ẹ̀fọ́n;aisan|arun|ẹfọn|ẹ̀fọ́n|farọ́ọ̀sì|iba
🪰;eṣinṣin;arun|baje|esinsin|eṣinṣin|idun
🪱;ekòló;ekolo|ekòló|ekolo ile|kokoro
🦠;maikirobu;à[san|maikirobu|maíkírobù
💐;Àsè;Àsè|Odòdó
🌸;Iruwe Ṣẹri;Iruwe Ṣẹri|ìtànná|Odòdó|ṣẹẹri
💮;Ododo Funfun;Odòdó|Ododo Funfun
🪷;lotosi;esin Hindu|India|lotosi|ododo
🏵️;Ohun Odòdó ọṣọ;õgbìn|Ohun Odòdó ọṣọ
🌹;Ododo;Ododo|Odòdó
🥀;ododo witi;òdòdó|ododo witi|rẹ̀
🌺;Ododo Ibisikọsi;Odòdó|Ododo Ibisikọsi
🌻;Ìtàná;Ìtàná|Odòdó|Òòrùn
🌼;Iruwe;Iruwe|Odòdó
🌷;Tulipu;Odòdó|Tulipu
🪻;hayasinti;hayasinti|lafendà|lupini|ododo
🌱;Ihoro eso;Ihoro eso|wẹ́wẹ́
🪴;eso pootù;dagba|eso pootù|ile|sá|tojú
🌲;Igi Aruwe;Igi|Igi Aruwe
🌳;Igi Igbo;igi|Igi Igbo|Igi to nta ewe lôdọ dún|ti
🌴;Ọpẹ;igi|Ọpẹ
🌵;Igi Ọrọ́;Igi Ọrọ́|õgbìn
🌾;Idi Ti Irẹsi;Etí|Idi Ti Irẹsi|Irẹsi|ọkà
🌿;Egbo Igi;Egbo Igi|Ewéẹ
☘️;ṣámrọkì;õgbìn|ṣámrọkì
🍀;Ahoro Elewe Merin;4|Ahoro|Ahoro Elewe Merin|Ewé|mẹ́rin
🍁;Ewe Mapulu;Ewé|Ewe Mapulu|igi|Jàbọ
🍂;Irawe;igi|Irawe|Jàbọ
🍃;Ewe Ti N Fanka Ninu Iji;afẹfẹ|Ewé|Ewe Ti N Fanka Ninu Iji|fẹ|fo bákàn
🪹;ibi ìyéeyin òfìfo;ibi ìyéeyin òfìfo|ibi iyeyin ofo|yiye
🪺;ibi ìyéeyin pẹ̀lú ẹyin;ibi ìyéeyin pẹ̀lú ẹyin|yíyé
🍄;Olu;Olu|olú pupa

[food_drink]
🍇;Girapu;Èso|èso àjàrà|Girapu
🍈;Ẹ̀gúsí;Ẹ̀gúsí|Èso
🍉;Eso Bara;Èso|Eso Bara
🍊;Tanjarini;Èso|ôsán|Tanjarini
🍋;Orombo-wẹwẹ Chiffon;èso|Orombo-wẹwẹ Chiffon|ọsàn
🍋‍🟩;ọsàn wẹ́wẹ́;agbègbè mímóoru|àwọn èso ọsàn|èso|ọsàn wẹ́wẹ́
🍌;Ọ̀gẹ̀dẹ̀;Èso|Ọ̀gẹ̀dẹ̀
🍍;Ọpẹ-oyinbo;Èso|Ọpẹ-oyinbo
🥭;mángò;eka ojo rírọ̀|èso|mángò
🍎;Apu Pupa;apù|Apu Pupa|èso|pupa
🍏;Apu Alawọ Ewe;apù|Apu Alawọ Ewe|àwọ̀ ewé|èso
🍐;Píà;Èso|Píà
🍑;Píísì;Èso|Píísì
🍒;Ṣẹẹri;aláwọ̀ ewé|apù|èso|Ṣẹẹri
🍓;Eso dundun;bẹ́rì|èso|Eso dundun
🫐;bẹ́rì búlù;àwọ́n bẹ́rì búlù|bẹ́rì|bilìbẹ́rì|búlù
🥝;Eso Kiwi;èso|Eso Kiwi|kíwì|ónjẹ
🍅;Timati;ẹ̀fọ́|èso|Timati
🫒;Olifi;Olifi|oúnjẹ́
🥥;àgbọn;àgbọn|ọ̀pẹ|pina colada
🥑;Afokado;Afokado|afokádò|èso|ónjẹ
🍆;Igba;èso|Igba|ìgbá
🥔;Ànàmọ́;Ànàmọ́|ẹ̀fọ́|ónjẹ
🥕;Kárọ̀tì;ẹ̀fọ́|kárọ́tì|Kárọ̀tì|ónjẹ
🌽;Agbado;Agbado|àgbàdo|àgbàdo yínyín|etí|ọ̀nà ìrújú
🌶️;ata gbígbónọ̀;ata|gbígbónọ̀
🫑;tàtàsé;ata|efo|tatase|tàtàsé
🥒;Kùkúmbà;ẹ̀fọ́|Kùkúmbà|ónjẹ|píkù
🥬;ẹ̀fọ́;efo|ẹ̀fọ́|kabẹ́ẹ̀jì|tete
🥦;ewé ẹlẹ́fọ̀ọ́;ewé ẹlẹ́fọ̀ọ́|kabeji ìbílẹ̀
🧄;gálíìkì;fifi awo sí|gálíìkì|galilki
🧅;àlùbọ́sà;alùbosà|àlùbọ́sà|fifi awo si
🥜;Ẹpa;ẹ̀fọ́|Ẹpa|ẹ̀pà|kóró inú èso|ónjẹ
🫘;ẹ̀wà;edo|efo|ewa|ẹ̀wà|ounje
🌰;Kóró inú èso búránù;Kóró inú èso búránù|õgbìn
🫚;jínjà;ata|jínjà|oti
🫛;eap;ea|eap|efo|ewa
🍄‍🟫;olú aláwọ̀ pupa rẹ́súrẹ́sú;ewébẹ̀|ìṣẹ̀dá|olú aláwọ̀ pupa rẹ́súrẹ́sú|olú híhù|oúnjẹ
🍞;Búrẹ́dì;Búrẹ́dì|búrẹ́dì gígé
🥐;Kurosanti;búrẹ́dì|faransé|kírísẹ́ntì|Kurosanti|ónjẹ
🥖;Burẹdi Baguette;búrẹ́dì|Burẹdi Baguette|búrẹ́dì gbọọrọ|faransé|ónjẹ
🫓;búrẹ́ẹ̀dì pẹlẹpẹ;buredi pelebe|búrẹ́ẹ̀dì pẹlẹpẹ|pita
🥨;pretzel;lọ́pọ̀|pretzel
🥯;bágẹ́lì;bageli|bágẹ́lì|ibi ipese buredi|ounje aaro
🥞;Atike Ikunju;Atike Ikunju|búrẹ́dì pẹlẹbẹ|crepe|ónjẹ
🧇;wáfù;aimo nnkan|ounje arro|wafu|wáfù
🧀;Waara Wedge;Waara Wedge|wàrà
🍖;Ẹran Ara Egungun;eegun|ẹran|Ẹran Ara Egungun
🍗;Ẹsẹ Adiyẹ;adìye|eegun|ẹsẹ̀|Ẹsẹ Adiyẹ|ilé àdìyé
🥩;ìgé ẹran;ìgé ẹran|ijẹ àgùntàn|ijẹ ẹlẹ́dẹ̀|ìjẹun|steak
🥓;Ẹran Ẹlẹdẹ;ẹran|Ẹran Ẹlẹdẹ|ẹran ẹlẹ́dẹ̀|ónjẹ
🍔;Hamburger;bọ́gà|Hamburger
🍟;Ounjẹ Ipanu Didun;didin|french|Ounjẹ Ipanu Didun
🍕;Písà;gígé|Písà|wàrà
🌭;Hot Dog;àlọ́pọ̀ ẹrán|àlọ́pọ̀ ẹran àti ẹran ẹlẹ́dẹ̀|èran ẹlẹ́dẹ̀ papọ̀ pẹ̀lú ẹran|Hot Dog
🥪;búrẹ́dì alákànpọ̀;Búrẹ́dì|búrẹ́dì alákànpọ̀
🌮;Taco;ónjẹ mẹ́síkò|Taco
🌯;Burito;Burito|ónjẹ mẹ́síkò|wépò
🫔;tamalé;kopọ̀|tamalé|ti mesiko
🥙;Burẹdi Afunpọ Pẹlẹbẹ;Burẹdi Afunpọ Pẹlẹbẹ|búrẹdì àfúnpọ̀ pẹlẹbẹ|falafe|gyro|kebab|ónjẹ|stuufe
🧆;faláfẹ́l]i;ewa|faláfẹ́l]i
🥚;Ẹyin;Ẹyin|ónjẹ
🍳;Dídáná;Dídáná|dídín|ẹyin|páànù
🥘;Paanu Ijẹun kekere;kásẹrọ̀|ónjẹ|Paanu Ijẹun kekere|páànù ṣálò|pàẹ́là|ṣálò
🍲;Ikoko Ounjẹ;ìkòkò|Ikoko Ounjẹ|ọbẹ̀
🫕;fóndù;fóndù|pọ́ọ̀tù|wara
🥣;abọ́ pẹ̀lú ṣíbí;abọ́ pẹ̀lú ṣíbí|àgbàdo|congee|ónjẹ àrọ̀
🥗;Saladi Elewe;eléwé|ónjẹ|sàláádì|Saladi Elewe
🍿;Gúgúrú;Gúgúrú
🧈;bọ́tà;bọ́tà|mílíkì
🧂;iyọ̀;ero ounje|iyo|iyọ̀
🥫;ónjẹ inú agolo;agolo|ónjẹ inú agolo
🍱;Apoti Bento;Apoti|Bento
🍘;Biskit Irẹsi;bisikí|Biskit Irẹsi|ìrẹ̀sì
🍙;Irẹsi Roboto;bọ̀ọ́lú|ìrẹsì|Irẹsi Roboto|japanese
🍚;Irẹsi Sise;Irẹsi|Sise
🍛;irẹsi kọri;irẹsi|kọri
🍜;Abọ ibọhun;abọ́|Abọ ibọhun|núdù|oru|rámẹ̀n
🍝;Spagẹti;pásítà|Spagẹti
🍠;Anamọ dindin;ànàmọ́|Anamọ dindin|dídùn|yíyan
🍢;Oden;igi|keháb|Oden|ónjẹ omi|síkíwà
🍣;Sushi;Sushi
🍤;Ede Dindin;dídín|ẹdẹ|Ede Dindin|ṣírímpù|tẹ́mpúrà
🍥;Eja dindin Pẹlu Swirl;àkàrà òyìnbó|Eja dindin Pẹlu Swirl|ónjẹ oní fíláwà|swirl
🥮;àkàrà òsùpá;akara osupa|àkàrà òsùpá|ayeye|igba ogbele
🍡;Dango;àdídùn|Dango|igi|japanese|ónjé dídùn|skewer
🥟;ìgbẹ́;empanada|gyōza|ìgbẹ́|jiaozi|pierogi|potsticker
🥠;kúkì fortune;asọtẹ́lẹ̀|kúkì fortune
🥡;àpótí àgbéjáde;àpótí àgbéjáde|péèlìa ọ́yẹ́stà
🦀;Alákàn;Alákàn|àmi oṣù ìbí|Cancer
🦞;akàn;akàn|alakan|ounje omi
🦐;Ede;Ede|edé|ẹja inú ìkarahun|kékeré|ónjẹ
🦑;Sikidi;mólúsì|ónjẹ|Sikidi|síkídì
🦪;alákàn ńlá;alákàn ńlá|bibe somi|pálì
🍦;Wara Didi Rirọ;àdídùn|fẹ́lẹ́|kírímù|ónjẹ dídùn|Wara Didi Rirọ|yìnyín|yìnyín dídùn
🍧;Yinyin Gige;àdídùn|fá|ónjẹ dídùn|yìnyín|Yinyin Gige
🍨;Wara Didi;àdídùn|kírímù|ónjẹ dídùn|Wara Didi|yìnyín
🍩;Dónọ́ọ̀tì;àdídùn|Dónọ́ọ̀tì|dónọtì|ónjẹ dídùn
🍪;Kuki;àdídùn|Kuki|ónjẹ dídùn
🎂;Àkàrà òyìnbó ọjọ́ìbí;àdídùn|àkàrà òyìnbó|Àkàrà òyìnbó ọjọ́ìbí|ayẹyẹ|ọjọ́ìbí|ónjẹ dídùn|ónjẹ oní fíláwà
🍰;Akara kekere;àdídùn|Akara kekere|àkàrà òyìnbó|gígé|ónjẹ dídùn|ónjẹ oní fíláwà
🧁;akara oyinbo;akara oyinbo|ile ipese buredi
🥧;róbótó;àkàrà|kíkún|róbótó
🍫;Ṣokoleti Didi;àdídùn|ilé otí|ónjẹ dídùn|ṣokolétì|Ṣokoleti Didi
🍬;Kandi;àdídùn|Kandi|ónjẹ dídùn
🍭;Suuti Onigi;àdídùn|káńdì|ónjẹ dídùn|Suuti Onigi
🍮;Kọ́sítàdì;àdídùn|Kọ́sítàdì|ónjẹ dídùn|púdínì
🍯;Koko Oyin;àdídùn|ìkòkò|Koko Oyin|oyin
🍼;Igo Ikoko;ìgò|Igo Ikoko|ìkókó|mílíkì|ohun mímu
🥛;Ife Wara;gílásì|Ife Wara|mílíkì|mu
☕;Tii Gbigbona;gbígóná|kọfí|mímu|ohun mímu oní kòkó|tíì|Tii Gbigbona|yíyọ oru
🫖;pọ́ọ̀tù tíì;mu|pootu|pọ́ọ̀tù tíì|tíì
🍵;Ife Tii laini Ọwọ;ife|Ife Tii laini Ọwọ|mímu|o ohun mímu oní kòkó|tíì
🍶;Sake;ife|ìgò|ilé ọtí|ohun mímu|ohun mímu oní kòkó|Sake
🍾;Igo Olori Yiyọ;ìdérí ọtí|ìgò|Igo Olori Yiyọ|ilé ọtí|ìṣí ọtí|ohun mímu
🍷;Gilasi Waini;gílásì|Gilasi Waini|ilé ọtí|ohun mímu|ohun mímu oní kòkó|wáìnì
🍸;Gilasi Ounjẹ Amulumala;Gilasi Ounjẹ Amulumala|ilé ọtí|ónjẹ àmúlùmálà
🍹;Ohun Mimu Akoko Oorun;ilé ọtí|ohun mímu|Ohun Mimu Akoko Oorun|ọlọ́pẹ
🍺;Imuti;ilé ọtí|Imuti|ìmutí|ohun mímu|ọtí
🍻;Imuti Dídún;dídún|ilé ọtí|ímu|ìmutí|Imuti Dídún|ọtí
🥂;Gilasi Didun;ayẹyẹ|dún|gílásì|Gilasi Didun|ohun mímu
🥃;Gilasi Tọnbila;gílásì|Gilasi Tọnbila|ọtí|ọtí líle|ṣọ́ọ̀tí|tọ́mbílà
🫗;nǹkan olómi dídà;dà|dída nnkan olómi|gilaasì|mu|nǹkan olómi dídà|ofo
🥤;ife pẹ̀lú sírọ̀;ẹlẹ́rìndòdò|ife pẹ̀lú sírọ̀|sódà
🧋;tíì bọ́bù;tíì|tíì bọ́bù|wara
🧃;ibi oúnjẹ́;dun|ibi|ibi oúnjẹ́|júùsì
🧉;ẹgbẹ́;egbé|ẹgbẹ́|mu
🧊;dídì;di|dídì|kúùbù dídí|tutu
🥢;ìlàrí;áṣì|ìlàrí
🍽️;fọ́ọ̀kì àti ọ̀bẹ pẹ̀lú àwo;àwo|fọ́ọ̀kì|fọ́ọ̀kì àti ọ̀bẹ pẹ̀lú àwo|ọ̀bẹ|ónjẹ sísè
🍴;Fọki Ati Ọbẹ;Fọki Ati Ọbẹ|fọ́ọ̀kì|ọ̀bẹ|ónjẹ sísè
🥄;Ṣíbí;ǹkan ilé ìdáná|Ṣíbí
🔪;ọbẹ iyara-idana;àsè|hocho|irinṣẹ́|irinṣẹ́ ìjagun|ò̩bẹ|ọbẹ iyara-idana
🫙;ife nla;eroja ounje|ibi idáná|ife nla|sofo
🏺;Amphora;àmi oṣù ìbí|Amphora|Aquarius|dídáná|ife omi|irinṣẹ́|irinṣẹ́ ìjagun|ohun mímu

[travel_places]
