# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
	🤟🏽;сүйөм сени деген ишарат: орточо;кол|орточо|сени сүйөм|сүйөм сени деген ишарат|сүйөм сени деген ишарат: орточо
	🤟🏾;сүйөм сени деген ишарат: кара тору;кара тору|кол|сени сүйөм|сүйөм сени деген ишарат|сүйөм сени деген ишарат: кара тору
	🤟🏿;сүйөм сени деген ишарат: кара;кара|кол|сени сүйөм|сүйөм сени деген ишарат|сүйөм сени деген ишарат: кара
🤘;мүйүз белгиси;дене|кол|манжа|мүйүз|мүйүз белгиси
	🤘🏻;мүйүз белгиси: акжуумал;акжуумал|дене|кол|манжа|мүйүз|мүйүз белгиси|мүйүз белгиси: акжуумал
	🤘🏼;мүйүз белгиси: буудай жүздүү;буудай жүздүү|дене|кол|манжа|мүйүз|мүйүз белгиси|мүйүз белгиси: буудай жүздүү
	🤘🏽;мүйүз белгиси: орточо;дене|кол|манжа|мүйүз|мүйүз белгиси|мүйүз белгиси: орточо|орточо
	🤘🏾;мүйүз белгиси: кара тору;дене|кара тору|кол|манжа|мүйүз|мүйүз белгиси|мүйүз белгиси: кара тору
	🤘🏿;мүйүз белгиси: кара;дене|кара|кол|манжа|мүйүз|мүйүз белгиси|мүйүз белгиси: кара
🤙;“мага чал” ишараты;“мага чал” ишараты|ишарат|кол|мага чал
	🤙🏻;“мага чал” ишараты: акжуумал;“мага чал” ишараты|“мага чал” ишараты: акжуумал|акжуумал|ишарат|кол|мага чал
	🤙🏼;“мага чал” ишараты: буудай жүздүү;“мага чал” ишараты|“мага чал” ишараты: буудай жүздүү|буудай жүздүү|ишарат|кол|мага чал
	🤙🏽;“мага чал” ишараты: орточо;“мага чал” ишараты|“мага чал” ишараты: орточо|ишарат|кол|мага чал|орточо
	🤙🏾;“мага чал” ишараты: кара тору;“мага чал” ишараты|“мага чал” ишараты: кара тору|ишарат|кара тору|кол|мага чал
	🤙🏿;“мага чал” ишараты: кара;“мага чал” ишараты|“мага чал” ишараты: кара|ишарат|кара|кол|мага чал
👈;сол тарапты көрсөткөн сөөмөй;кол|көрсөт|манжа|сол тарапты көрсөткөн сөөмөй|сөөмөй
	👈🏻;сол тарапты көрсөткөн сөөмөй: акжуумал;акжуумал|кол|көрсөт|манжа|сол тарапты көрсөткөн сөөмөй|сол тарапты көрсөткөн сөөмөй: акжуумал|сөөмөй
	👈🏼;сол тарапты көрсөткөн сөөмөй: буудай жүздүү;буудай жүздүү|кол|көрсөт|манжа|сол тарапты көрсөткөн сөөмөй|сол тарапты көрсөткөн сөөмөй: буудай жүздүү|сөөмөй
	👈🏽;сол тарапты көрсөткөн сөөмөй: орточо;кол|көрсөт|манжа|орточо|сол тарапты көрсөткөн сөөмөй|сол тарапты көрсөткөн сөөмөй: орточо|сөөмөй
	👈🏾;сол тарапты көрсөткөн сөөмөй: кара тору;кара тору|кол|көрсөт|манжа|сол тарапты көрсөткөн сөөмөй|сол тарапты көрсөткөн сөөмөй: кара тору|сөөмөй
	👈🏿;сол тарапты көрсөткөн сөөмөй: кара;кара|кол|көрсөт|манжа|сол тарапты көрсөткөн сөөмөй|сол тарапты көрсөткөн сөөмөй: кара|сөөмөй
👉;оң тарапты көрсөткөн сөөмөй;кол|көрсөт|манжа|оң тарапты көрсөткөн сөөмөй|сөөмөй
	👉🏻;оң тарапты көрсөткөн сөөмөй: акжуумал;акжуумал|кол|көрсөт|манжа|оң тарапты көрсөткөн сөөмөй|оң тарапты көрсөткөн сөөмөй: акжуумал|сөөмөй
	👉🏼;оң тарапты көрсөткөн сөөмөй: буудай жүздүү;буудай жүздүү|кол|көрсөт|манжа|оң тарапты көрсөткөн сөөмөй|оң тарапты көрсөткөн сөөмөй: буудай жүздүү|сөөмөй
	👉🏽;оң тарапты көрсөткөн сөөмөй: орточо;кол|көрсөт|манжа|оң тарапты көрсөткөн сөөмөй|оң тарапты көрсөткөн сөөмөй: орточо|орточо|сөөмөй
	👉🏾;оң тарапты көрсөткөн сөөмөй: кара тору;кара тору|кол|көрсөт|манжа|оң тарапты көрсөткөн сөөмөй|оң тарапты көрсөткөн сөөмөй: кара тору|сөөмөй
	👉🏿;оң тарапты көрсөткөн сөөмөй: кара;кара|кол|көрсөт|манжа|оң тарапты көрсөткөн сөөмөй|оң тарапты көрсөткөн сөөмөй: кара|сөөмөй
👆;сөөмөйү өйдө караган колдун арткы бети;кол|көрсөт|өйдө|сөөмөй|сөөмөйү өйдө караган колдун арткы бети
