# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	🏊🏽‍♂️;tata waytachkan: tunpa qara niraq;tata|tata waytachkan|tata waytachkan: tunpa qara niraq|tunpa qara niraq|wayt’ay
	🏊🏾‍♂️;tata waytachkan: tunpa yana qara niraq;tata|tata waytachkan|tata waytachkan: tunpa yana qara niraq|tunpa yana qara niraq|wayt’ay
	🏊🏿‍♂️;tata waytachkan: yana qara niraq;tata|tata waytachkan|tata waytachkan: yana qara niraq|wayt’ay|yana qara niraq
🏊‍♀️;warmi waytachkan;warmi|warmi waytachkan|wayt’ay
	🏊🏻‍♀️;warmi waytachkan: chuya qara niraq;chuya qara niraq|warmi|warmi waytachkan|warmi waytachkan: chuya qara niraq|wayt’ay
	🏊🏼‍♀️;warmi waytachkan: tunpa chuya qara niraq;tunpa chuya qara niraq|warmi|warmi waytachkan|warmi waytachkan: tunpa chuya qara niraq|wayt’ay
	🏊🏽‍♀️;warmi waytachkan: tunpa qara niraq;tunpa qara niraq|warmi|warmi waytachkan|warmi waytachkan: tunpa qara niraq|wayt’ay
	🏊🏾‍♀️;warmi waytachkan: tunpa yana qara niraq;tunpa yana qara niraq|warmi|warmi waytachkan|warmi waytachkan: tunpa yana qara niraq|wayt’ay
	🏊🏿‍♀️;warmi waytachkan: yana qara niraq;warmi|warmi waytachkan|warmi waytachkan: yana qara niraq|wayt’ay|yana qara niraq
⛹️;runa p’uluta chuqapachkan;p’ulu|runa p’uluta chuqapachkan
	⛹🏻;runa p’uluta chuqapachkan: chuya qara niraq;chuya qara niraq|p’ulu|runa p’uluta chuqapachkan|runa p’uluta chuqapachkan: chuya qara niraq
	⛹🏼;runa p’uluta chuqapachkan: tunpa chuya qara niraq;p’ulu|runa p’uluta chuqapachkan|runa p’uluta chuqapachkan: tunpa chuya qara niraq|tunpa chuya qara niraq
	⛹🏽;runa p’uluta chuqapachkan: tunpa qara niraq;p’ulu|runa p’uluta chuqapachkan|runa p’uluta chuqapachkan: tunpa qara niraq|tunpa qara niraq
	⛹🏾;runa p’uluta chuqapachkan: tunpa yana qara niraq;p’ulu|runa p’uluta chuqapachkan|runa p’uluta chuqapachkan: tunpa yana qara niraq|tunpa yana qara niraq
	⛹🏿;runa p’uluta chuqapachkan: yana qara niraq;p’ulu|runa p’uluta chuqapachkan|runa p’uluta chuqapachkan: yana qara niraq|yana qara niraq
⛹️‍♂️;tata p’uluta chuqapachkan;p’ulu|tata|tata p’uluta chuqapachkan
	⛹🏻‍♂️;tata p’uluta chuqapachkan: chuya qara niraq;chuya qara niraq|p’ulu|tata|tata p’uluta chuqapachkan|tata p’uluta chuqapachkan: chuya qara niraq
	⛹🏼‍♂️;tata p’uluta chuqapachkan: tunpa chuya qara niraq;p’ulu|tata|tata p’uluta chuqapachkan|tata p’uluta chuqapachkan: tunpa chuya qara niraq|tunpa chuya qara niraq
	⛹🏽‍♂️;tata p’uluta chuqapachkan: tunpa qara niraq;p’ulu|tata|tata p’uluta chuqapachkan|tata p’uluta chuqapachkan: tunpa qara niraq|tunpa qara niraq
	⛹🏾‍♂️;tata p’uluta chuqapachkan: tunpa yana qara niraq;p’ulu|tata|tata p’uluta chuqapachkan|tata p’uluta chuqapachkan: tunpa yana qara niraq|tunpa yana qara niraq
	⛹🏿‍♂️;tata p’uluta chuqapachkan: yana qara niraq;p’ulu|tata|tata p’uluta chuqapachkan|tata p’uluta chuqapachkan: yana qara niraq|yana qara niraq
⛹️‍♀️;warmi p’uluta chuqapachkan;p’ulu|warmi|warmi p’uluta chuqapachkan
	⛹🏻‍♀️;warmi p’uluta chuqapachkan: chuya qara niraq;chuya qara niraq|p’ulu|warmi|warmi p’uluta chuqapachkan|warmi p’uluta chuqapachkan: chuya qara niraq
	⛹🏼‍♀️;warmi p’uluta chuqapachkan: tunpa chuya qara niraq;p’ulu|tunpa chuya qara niraq|warmi|warmi p’uluta chuqapachkan|warmi p’uluta chuqapachkan: tunpa chuya qara niraq
	⛹🏽‍♀️;warmi p’uluta chuqapachkan: tunpa qara niraq;p’ulu|tunpa qara niraq|warmi|warmi p’uluta chuqapachkan|warmi p’uluta chuqapachkan: tunpa qara niraq
	⛹🏾‍♀️;warmi p’uluta chuqapachkan: tunpa yana qara niraq;p’ulu|tunpa yana qara niraq|warmi|warmi p’uluta chuqapachkan|warmi p’uluta chuqapachkan: tunpa yana qara niraq
	⛹🏿‍♀️;warmi p’uluta chuqapachkan: yana qara niraq;p’ulu|warmi|warmi p’uluta chuqapachkan|warmi p’uluta chuqapachkan: yana qara niraq|yana qara niraq
🏋️;runa llasayninkunata jatarichichkan;jatarichiy|llasaynin|runa llasayninkunata jatarichichkan
	🏋🏻;runa llasayninkunata jatarichichkan: chuya qara niraq;chuya qara niraq|jatarichiy|llasaynin|runa llasayninkunata jatarichichkan|runa llasayninkunata jatarichichkan: chuya qara niraq
	🏋🏼;runa llasayninkunata jatarichichkan: tunpa chuya qara niraq;jatarichiy|llasaynin|runa llasayninkunata jatarichichkan|runa llasayninkunata jatarichichkan: tunpa chuya qara niraq|tunpa chuya qara niraq
	🏋🏽;runa llasayninkunata jatarichichkan: tunpa qara niraq;jatarichiy|llasaynin|runa llasayninkunata jatarichichkan|runa llasayninkunata jatarichichkan: tunpa qara niraq|tunpa qara niraq
	🏋🏾;runa llasayninkunata jatarichichkan: tunpa yana qara niraq;jatarichiy|llasaynin|runa llasayninkunata jatarichichkan|runa llasayninkunata jatarichichkan: tunpa yana qara niraq|tunpa yana qara niraq
	🏋🏿;runa llasayninkunata jatarichichkan: yana qara niraq;jatarichiy|llasaynin|runa llasayninkunata jatarichichkan|runa llasayninkunata jatarichichkan: yana qara niraq|yana qara niraq
🏋️‍♂️;tata sayayninkunata jatarichichkan;sayaynin jatarichiy|tata|tata sayayninkunata jatarichichkan
	🏋🏻‍♂️;tata sayayninkunata jatarichichkan: chuya qara niraq;chuya qara niraq|sayaynin jatarichiy|tata|tata sayayninkunata jatarichichkan|tata sayayninkunata jatarichichkan: chuya qara niraq
	🏋🏼‍♂️;tata sayayninkunata jatarichichkan: tunpa chuya qara niraq;sayaynin jatarichiy|tata|tata sayayninkunata jatarichichkan|tata sayayninkunata jatarichichkan: tunpa chuya qara niraq|tunpa chuya qara niraq
	🏋🏽‍♂️;tata sayayninkunata jatarichichkan: tunpa qara niraq;sayaynin jatarichiy|tata|tata sayayninkunata jatarichichkan|tata sayayninkunata jatarichichkan: tunpa qara niraq|tunpa qara niraq
	🏋🏾‍♂️;tata sayayninkunata jatarichichkan: tunpa yana qara niraq;sayaynin jatarichiy|tata|tata sayayninkunata jatarichichkan|tata sayayninkunata jatarichichkan: tunpa yana qara niraq|tunpa yana qara niraq
	🏋🏿‍♂️;tata sayayninkunata jatarichichkan: yana qara niraq;sayaynin jatarichiy|tata|tata sayayninkunata jatarichichkan|tata sayayninkunata jatarichichkan: yana qara niraq|yana qara niraq
🏋️‍♀️;warmi sayayninkunata jatarichichkan;sayaynin jatarichiy|warmi|warmi sayayninkunata jatarichichkan
	🏋🏻‍♀️;warmi sayayninkunata jatarichichkan: chuya qara niraq;chuya qara niraq|sayaynin jatarichiy|warmi|warmi sayayninkunata jatarichichkan|warmi sayayninkunata jatarichichkan: chuya qara niraq
	🏋🏼‍♀️;warmi sayayninkunata jatarichichkan: tunpa chuya qara niraq;sayaynin jatarichiy|tunpa chuya qara niraq|warmi|warmi sayayninkunata jatarichichkan|warmi sayayninkunata jatarichichkan: tunpa chuya qara niraq
	🏋🏽‍♀️;warmi sayayninkunata jatarichichkan: tunpa qara niraq;sayaynin jatarichiy|tunpa qara niraq|warmi|warmi sayayninkunata jatarichichkan|warmi sayayninkunata jatarichichkan: tunpa qara niraq
	🏋🏾‍♀️;warmi sayayninkunata jatarichichkan: tunpa yana qara niraq;sayaynin jatarichiy|tunpa yana qara niraq|warmi|warmi sayayninkunata jatarichichkan|warmi sayayninkunata jatarichichkan: tunpa yana qara niraq
	🏋🏿‍♀️;warmi sayayninkunata jatarichichkan: yana qara niraq;sayaynin jatarichiy|warmi|warmi sayayninkunata jatarichichkan|warmi sayayninkunata jatarichichkan: yana qara niraq|yana qara niraq
🚴;runa bicicletapi;bicycle|pusachkan|pusay|runa bicicletapi
	🚴🏻;runa bicicletapi: chuya qara niraq;bicycle|chuya qara niraq|pusachkan|pusay|runa bicicletapi|runa bicicletapi: chuya qara niraq
	🚴🏼;runa bicicletapi: tunpa chuya qara niraq;bicycle|pusachkan|pusay|runa bicicletapi|runa bicicletapi: tunpa chuya qara niraq|tunpa chuya qara niraq
	🚴🏽;runa bicicletapi: tunpa qara niraq;bicycle|pusachkan|pusay|runa bicicletapi|runa bicicletapi: tunpa qara niraq|tunpa qara niraq
	🚴🏾;runa bicicletapi: tunpa yana qara niraq;bicycle|pusachkan|pusay|runa bicicletapi|runa bicicletapi: tunpa yana qara niraq|tunpa yana qara niraq
	🚴🏿;runa bicicletapi: yana qara niraq;bicycle|pusachkan|pusay|runa bicicletapi|runa bicicletapi: yana qara niraq|yana qara niraq
🚴‍♂️;tata bicicletapi;bicicleta|pusachkan|pusay|tata|tata bicicletapi
	🚴🏻‍♂️;tata bicicletapi: chuya qara niraq;bicicleta|chuya qara niraq|pusachkan|pusay|tata|tata bicicletapi|tata bicicletapi: chuya qara niraq
	🚴🏼‍♂️;tata bicicletapi: tunpa chuya qara niraq;bicicleta|pusachkan|pusay|tata|tata bicicletapi|tata bicicletapi: tunpa chuya qara niraq|tunpa chuya qara niraq
	🚴🏽‍♂️;tata bicicletapi: tunpa qara niraq;bicicleta|pusachkan|pusay|tata|tata bicicletapi|tata bicicletapi: tunpa qara niraq|tunpa qara niraq
	🚴🏾‍♂️;tata bicicletapi: tunpa yana qara niraq;bicicleta|pusachkan|pusay|tata|tata bicicletapi|tata bicicletapi: tunpa yana qara niraq|tunpa yana qara niraq
	🚴🏿‍♂️;tata bicicletapi: yana qara niraq;bicicleta|pusachkan|pusay|tata|tata bicicletapi|tata bicicletapi: yana qara niraq|yana qara niraq
🚴‍♀️;warmi bicicletapi;bicicleta|pusachkan|pusay|warmi|warmi bicicletapi
	🚴🏻‍♀️;warmi bicicletapi: chuya qara niraq;bicicleta|chuya qara niraq|pusachkan|pusay|warmi|warmi bicicletapi|warmi bicicletapi: chuya qara niraq
	🚴🏼‍♀️;warmi bicicletapi: tunpa chuya qara niraq;bicicleta|pusachkan|pusay|tunpa chuya qara niraq|warmi|warmi bicicletapi|warmi bicicletapi: tunpa chuya qara niraq
	🚴🏽‍♀️;warmi bicicletapi: tunpa qara niraq;bicicleta|pusachkan|pusay|tunpa qara niraq|warmi|warmi bicicletapi|warmi bicicletapi: tunpa qara niraq
	🚴🏾‍♀️;warmi bicicletapi: tunpa yana qara niraq;bicicleta|pusachkan|pusay|tunpa yana qara niraq|warmi|warmi bicicletapi|warmi bicicletapi: tunpa yana qara niraq
	🚴🏿‍♀️;warmi bicicletapi: yana qara niraq;bicicleta|pusachkan|pusay|warmi|warmi bicicletapi|warmi bicicletapi: yana qara niraq|yana qara niraq
🚵;runa urqu bicicletapi;bicicleta|pusachkan|pusay|runa urqu bicicletapi|urqu
	🚵🏻;runa urqu bicicletapi: chuya qara niraq;bicicleta|chuya qara niraq|pusachkan|pusay|runa urqu bicicletapi|runa urqu bicicletapi: chuya qara niraq|urqu
	🚵🏼;runa urqu bicicletapi: tunpa chuya qara niraq;bicicleta|pusachkan|pusay|runa urqu bicicletapi|runa urqu bicicletapi: tunpa chuya qara niraq|tunpa chuya qara niraq|urqu
	🚵🏽;runa urqu bicicletapi: tunpa qara niraq;bicicleta|pusachkan|pusay|runa urqu bicicletapi|runa urqu bicicletapi: tunpa qara niraq|tunpa qara niraq|urqu
	🚵🏾;runa urqu bicicletapi: tunpa yana qara niraq;bicicleta|pusachkan|pusay|runa urqu bicicletapi|runa urqu bicicletapi: tunpa yana qara niraq|tunpa yana qara niraq|urqu
	🚵🏿;runa urqu bicicletapi: yana qara niraq;bicicleta|pusachkan|pusay|runa urqu bicicletapi|runa urqu bicicletapi: yana qara niraq|urqu|yana qara niraq
🚵‍♂️;tata urqu bicicletapi;bicicleta|pusachkan|pusay|tata|tata urqu bicicletapi|urqu
	🚵🏻‍♂️;tata urqu bicicletapi: chuya qara niraq;bicicleta|chuya qara niraq|pusachkan|pusay|tata|tata urqu bicicletapi|tata urqu bicicletapi: chuya qara niraq|urqu
	🚵🏼‍♂️;tata urqu bicicletapi: tunpa chuya qara niraq;bicicleta|pusachkan|pusay|tata|tata urqu bicicletapi|tata urqu bicicletapi: tunpa chuya qara niraq|tunpa chuya qara niraq|urqu
	🚵🏽‍♂️;tata urqu bicicletapi: tunpa qara niraq;bicicleta|pusachkan|pusay|tata|tata urqu bicicletapi|tata urqu bicicletapi: tunpa qara niraq|tunpa qara niraq|urqu
	🚵🏾‍♂️;tata urqu bicicletapi: tunpa yana qara niraq;bicicleta|pusachkan|pusay|tata|tata urqu bicicletapi|tata urqu bicicletapi: tunpa yana qara niraq|tunpa yana qara niraq|urqu
	🚵🏿‍♂️;tata urqu bicicletapi: yana qara niraq;bicicleta|pusachkan|pusay|tata|tata urqu bicicletapi|tata urqu bicicletapi: yana qara niraq|urqu|yana qara niraq
🚵‍♀️;warmi urqu bicicletapi;bicicleta|pusachkan|pusay|urqu|warmi|warmi urqu bicicletapi
	🚵🏻‍♀️;warmi urqu bicicletapi: chuya qara niraq;bicicleta|chuya qara niraq|pusachkan|pusay|urqu|warmi|warmi urqu bicicletapi|warmi urqu bicicletapi: chuya qara niraq
	🚵🏼‍♀️;warmi urqu bicicletapi: tunpa chuya qara niraq;bicicleta|pusachkan|pusay|tunpa chuya qara niraq|urqu|warmi|warmi urqu bicicletapi|warmi urqu bicicletapi: tunpa chuya qara niraq
	🚵🏽‍♀️;warmi urqu bicicletapi: tunpa qara niraq;bicicleta|pusachkan|pusay|tunpa qara niraq|urqu|warmi|warmi urqu bicicletapi|warmi urqu bicicletapi: tunpa qara niraq
	🚵🏾‍♀️;warmi urqu bicicletapi: tunpa yana qara niraq;bicicleta|pusachkan|pusay|tunpa yana qara niraq|urqu|warmi|warmi urqu bicicletapi|warmi urqu bicicletapi: tunpa yana qara niraq
	🚵🏿‍♀️;warmi urqu bicicletapi: yana qara niraq;bicicleta|pusachkan|pusay|urqu|warmi|warmi urqu bicicletapi|warmi urqu bicicletapi: yana qara niraq|yana qara niraq
🤸;runa gimnasia ruwachkan;gimnasia|muyuy|runa gimnasia ruwachkan
	🤸🏻;runa gimnasia ruwachkan: chuya qara niraq;chuya qara niraq|gimnasia|muyuy|runa gimnasia ruwachkan|runa gimnasia ruwachkan: chuya qara niraq
	🤸🏼;runa gimnasia ruwachkan: tunpa chuya qara niraq;gimnasia|muyuy|runa gimnasia ruwachkan|runa gimnasia ruwachkan: tunpa chuya qara niraq|tunpa chuya qara niraq
	🤸🏽;runa gimnasia ruwachkan: tunpa qara niraq;gimnasia|muyuy|runa gimnasia ruwachkan|runa gimnasia ruwachkan: tunpa qara niraq|tunpa qara niraq
	🤸🏾;runa gimnasia ruwachkan: tunpa yana qara niraq;gimnasia|muyuy|runa gimnasia ruwachkan|runa gimnasia ruwachkan: tunpa yana qara niraq|tunpa yana qara niraq
	🤸🏿;runa gimnasia ruwachkan: yana qara niraq;gimnasia|muyuy|runa gimnasia ruwachkan|runa gimnasia ruwachkan: yana qara niraq|yana qara niraq
🤸‍♂️;tata gimnasia ruwachkan;gimnasia|muyuy|tata|tata gimnasia ruwachkan
	🤸🏻‍♂️;tata gimnasia ruwachkan: chuya qara niraq;chuya qara niraq|gimnasia|muyuy|tata|tata gimnasia ruwachkan|tata gimnasia ruwachkan: chuya qara niraq
	🤸🏼‍♂️;tata gimnasia ruwachkan: tunpa chuya qara niraq;gimnasia|muyuy|tata|tata gimnasia ruwachkan|tata gimnasia ruwachkan: tunpa chuya qara niraq|tunpa chuya qara niraq
	🤸🏽‍♂️;tata gimnasia ruwachkan: tunpa qara niraq;gimnasia|muyuy|tata|tata gimnasia ruwachkan|tata gimnasia ruwachkan: tunpa qara niraq|tunpa qara niraq
	🤸🏾‍♂️;tata gimnasia ruwachkan: tunpa yana qara niraq;gimnasia|muyuy|tata|tata gimnasia ruwachkan|tata gimnasia ruwachkan: tunpa yana qara niraq|tunpa yana qara niraq
	🤸🏿‍♂️;tata gimnasia ruwachkan: yana qara niraq;gimnasia|muyuy|tata|tata gimnasia ruwachkan|tata gimnasia ruwachkan: yana qara niraq|yana qara niraq
🤸‍♀️;warmi gimnasia ruwachkan;gimnasia|muyuy|warmi|warmi gimnasia ruwachkan
	🤸🏻‍♀️;warmi gimnasia ruwachkan: chuya qara niraq;chuya qara niraq|gimnasia|muyuy|warmi|warmi gimnasia ruwachkan|warmi gimnasia ruwachkan: chuya qara niraq
	🤸🏼‍♀️;warmi gimnasia ruwachkan: tunpa chuya qara niraq;gimnasia|muyuy|tunpa chuya qara niraq|warmi|warmi gimnasia ruwachkan|warmi gimnasia ruwachkan: tunpa chuya qara niraq
	🤸🏽‍♀️;warmi gimnasia ruwachkan: tunpa qara niraq;gimnasia|muyuy|tunpa qara niraq|warmi|warmi gimnasia ruwachkan|warmi gimnasia ruwachkan: tunpa qara niraq
	🤸🏾‍♀️;warmi gimnasia ruwachkan: tunpa yana qara niraq;gimnasia|muyuy|tunpa yana qara niraq|warmi|warmi gimnasia ruwachkan|warmi gimnasia ruwachkan: tunpa yana qara niraq
	🤸🏿‍♀️;warmi gimnasia ruwachkan: yana qara niraq;gimnasia|muyuy|warmi|warmi gimnasia ruwachkan|warmi gimnasia ruwachkan: yana qara niraq|yana qara niraq
🤼;maqanakuq runa;maqanakuq|maqanakuq runa|maqanakuy
🤼‍♂️;maqanakuq tata;maqanakuq tata|maqanakuy|runakuna
🤼‍♀️;maqanakuq warmi;maqanakuq warmi|maqanakuy|warmi
🤽;runa water polo pukllachkan;polo|runa water polo pukllachkan|water
	🤽🏻;runa water polo pukllachkan: chuya qara niraq;chuya qara niraq|polo|runa water polo pukllachkan|runa water polo pukllachkan: chuya qara niraq|water
	🤽🏼;runa water polo pukllachkan: tunpa chuya qara niraq;polo|runa water polo pukllachkan|runa water polo pukllachkan: tunpa chuya qara niraq|tunpa chuya qara niraq|water
	🤽🏽;runa water polo pukllachkan: tunpa qara niraq;polo|runa water polo pukllachkan|runa water polo pukllachkan: tunpa qara niraq|tunpa qara niraq|water
	🤽🏾;runa water polo pukllachkan: tunpa yana qara niraq;polo|runa water polo pukllachkan|runa water polo pukllachkan: tunpa yana qara niraq|tunpa yana qara niraq|water
	🤽🏿;runa water polo pukllachkan: yana qara niraq;polo|runa water polo pukllachkan|runa water polo pukllachkan: yana qara niraq|water|yana qara niraq
🤽‍♂️;tata Water polo pukllachkan;tata|tata Water polo pukllachkan|water polo
	🤽🏻‍♂️;tata Water polo pukllachkan: chuya qara niraq;chuya qara niraq|tata|tata Water polo pukllachkan|tata Water polo pukllachkan: chuya qara niraq|water polo
	🤽🏼‍♂️;tata Water polo pukllachkan: tunpa chuya qara niraq;tata|tata Water polo pukllachkan|tata Water polo pukllachkan: tunpa chuya qara niraq|tunpa chuya qara niraq|water polo
	🤽🏽‍♂️;tata Water polo pukllachkan: tunpa qara niraq;tata|tata Water polo pukllachkan|tata Water polo pukllachkan: tunpa qara niraq|tunpa qara niraq|water polo
	🤽🏾‍♂️;tata Water polo pukllachkan: tunpa yana qara niraq;tata|tata Water polo pukllachkan|tata Water polo pukllachkan: tunpa yana qara niraq|tunpa yana qara niraq|water polo
	🤽🏿‍♂️;tata Water polo pukllachkan: yana qara niraq;tata|tata Water polo pukllachkan|tata Water polo pukllachkan: yana qara niraq|water polo|yana qara niraq
🤽‍♀️;warmi water polo pukllachkan;warmi|warmi water polo pukllachkan|water polo
	🤽🏻‍♀️;warmi water polo pukllachkan: chuya qara niraq;chuya qara niraq|warmi|warmi water polo pukllachkan|warmi water polo pukllachkan: chuya qara niraq|water polo
	🤽🏼‍♀️;warmi water polo pukllachkan: tunpa chuya qara niraq;tunpa chuya qara niraq|warmi|warmi water polo pukllachkan|warmi water polo pukllachkan: tunpa chuya qara niraq|water polo
	🤽🏽‍♀️;warmi water polo pukllachkan: tunpa qara niraq;tunpa qara niraq|warmi|warmi water polo pukllachkan|warmi water polo pukllachkan: tunpa qara niraq|water polo
	🤽🏾‍♀️;warmi water polo pukllachkan: tunpa yana qara niraq;tunpa yana qara niraq|warmi|warmi water polo pukllachkan|warmi water polo pukllachkan: tunpa yana qara niraq|water polo
	🤽🏿‍♀️;warmi water polo pukllachkan: yana qara niraq;warmi|warmi water polo pukllachkan|warmi water polo pukllachkan: yana qara niraq|water polo|yana qara niraq
🤾;runa balonmano pukllachkan;balonmano|p’ulu|runa balonmano pukllachkan
	🤾🏻;runa balonmano pukllachkan: chuya qara niraq;balonmano|chuya qara niraq|p’ulu|runa balonmano pukllachkan|runa balonmano pukllachkan: chuya qara niraq
	🤾🏼;runa balonmano pukllachkan: tunpa chuya qara niraq;balonmano|p’ulu|runa balonmano pukllachkan|runa balonmano pukllachkan: tunpa chuya qara niraq|tunpa chuya qara niraq
	🤾🏽;runa balonmano pukllachkan: tunpa qara niraq;balonmano|p’ulu|runa balonmano pukllachkan|runa balonmano pukllachkan: tunpa qara niraq|tunpa qara niraq
	🤾🏾;runa balonmano pukllachkan: tunpa yana qara niraq;balonmano|p’ulu|runa balonmano pukllachkan|runa balonmano pukllachkan: tunpa yana qara niraq|tunpa yana qara niraq
	🤾🏿;runa balonmano pukllachkan: yana qara niraq;balonmano|p’ulu|runa balonmano pukllachkan|runa balonmano pukllachkan: yana qara niraq|yana qara niraq
🤾‍♂️;tata balonmano pukllachkan;balonmano|tata|tata balonmano pukllachkan
	🤾🏻‍♂️;tata balonmano pukllachkan: chuya qara niraq;balonmano|chuya qara niraq|tata|tata balonmano pukllachkan|tata balonmano pukllachkan: chuya qara niraq
	🤾🏼‍♂️;tata balonmano pukllachkan: tunpa chuya qara niraq;balonmano|tata|tata balonmano pukllachkan|tata balonmano pukllachkan: tunpa chuya qara niraq|tunpa chuya qara niraq
	🤾🏽‍♂️;tata balonmano pukllachkan: tunpa qara niraq;balonmano|tata|tata balonmano pukllachkan|tata balonmano pukllachkan: tunpa qara niraq|tunpa qara niraq
	🤾🏾‍♂️;tata balonmano pukllachkan: tunpa yana qara niraq;balonmano|tata|tata balonmano pukllachkan|tata balonmano pukllachkan: tunpa yana qara niraq|tunpa yana qara niraq
