# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grínandi andlit;andlit|grín|grínandi andlit
✏️;blýantur;blýantur|skriva
✒️;svarur oddur á penni;oddur|pennur|svarur oddur á penni
🖋️;fyllipennur;fyllipennur|pennur
🖊️;pennur;kúlupennur|pennur
🖌️;pensil;mála|málingarkustur|pensil
🖍️;litblýantur;kolstift|litblýantur
📝;skrivlig viðmerking;greinargerð|skrivlig viðmerking|upprit|uppskrift
💼;skjalamappa;mappa|skjalamappa|taska
📁;skjalalummi;faldari|fíl|lummi|mappa|skjalalummi|skjalamappa
📂;opin skjalalummi;faldari|fíl|lummi i skjalalummi|mappa|opin|opin skjalalummi|skjalamappa
🗂️;seðlaskrábókamerki;bókamerki|indeks|seðlaskrá|seðlaskrábókamerki
📅;kalendari;álmanakki|dagfesting|dagseting|dato|kalendari|tíðarfesting|tíðarmerking
📆;kalendari sum kann skræðast úr;álmanakki|dagfesting|dagseting|dato|kalendari|kalendari sum kann skræðast úr|skræða|tíðarfesting|tíðarmerking
🗒️;spiralheftur skriviblokkur;blokkur|skriviblokkur|snyril|spiralheftur|spiralur
🗓️;spiralheftur kalendari;álmanakki|dagfesting|dagseting|dato|kalendari|spiralheftur|tíðarfesting|tíðarmerking
📇;kartotek;kartotek|kortsavn|seðlasavn|seðlaskrá
📈;strikumynd við vøkstri;diagramm|rásmynd|strikumynd|strikumynd við vøkstri|upp|veksur|vøkstur
📉;strikumynd við lækking;diagramm|lækkar|lækking|minkar|minking|niður|rásmynd|strikumynd|strikumynd við lækking
📊;stabbamynd;diagramm|rásmynd|stabbamynd|strikumynd
📋;klemmuspjald;klemmuspjald|setiborð
📌;nipsnál;nál|nipsnál
📍;rund nipsnál;nál|nipsnál|rund nipsnál
📎;klips;klips|pappírsklemma
🖇️;klips sum hanga saman;klips|klips sum hanga saman|pappírsklemmur
📏;lineal;lineal|strikfjøl
📐;tríkanta lineal;lineal|strikfjøl|tríkanta lineal|tríkantur
✂️;saksur;klipp|saksur
🗃️;savnskassi;kartotek|kortsavn|savnskassi|seðlasavn|seðlaskrá
🗄️;savnsskáp;kartotek|kortsavn|savnskassi|savnsskáp|savnsskipan|seðlasavn|seðlaskrá|skáp
🗑️;pappírskurv;pappírskurv|pappírsleypur|skrell
🔒;læst heingilás;afturlati|heingilás|læst|lás|stongt
🔓;opi heingilás;heingilás|lás|ólæst|opi
🔏;lás og fyllipennur;afturlati|fyllipennur|heingilás|læst|lás|lás og fyllipennur|pennur|stongt
🔐;heingilás og lykil;afturlati|ás|heingilás|heingilás og lykil|læst|lykil|stongt
🔑;lykil;lás|loyniorð|lykil
🗝️;gamal lykil;gamal lykil|lás|lykil
🔨;hamari;amboð|hamari|smíða
🪓;øks;amboð|høgg|høgga|hondøks|øks
⛏️;hakkari;amboð|hakkari|nám|námídnaður|námvinna|námvirki
⚒️;hamari og hakkari;amboð|hakkari|hamari|hamari og hakkari
🛠️;hamari og skrúvulykil;amboð|hamari|hamari og skrúvulykil|skiftilykil|skrúvulykil
🗡️;stutt svørð;dolkur|knívur|stutt svørð|svørð|vápn
⚔️;krossa svørð;krossa|svørð|vápn
💣;bumba;bumba|vopn
🪃;boomerang;Avstralia|bomerang|boomerang|kastivápn
🏹;bogi of pílur;Bogamaður|bogaskjótari|bogaskjóting|bogi|bogi of pílur|ørvargarpur|pílur|stjørnumerki|vápn
🛡️;skjøldur;skjøldur|vápn|verja|vernd
🪚;sag;amboð|hondsag|sag
🔧;skrúvulykil;amboð|skiftilykil|skrúvulykil
🪛;skrúvublað;amboð|skrúva|skrúvublað
🔩;møtrikkur og boltur;amboð|boltur|møtrikkur|møtrikkur og boltur
⚙️;tannhjól;amboð|gir|tannhjól
🗜️;skrúvutvinga;amboð|skrúvustikka|skrúvutvinga|spenniskrúva|tvinga
⚖️;vágskál;amboð|rættvísi|stjørnumerki|Vágmerkið|vágskál|vekt
🦯;blindastavur;blind|blindastavur|blindur|brek|handikapp|stavur
🔗;liður;leinkja|liður|samband|sambinding|sambindingarliður
⛓️‍💥;brotin keta;brotin|frælsi|keta
⛓️;keta;keta|leinkja|liður|samband|sambinding|sambindingarliður
🪝;krókur;krókur
🧰;amboðskassi;amboð|amboðskassi|kassi
🧲;magnet;magnet|magnetisk|magnetiskur|sigul
🪜;stigi;klatra|stig|stigi|upp
🪏;spaki;amboð|grava|hol|spaki
⚗️;dropadríva;amboð|dropadríva|evnafrøði|kemi
🧪;royndarglas;evnafrøði|náttúruvísind|roynd|royndarglas
🧫;petriskál;lívfrøði|náttúruvísind|petriskál|tilbúningarglas|tilbúningsglas
🧬;dna;arvaeind|dna|ílega|lív|lívfrøði|lívmenning|náttúruvísind
🔬;mikroskop;mikroskop|náttúruvísindi|sjóneyka|vísind
🔭;stjørnukikari;kikari|náttúruvísindi|spegilskikari|stjørnukikari|teleskop|vísindfjarvísi
📡;parabolur;antenna|parabolur|skálkampur
💉;sproyta;amboð|heilivágur|innspræning|lækni|medisin|nál|sjúka|sproyta
🩸;blóðdropi;blóð|blóðdropi|blóðgáva|blóðgevi|dropi
💊;pillari;heilivágur|lækni|medisin|pillari|sjúka
🩹;heftiplástur;heftiplástur|plástur
🩼;høkja;avlami|høkja|skaddur|skaði|stuðli
🩺;stetoskop;læknalurt|læknapípa|lurt|stetoskop
🩻;røntgenmynd;beinagrind|heilsa|læknakanning|lækni|røntgen|røntgenmynd|viðger
🚪;hurð;hurð
🛗;lyfta;elevatorur|lyfta
🪞;spegil;spegil|spegilsmynd|spegl|speglast|sýna|vísa
🪟;vindeyga;gluggi|rútar|rútur|vindeyga
🛏️;song;song|sova
🛋️;sofa og lampa;lampa|sofa|sofa og lampa
🪑;stólur;sæti|sessur|setur|stólur
🚽;ves;kumma|toilett|ves
🪠;súgvari;kumma|súgvari|toilett|typt|ves
🚿;brúsubað;brúsa|brúsubað|vatn
🛁;baðikar;bað|baðikar
🪤;músafella;fella|lokkingarmatur|músafella
🪒;rakiknívur;barberblað|knívur|raka|rakiblað|rakiknívur
🧴;lotiónfløska;fløska|húðkrem|lotión|lotiónfløska|smyrsl
🧷;trygdarnál;læsinál|nál|trygdarnál
🧹;kustur;gandakelling|kelling|kustur|sópa|vaska
🧺;kurv;kurv
🧻;vesipappír;kukka|toilettpappír|ves|vesipappír
🪣;spann;oysa|pøs|spann
🧼;hondsápa;hendur|hond|hondsápa|sápa|vaska
🫧;bløðrur;bløðra|bløðrur|sápa|vaska
🪥;tannbust;busta|tannbust|tannrøkt|tenn
🧽;svampur;holutur|svampur|vaska
🧯;eldskøkkjari;eld|eldskøkkjari|eldur|sløkkja|trygd
🛒;innkeypsvognur;innkeyp|innkeypsvognur|keypsvognur|vognur
🚬;tendra sigarett;royking|roykja|roykur|sigarett|tendra sigarett|tubbak
⚰️;líkkista;andlát|deyði|gravarferð|jarðarferð|kista|lík|líkkista
🪦;gravsteinur;deyði|gravsteinur|grøv|kirkjugarður
⚱️;øskukrukka;andlát|deyði|gravarferð|jarðarferð|krukka|øska|øskukrukka
🧿;nasaramulett;amulett|eydnulutur|kúla|nasar|nasaramulett|nazar|verndargripur
🪬;hamsa;amulett|eyga|Fatima|hamsa|hond|lógvi|verndargripur
🗿;moai;moai|Páskaoyggin|standmynd
🪧;skelti;kunnger|mótmæli|plakat|skelti|uppslag
🪪;samleikakort;eyðkenniskort|fulltrúarváttan|id|samleikakort

[symbols]
🏧;sjálvtøkuskeltið;automat|pengar|sjálvtøka|sjálvtøkuskeltið|út
🚮;ruskílatskelti;burturkast|órudd|rusk|ruskílatskelti
🚰;drekkivatn;drekkandi|drekkingarvatn|drekkivatn|vatn
♿;koyristólur symbol;atgongd|hjólstólur|koyristólur symbol|rullistólur
🚹;mannfólkaves;maður|mannfólkaves|ves|wc
🚺;konufólkaves;kona|konufólkaves|kvinna|ves|wc
🚻;ves symbol;ves|ves symbol|wc
🚼;pinkubarna symbol;pinkubarna symbol|skiftingarrúm|skiftirúm
🚾;wc symbol;ves|vesi|wc|wc symbol
🛂;passeftirlit;eftirlit|landamark|pass|passeftirlit
🛃;tolleftirlit;eftirlit|toll|tolleftirlit|tollur|tollverk
🛄;viðførisútflýggjan;útflýggjan|viðføri|viðførisútflýggjan
🛅;gloymt viðføri;gloymt|viðføri
⚠️;ávaring;ávaring
🚸;barnagonguteigur;ávaring|barnagonguteigur|børn|gonguteigur
⛔;innkoyring forboðið;ávaring|forboð|innkoyring forboðið
🚫;bannað;atgongd|bannað|forboð
🚳;ongar súkklur;forboð|ongar súkklur|súkkla
🚭;royking bannað;bannað|forboði|royking
🚯;ikki tveita burturkast;bannað|blaka|burturkast|forboð|ikki tveita burturkast|órudd|rusk|tveita
🚱;ikki drekkandi vatn;drekkivatn|ikki drekkandi vatn|vatn
🚷;bannað fyri gangandi fólki;bannað|bannað fyri gangandi fólki|forboð|ganga
📵;fartelefon ikki loyvd;bannað|fartelefon|fartelefon ikki loyvd|forboð
🔞;átjanára aldursmark;18|aldursmark|átjan|átjanára aldursmark|bannað|forboð
☢️;geislavirki;ávaring|geislavirki|geislavirkin
☣️;lívfrøðiligur vandi;ávaring|lívfrøðili|lívfrøðiligur vandi|vandi
⬆️;pílur sum peikar uppeftir;ætt|k´ós|norður|pílur|pílur sum peikar uppeftir
↗️;pílur sum peikar uppeftir og til høgru;ætt|k´ós|landnyrðingur|pílur|pílur sum peikar uppeftir og til høgru
➡️;pílur sum peikar til høgru;ætt|eystur|k´ós|pílur|pílur sum peikar til høgru
↘️;pílur sum peikar niðureftir og til høgru;ætt|k´ós|landsynningur|pílur|pílur sum peikar niðureftir og til høgru
⬇️;pílur sum peikar niðureftir;ætt|k´ós|niður|pílur|pílur sum peikar niðureftir|suður
↙️;pílur sum peikar niðureftir og til vinstru;ætt|k´ós|pílur|pílur sum peikar niðureftir og til vinstru|útsynningur
⬅️;pílur sum peikar til vinstru;ætt|k´ós|pílur|pílur sum peikar til vinstru|vestur
↖️;pílur sum peikar uppeftir og til vinstru;ætt|k´ós|pílur|pílur sum peikar uppeftir og til vinstru|útnyrðingur
↕️;pílur sum peikar upp og niður;pílur|pílur sum peikar upp og niður
↔️;pílur sum peikar til høgru og vinstu;pílur|pílur sum peikar til høgru og vinstu
↩️;bogin pílur sum peikar til vinstru;bogin|bogin pílur sum peikar til vinstru|pílur
↪️;bogin pílur sum peikar til høgru;bogin|bogin pílur sum peikar til høgru|pílur
⤴️;bogin pílur sum peikar uppeftir;bogin|bogin pílur sum peikar uppeftir|pílur
⤵️;bogin pílur sum peikar niðureftir;bogin|bogin pílur sum peikar niðureftir|pílur
🔃;loddrættir pílar sum ganga við urinum;loddrættir pílar sum ganga við urinum|lodrættir|pílar|við urinum
🔄;vatnrættir pílar sum ganga ímóti urinum;ímóti urinum|pílar|vatnrættir|vatnrættir pílar sum ganga ímóti urinum
🔙;BACK pílur;back|pílur
🔚;END pílur;end|pílur
🔛;ON! pílur;on|ON! pílur|pílur
🔜;SOON pílur;pílur|soon
🔝;TOP pílur;pílur top|TOP pílur
🛐;bønarstað;átrúnaður|bøn|bønarstað|religión|trúgv
⚛️;atom symbol;ateistur|atom|atom symbol|gudloysingur|gudsnoktari
🕉️;aúm;átrúnaður|aúm|hindui|om|religión|trúgv
✡️;dávidsstjørna;dávidsstjørna|gýðingastjørna|gýðingur|jødi|jødiskur|stjørna
☸️;dharmahjól;átrúnaður|buddistur|dharmahjól|religión|trúgv
☯️;jin yang;jin yang|yang taoisma|yin
✝️;latínskur krossur;átrúnaður|kristin|krossur|latínskur krossur|religión|trúgv
☦️;ortodoksur krossur;átrúnaður|kristin|krossur|ortodoksur krossur|religión|trúgv
☪️;stjørna og hálvmáni;átrúnaður|islam|muslimur|religión|stjørna og hálvmáni|trúgv
☮️;friðarsymbol;frið|friðarsymbol|friður
🕎;menorah;átrúnaður|ljósastaki|menorah|religión|trúgv
🔯;stjørna við seks spískum;eydna|lagna|stjørna|stjørna við seks spískum
🪯;khanda;khanda|sikki|sikkur|svørð
♈;Veðrurin;stjørnumerki|veðramerki|veðrur|Veðrurin
♉;Tarvurin;oksi|stjørnumerki|tarvsmerkið|tarvur|Tarvurin
♊;Tvíburarnir;stjørnumerki|tvíburamerki|tvíburar|Tvíburarnir
♋;Krabbin;krabbamerkið|krabbi|Krabbin|stjørnumerki
♌;Ljónið;leyva|Ljónið|ljónsmerkið|stjørnumerki
♍;Moyggin;moyarmerkið|Moyggin|moyggj|stjørnumerki
♎;Vágin;stjørnumerki|Vágin|vágmerkið|vágskál|vekt
♏;Sporðdrekin;skorpión|sporðdrekamerkið|Sporðdrekin|stjørnumerki
♐;Bogamaðurin;bogamaður|Bogamaðurin|skotmaður|stjørnumerki
♑;Steingeitin;geit|steingeitarmerki|Steingeitin|stjørnumerki
♒;Vatnberin;berari|stjørnumerki|vatn|Vatnberin
♓;Fiskarnir;fiskamerkið|Fiskarnir|fiskur|stjørnumerki
⛎;Ormberin;berari|Ormberin|ormur|slanga|stjørnumerki
🔀;blanda knappur;blanda|blanda knappur
🔁;endurtak knappur;endurtak|endurtak knappur|endurtøka|umaftur
🔂;endurtak einaferð knappur;einaferð|endurtak|endurtak einaferð knappur|endurtøka|umaftur
▶️;spæl knappur;spæl|spæl knappur
⏩;spola skjótt fram knappur;fram|skjótt|spola|spola skjótt fram knappur
⏭️;næsta knappur;næsta|næsta knappur|næsti
⏯️;spæl ella pausa knappur;pausa|spæl|spæl ella pausa knappur
◀️;spola aftur knappur;aftur|spola|spola aftur knappur
⏪;spola skjótt aftur knappur;aftur|skjótt|spola|spola skjótt aftur knappur
⏮️;undanfari knappur;undanfari|undanfari knappur|undanfarna|undanfarni
🔼;upp knappur;upp|upp knappur
⏫;skjótt upp knappur;skjótt|skjótt upp knappur|upp
🔽;niður knappur;niður|niður knappur
⏬;skjótt niður knappur;niður|skjótt|skjótt niður knappur
⏸️;pausaknappur;hvíld|pausa|pausaknappur
⏹️;steðgiknappur;steðgiknappur|stopp|stoppknappur
⏺️;upptøkuknappur;taka upp|upptøka|upptøkuknappur
⏏️;varpa út knappur;út|varpa út|varpa út knappur
🎦;biograf;biograf|filmur|sjónbandsupptakari
🔅;dimma knappur;dimma|dimma knappur|káma|skýma
🔆;ger ljósari knappur;ger ljósari knappur|klárna|ljósari|lýsa
📶;antennstabbar;antenna|antennstabbar|fartelefon|samband|stabbi
🛜;tráðleyst;alnet|beinari|breiðband|hotspot|internet|sambinding|telda|tráðleyst
📳;vibratiónstøða;fartelefon|støða|vibratión|vibratiónstøða
📴;sløk fartelefonina;fartelefon|sløk|sløk fartelefonina
♀️;konufólkatekin;kona|konufólk|konufólkatekin|kvinna
♂️;mannfólkatekin;maður|mannfólk|mannfólkatekin
⚧️;tvørkyndtekin;tvørkynd|tvørkyndtekin|tvørkyndur
✖️;falda;×|annullera|falda|ganga|x
➕;pluss;+|matematikk|pluss|plussmerki|rokning|støddfrøði
➖;minus;-|−|matematikk|minus|minusmerki|rokning|støddfrøði
➗;deila;÷|býti|deila|matematikk|rokning|støddfrøði
🟰;tjúkt javnatekn;javnatekin|matematikk|rokning|støddfrøði|tjúkt javnatekn
♾️;óendaligt;endaleyst|í allar ævir|óendalig|óendaligt
‼️;dupult rópitekn;dupult|rópitekn|teknseting
⁉️;rópitekn og spurnartekn;rópitekn|rópitekn og spurnartekn|spurnartekn|teknseting
❓;reytt spurnartekn;spurnartekn|spurningur|teknseting
❔;hvítt spurnartekn;greinarmerki|hvítt spurnartekn|spurnartekn|teknseting
❕;hvítt rópitekn;greinarmerki|hvítt rópitekn|rópitekn|teknseting
❗;reytt rópitekn;greinarmerki|rópitekn|teknseting
〰️;aldandi tankastrika;aldandi|greinarmerki|tankastrika|teknseting
💱;gjaldoyraveksil;børs|gjaldoyra|gjaldoyraveksil|veksil
💲;stórt dollartekn;dollarar|dollari|dollartekn|gjaldoyra|pengar|peningur|stórt dollartekn
⚕️;læknavísind symbol;eskulápusarstavur|læknafrøði|læknavísind symbol|læknavísindanna
♻️;endurnýtslasymbol;endurnýtsla|endurnýtslasymbol
⚜️;liljumynd sum skjaldarmerki;liljumynd|liljumynd sum skjaldarmerki|skjaldarmerki|svørðlilja
🔱;trítindað kvísl;kvísl|Poseidon|trítindað kvísl|trítindakvísl|trítindur
📛;navnaspjaldur;navn|navnaspjaldur|spjaldur
🔰;japanskt symbol fyri byrjandi;byrjandi|byrjari|japanskt|japanskt symbol fyri byrjandi
⭕;innanopin reyður sirkul;innanopin reyður sirkul|o|reyður|reytt|ringur|sirkul
✅;hvítt tjúkt flugubein;flugubein|hvítt tjúkt flugubein
☑️;flugubein í fýrakanti;flugubein|flugubein í fýrakanti|fýrakantur
✔️;tjúkt flugubein;flugubein|tjúkt flugubein
❌;kross symbol;annullera|falda|ganga|kross|kross symbol|strika|x
❎;kross symbol knappur;annullera|falda|ganga|kross|kross symbol knappur|strika|x
➰;bukt;bukt|lykkja|sloyfa|snar
➿;dupult bukt;bukt|dupult|lykkja|sloyfa|snar
〽️;umskiftistekn;broytin|frábregði|umskifti|umskiftistekn
✳️;áttatinda stjørna;áttatinda stjørna|stjørna
✴️;áttaspíska stjørna;áttaspíska stjørna|stjørna
❇️;glampi;glampa|glampi|glitra|glógva|ljóma|skyggja|stjørna
©️;upphavsrættur;c|upphavsrætt|upphavsrættur
®️;skrásett;r|skrásett|skrásettur
™️;virkisrættindi;fyritøkumerki|fyritøkurættindi|virkismerki|virkisrættindi|vøruheiti|vørumerki
🫟;sprutt;máling|sletta|sprutt|sprutta|stoyta
#️⃣;Knappahetta: #;Knappahetta
*️⃣;Knappahetta: *;Knappahetta
0️⃣;Knappahetta: 0;0|Knappahetta|null
1️⃣;Knappahetta: 1;1|ein|Knappahetta
2️⃣;Knappahetta: 2;2|Knappahetta|tveir
3️⃣;Knappahetta: 3;3|Knappahetta|tríggir
4️⃣;Knappahetta: 4;4|fýre|Knappahetta
5️⃣;Knappahetta: 5;5|fimm|Knappahetta
6️⃣;Knappahetta: 6;6|Knappahetta|seks
7️⃣;Knappahetta: 7;7|Knappahetta|sjey
8️⃣;Knappahetta: 8;8|átta|Knappahetta
9️⃣;Knappahetta: 9;9|Knappahetta|níggju
🔟;Knappahetta: 10;Knappahetta
🔠;stórir bókstavir;ABCD|stórir bókstavir
🔡;smáir bókstavir;abcd|smáir bókstavir
🔢;tøl;1234|tøl
🔣;symbol;〒♪&amp;%|symbol
🔤;bókstavir;abc|alfabet|bókstavarað|bókstavir|stavrað
🅰️;A knappur (blóðflokkur);a|A knappur (blóðflokkur)|blóðflokkur|blóðtypa|knappur|knøttur
🆎;AB knappur (blóðflokkur);ab|AB knappur (blóðflokkur)|blóðflokkur|blóðtypa|knappur|knøttur
🅱️;B knappur (blóðflokkur);b|B knappur (blóðflokkur)|blóðflokkur|blóðtypa|knappur|knøttur
🆑;CL knappur;cl|knappur|knøttur
🆒;COOL knappur;cool|knappur|knøttur
🆓;FREE knappur;free|knappur|knøttur
ℹ️;kunning;i|kunning|kunningarstova|leiðbeining|upplýsing
🆔;ID knappur;id|identitetur|knappur|knøttur|samleiki
Ⓜ️;M í sirkuli;m|M í sirkuli|sirkul
🆕;NEW knappur;knappur|knøttur|new
🆖;NG knappur;knappur|knøttur|ng
🅾️;O knappur (blóðflokkur);blóðflokkur|blóðtypa|knappur|knøttur|o|O knappur (blóðflokkur)
🆗;OK knappur;knappur|knøttur|ok
🅿️;P knappur;knappur|knøttur|ok|P knappur|parkering|parkeringarbásur|parkeringarpláss|parkeringarskiva
🆘;SOS knappur;hjálp|knappur|knøttur|neyðarkall|neyðarróp|sos
🆙;UP! knappur;knappur|knøttur|up!|upp
🆚;VS knappur;ímóti|knappur|knøttur|vs
🈁;japanskur &quot;her&quot; knappur;&quot;her&quot;|japanskur|japanskur &quot;her&quot; knappur|katakana|ココ
🈂️;japanskur &quot;avgreiðslugjald&quot; knappur;&quot;avgreiðslugjald&quot;|&quot;borðreiðingargjald&quot;|japanskur|japanskur &quot;avgreiðslugjald&quot; knappur|katakana|サ
🈷️;japanskur &quot;mánaðarlig upphædd&quot; knappur;&quot;mánaðarlig upphædd&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;mánaðarlig upphædd&quot; knappur|月
🈶;japanskur &quot;ikki ókeypis&quot; knappur;&quot;ikki ókeypis&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;ikki ókeypis&quot; knappur|有
🈯;japanskur &quot;bílagt&quot; knappur;&quot;bílagt&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;bílagt&quot; knappur|指
🉐;japanskur &quot;kvett&quot; knappur;&quot;gott keyp&quot;|&quot;kvett&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;kvett&quot; knappur|得
🈹;japanskur &quot;avsláttur&quot; knappur;&quot;avsláttur&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;avsláttur&quot; knappur|割
🈚;japanskur &quot;ókeypis&quot; knappur;&quot;ókeypis&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;ókeypis&quot; knappur|無
🈲;japanskur &quot;bannað&quot; knappur;&quot;bannað&quot;|&quot;forboð&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;bannað&quot; knappur|禁
🉑;japanskur &quot;hóskandi&quot; knappur;&quot;hóskandi&quot;|&quot;ok&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;hóskandi&quot; knappur|可
🈸;japanskur &quot;umsókn&quot; knappur;&quot;áheitan&quot;|&quot;umsókn&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;umsókn&quot; knappur|申
🈴;japanskur &quot;nøktandi avrik&quot; knappur;&quot;nøktandi avrik&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;nøktandi avrik&quot; knappur|合
🈳;japanskur &quot;leyst&quot; knappur;&quot;leyst&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;leyst&quot; knappur|空
㊗️;japanskur &quot;lukkuynsking&quot; knappur;&quot;lukkuynsking&quot;|&quot;til lukku&quot;|&quot;tillukku&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;lukkuynsking&quot; knappur|祝
㊙️;japanskur &quot;loyndarmál&quot; knappur;&quot;loyndarmál&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;loyndarmál&quot; knappur|秘
🈺;japanskur &quot;opið&quot; knappur;&quot;opið&quot;|&quot;opin&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;opið&quot; knappur|営
🈵;japanskur &quot;einki leyst&quot; knappur;&quot;einki leyst&quot;|hugtaksskrift|ideografi|japanskur|japanskur &quot;einki leyst&quot; knappur|満
🔴;reyður sirkul;reyður|reytt|sirkul
🟠;appilsingulur sirkul;appilsingult|appilsingulur|sirkul
🟡;gulur sirkul;gult|gulur|sirkul
🟢;grønur sirkul;grønt|grønur|sirkul
🔵;bláur sirkul;blátt|bláur|sirkul
🟣;lillafarvaður sirkul;korkalitt|korkalittur|korkalitur|lillafarva|lillafarvaður|reyðblátt|reyðbláur|sirkul
🟤;brúnur sirkul;brúnt|brúnur|sirkul
⚫;svartur sirkul;mátingarfrøði|sirkul|svartur
⚪;hvítur sirkul;hvítur|mátingarfrøði|sirkul
🟥;reyður fýrakantur;fýrakantur|reyður|reytt
🟧;appilsingulur fýrakantur;appilsingult|appilsingulur|fýrakantur
🟨;gulur fýrakantur;fýrakantur|gult|gulur
