# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Láfín Fes;Fes|Laf|Láfín Fes
🛡️;Shild;Shild|Wẹ́pọn
🪚;Kápínta Sọ;Kápínta|Kápínta Im Sọ|Sọ|Tímba|Tul
🔧;Spána;Rẹnch|Spána|Tul
🪛;Skrúdraíva;Skru|Skrúdraíva|Tul
🔩;Nọ́t An Bolt;Bolt|Nọt|Nọ́t An Bolt|Tul
⚙️;Gia;Gia|Kọg|Kọ́gwil|Tul
🗜️;Klamp;Klamp|Kọmprẹs|Tul|Vais
⚖️;Balans Skel;Bálans|Balans Skel|Jọ́stis|Líbra|Skel|Zódiak
🦯;Waít Stik;Blaind|Ízí To Yuz|Waít Stik|Waít Wọkin Stik
🔗;Link;Link
⛓️‍💥;brókún chen;brek|brekin|brókún|chen|fridóm|hankóf
⛓️;Chen-dẹm;Chen|Chen-dẹm
🪝;Huk;Huk|Kach|Kọv|Kruk|Sẹ́lín Pọint|Trap
🧰;Túlbọks;Mẹ́kánik|Strọ́ng Bọks|Tul|Túlbọks
🧲;Magnẹ́tọ;Drọ|Hold|Họ́sshu|Magnẹt|Magnẹ́tọ
🪜;Láda;Klaimb|Láda|Ládá Stẹp|Stẹp
🪏;shọ́vẹ́l;bẹ́rí|díg|gádín|họ́l|plánt|shọ́vẹ́l sped|skup|snọ́
⚗️;Alẹ́mbik;Alẹ́mbik|Kẹ́místri|Tul
🧪;Tẹ́st Tub;Ẹspẹ́rímẹnt|Kẹ́mist|Kẹ́místri|Lab|Sáyẹns|Tẹ́st Tub
🧫;Pẹ́trí Plet;Báktéria|Bayọ́lọ́ji|Bayọ́lọ́jí Ẹ́spat|Lab|Pẹ́trí Plet
🧬;DNA;Bayọ́lọ́jí Ẹ́spat|DNA|Ívolúshọn|Jẹnẹ́tiks|Jiin|Laif
🔬;Maíkroskop;Maíkroskop|Sáyẹns|Tul
🔭;Tẹlískop;Sáyẹns|Tẹlískop|Tul
📡;Sátálaít Antẹ́na;Antẹ́na|Dish|Sátálait|Sátálaít Antẹ́na
💉;Sirinj;Mẹ́dísin|Nídul|Shọt|Sik|Sirinj
🩸;Drọ́p Ọf Blọd;Blid|Drọ́p Ọf Blọd|Ínjúri|Mẹ́dísin|Mẹnsturéshọn|Taim|To Donét Blọd
💊;Mẹ́dísin;Dọ́ktọ|Mẹ́dísin|Pil|Sik
🩹;Plásta;Bándej|Plásta
🩼;Krọ́chis;Fọ Pẹ́sin Nọ́t To Fít Múv Im Bọdí|Krọ́chis|Sọ́mtin Wé De Hẹ́lẹp Pẹ́sin Múv Frọm Plés To Ples|Stik|Wọkin Stik|Wund
🩺;Stẹteskop;Dọ́ktọ|Hat|Mẹ́dísin|Stẹteskop
🩻;Eks-Rè;Bon-dẹm|Dọ́ktọ|Eks-Rè|Ẹ́ks-Rè|Mẹ́díkal|Skẹ́lẹ́tin
🚪;Dọọ;Dọọ
🛗;Lìft;Aksẹsibílíti: Haú I Dé Ízi To Rích Sọm Ples|Ẹ́livétọ|Ẹ́ntá Ọ Yúz Ọ Sí Sọ́mtin|Lift|Lìft|To Púl Sọ́mtin Gó Ọp
🪞;Mírọ;Imej|Lukin Glas|Mírọ|Riflẹ́ktọ|Spẹ́kulum
🪟;Wíndo;Frem|Frẹ́sh Ea|Luk|Ópunin|Sí Tru|Wíndo
🛏️;Bẹdi;Bẹdi|Họtẹl|Slip
🛋️;Sẹtii An Lamp;Ẹlẹ́ktrík Lamp|Họtẹl|Kauch|Kauch An Ẹlẹ́ktrík Lamp|Sẹtii An Lamp
🪑;Chia;Chia|Sit
🚽;Wọ́tá Sístẹm;Toílẹt|Wọ́tá Sístẹm
🪠;Plúnja;Plọnj|Plúnja|Toílẹt|Wọ́tá Sístẹm
🚿;Sháwa;Sháwa|Wọtá
🛁;Baf;Baf|Báf Bézin
🪤;Rát Trap;Bẹt|Fud Wé Dẹm Pút Ọn Tọ́p Trap|Maús Trap|Maústrap|Rát Trap|Ráttrap|Trap
🪒;Rézọ;Rézọ|Shap|Shev
🧴;Lóshọ́n Bọ́tul;Krim Wé De Mék Bọdí Mék I Nọ́ Dé Drai|Lóshọn|Lóshọ́n Bọ́tul|Mọischọraíza|Shampú|Sọ́nskrin
🧷;Séfti Pin;Bébí Nápkin|Séfti Pin
🧹;Brum;Brum|Klin|Klínin|Swip|Wich
🧺;Baskẹt;Baskẹt|Fámin|Klọt Wé Yu Wán Wọsh|Lọ́ndri|Píknik
🧻;Tọílẹ́t Rol;Pépá Tọ́wẹl|Ról Ọf Pépa|Tọílẹ́t Pépa|Tọílẹ́t Rol
🪣;Bọ́kẹt;Bọ́kẹt|Drọm|Pel|Vat
🧼;Sop;Baa|Baf|Fom|Klin|Sop|Sópdish
🫧;Bọ́bul;Bẹlch|Bọ́bul|Klin|Ọ́ndáwọtá|Sop
🪥;Tútbrọsh;Bafrum|Brọsh|Haijin|Klin|Tins Wé Kọnsán Tit|Tit|Tútbrọsh
🧽;Spọnj;Klin|Sok|Spọnj
🧯;Fáyá Ẹkstíngwísha;Fáya|Fáyá Ẹkstíngwísha|Kwẹnch
🛒;Kart;Kart|Shọp|Shọ́pin
🚬;Sigarẹt;De Smok|Sigarẹt|Smókin
⚰️;Kọ́fin;Dai|Kọ́fin
🪦;Grévston;Bẹrial Graund|Grévston|Sẹ́mẹ́tri
⚱️;Bẹ́riál Kọnténa Fọ Ásh Ọf Pẹ́sin Wé Dọ́n Dai;Ash|Bẹ́rial|Bẹ́riál Kọnténa Fọ Ásh Ọf Pẹ́sin Wé Dọ́n Dai|Dai
🧿;Ívúl-Aí Talisman;Bid|Cham|Ívúl-Aí|Nazar|Nazar Jujú Cham|Talisman
🪬;Hámsa;Fatíma|Hámsa|Hand|Jujú Cham|Merí|Míriam|To Protẹ́t Pẹ́sin
🗿;Moai;Fes|Moai|Moyai|Statiu
🪧;Plákad;Dẹmọnstréshọn|Plákad|Protẹt|Sain
🪪;Adẹ́ntíti Kat;Adẹ́ntíti Kad|Adẹ́ntíti Kat|ID|Krẹdidẹ́nshal|Laísẹns|Sẹkúríti

[symbols]
🏧;ATM Sain;ATM|ATM Sain|Bank|Ọtọmátik|Tẹ́la
🚮;Dọtí Ínsaíd Dọstbin;Dọstbin|Dọtí|Dọtí Ínsaíd Dọstbin
🚰;Klín Wọtá;De Drink|Klín Wọtá|Wọtá
♿;Wílchiá Símbul;Ízí To Yuz|Wílchiá Símbul
🚹;Man-dẹm Tọílẹ́t Rum;Lávétri|Man|Man-dẹm Tọílẹ́t Rum|Rẹ́strum|WC
🚺;Wúman-dẹm Tọílẹ́t Rum;Lávétri|Rẹ́strum|WC|Wúman|Wúman-dẹm Tọílẹ́t Rum
🚻;Tọílẹ́t Rum;Lávétri|Rẹ́strum|Tọílẹ́t Rum|WC
🚼;Bébí Símbul;Bébi|Bébí Símbul|Chenj
🚾;Wọ́tá Kọnténa;Lávétri|Rẹ́strum|WC|Wọ́ta|Wọ́tá Kọnténa
🛂;Páspọ́t Kọntrol;Kọntrol|Páspọt|Páspọ́t Kọntrol
🛃;Kọ́stọ́m Pípol;Kọ́stọ́m Pípol
🛄;Wiá To Kọlẹ́kt Bágej;Bágej|Kọlẹkt|Lod|Wiá To Kọlẹ́kt Bágej
🛅;Lọ́gej Wé Pípol Lív Bihaind;Bágej|Lọ́gej|Lọ́gej Wé Pípol Lív Bihaind
⚠️;Wọ́nin;Wọ́nin
🚸;Smọ́l Pikin-dẹm De Krọs;Krọ́sin|Pẹ́sin Wé Ték Lẹg De Waká Fọ Rod|Pikin|Smọ́l Pikin-dẹm De Krọs|Tráfik
⛔;Nọ́ Ẹ́nta;Ẹ́nta|Fọbid|No|Nọ́|Nọ́ Alau|Nọ́ Dú Am|Tráfik
🚫;Nọ́ Dú Am;Ẹ́nta|Fọbid|No|Nọ́|Nọ́ Alau|Nọ́ Dú Am
🚳;Nó Baísíkul Hia;Baik|Baísíkul|Fọbid|No|Nó Baísíkul|Nó Baísíkul Hia|Nọ́ Dú Am
🚭;Nó Smókin;Fọbid|No|Nọ́ bi|Nọ́ Dú Am|Nó Smókin|Smókin
🚯;Nó Drọp Drọ́p Dọtí Hia;Dọtí|Fọbid|No|Nó Drọp Drọ́p Dọtí Hia|Nọ́ Dú Am
🚱;Dís Wọtá Nọ́ Gúd Fọ Drink;Dís Wọtá Nọ́ Gúd Fọ Drink|Nọ́t Fọ Drink|Wọtá
🚷;Nọ́ Wáka Fọ Lẹg Hia;Fọbid|No|Nọ́ Dú Am|Nọ́ Wáka Fọ Lẹg Hia|Nọt|Pẹ́sin Wé De Wáka Fọ Lẹg
📵;Nọ́ Yúz Mọ́baíl Fon-dẹm Hia;Fọbid|Fon|Mọ́bail|No|Nó Mọ́baíl Fon-dẹm|Nọ́ Yúz Mọ́baíl Fon-dẹm Hia|Sẹl
🔞;Nóbọ́di Wé Dé Ọ́ndá Ẹtín Yiẹs;18|Ban|Éj Límit|Ẹtín|Fọbid|Nóbọ́di Wé Dé Ọ́ndá Ẹtín Yiẹs|Ọndaej
☢️;Rédioáktiv;Rédioáktiv|Sain
☣️;Báioházad;Báioházad|Sain
⬆️;Áro De Pọínt Ọp;Áro|Áro De Pọínt Ọp|Áro Wé De Pọínt Ọp|Dairẹ́kshọn|Kọ́mpas|Nọ́tán Said
↗️;Áro De Pọínt Ọ́p-Rait;Áro|Áro De Pọínt Ọ́p-Rait|Dairẹ́kshọn|Intakádínal|Nọ́tist
➡️;Áro De Pọínt Rait;Áro|Áro De Pọínt Rait|Dairẹ́kshọn|Ist|Kọ́mpas
↘️;Áro De Pọínt Daún-Rait;Áro|Áro De Pọínt Daún-Rait|Dairẹ́kshọn|Intakádínal|Saútist
⬇️;Áro De Pọínt Daun;Áro|Áro De Pọínt Daun|Dairẹ́kshọn|Daun|Kádínal|Saut
↙️;Áro De Pọínt Daún-Lẹft;Áro|Áro De Pọínt Daún-Lẹft|Dairẹ́kshọn|Kádínal|Saútwẹst
⬅️;Áro De Pọínt Lẹft;Áro|Áro De Pọínt Lẹft|Dairẹ́kshọn|Kádínal|Wẹst
↖️;Áro De Pọínt Ọ́p-Lẹft;Áro|Áro De Pọínt Ọ́p-Lẹft|Dairẹ́kshọn|Kádínal|Nọ́twẹst
↕️;Áro De Pọínt Ọ́p An Daun;Áro|Áro De Pọínt Ọ́p An Daun
↔️;Áro De Pọínt Lẹ́ft An Rait;Áro|Áro De Pọínt Lẹ́ft An Rait
↩️;Raít Áro Kọ́v Gó Lẹft;Áro|Raít Áro Kọ́v Gó Lẹft
↪️;Lẹ́ft Áro Kọ́v Gó Raít;Áro|Lẹ́ft Áro Kọ́v Gó Rait|Lẹ́ft Áro Kọ́v Gó Raít
⤴️;Raít Áro Kọ́v Gó Ọp;Áro|Raít Áro Kọ́v Gó Ọp
⤵️;Raít Áro Kọ́v Gó Daun;Áro|Daun|Raít Áro Kọ́v Gó Daun
🔃;Aro-dẹm De Múv Klọ́k Hánd Dairẹ́kshọn;Áro|Aro-dẹm De Múv Klọ́k Hánd Dairẹ́kshọn|Klọ́k Hánd Dairẹ́kshọn|Rilod
🔄;Aro-dẹm Nọ́ De Múv Klọ́k Hánd Wè;Áro|Aro-dẹm Nọ́ De Múv Klọ́k Hánd Wè|Aro-dẹm Wé Nọ́ De Múv Gó Klọ́k Hánd Dairẹ́kshọn|Di Bọ́tin Ọf Aro-dẹm Wé Nọ́ De Múv Gó Klọ́k Hánd Dairẹ́kshọn|Wídashins: Dairẹ́kshọn Wé Dé Ópózít To Sọn Im Dairẹ́kshọn
🔙;BACK Áro;Áro|BACK Áro|Bak
🔚;END Áro;Áro|Bak|END Áro
🔛;ON! Áro;Áro|Mak|Ọn|ON! Áro
🔜;SOON Áro;Áro|Soon
🔝;TOP Áro;Áro|Ọp|Tọp|TOP Áro
🛐;Ples Wiá Pípul De Prè;Ples Wiá Pípul De Prè|Prè|Rilíjọn
⚛️;Átọ́m Símbul;Átọm|Átọ́m Símbul|Pẹ́sin Wé Bilív Sé Gọd Nọ́ Dè
🕉️;Om;Híndu|Om|Rilíjọn
✡️;Stá Ọf Dévid;Dévid|Judiá Pẹ́sin|Rilíjọn|Sta|Stá Ọf Dévid
☸️;Dhárma Wil;Búdist|Dhárma|Dhárma Wíl|Rilíjọn|Wil
☯️;Yin Yang;Rilíjọn|Táo|Táóist|Yang|Yin
✝️;Látín Krọs;Krístien|Krọs|Látín Krọs|Rilíjọn
☦️;Ọ́tọ́dọ́ks Krọs;Krístien|Krọs|Ọ́tọ́dọ́ks Krọs|Rilíjọn
☪️;Sta An Mun Wé Kọv;Íslam|Múslim|Rilíjọn|Sta An Mun Wé Kọv
☮️;Piís Símbul;Piis|Piís Símbul
🕎;Mẹnóra;Kándúlábrum|Kándúlstand|Kándúlstand Wé Gẹ́t Pás Wọ́n Hand|Mẹnóra|Rilíjọn
🔯;Síks Pọínt Sta Wit Dọt Fọ Mídul;Bíg Mọní|Fọ́tiun|Lọk|Ríchis|Síks Pọínt Sta Wit Dọt Fọ Mídul|Sta
🪯;Khánda;Khánda|Rilíjọn|Síkh
♈;É́riz;É́riz|Ram|Zódiak
♉;Tọ́rus;Bul|Mán-kau|Tọ́rus|Zódiak
♊;Jẹ́míni;Jẹ́míni|Twins|Zódiak
♋;Kánsa;Kánsa|Krab|Zódiak
♌;Lío;Láyọn|Lío|Zódiak
♍;Vẹ́go;Vẹ́go|Zódiak
♎;Líbra;Bálans|Jọ́stis|Líbra|Skel-dẹm|Zódiak
♏;Skọ́pio;Skọ́pio|Skọ́piọn|Skọ́pius|Zódiak
♐;Sajitérius;Pẹ́sin Wé De Shút Wit Bó An Áro|Sajitérius|Zódiak
♑;Kápríkọn;Got|Kápríkọn|Zódiak
♒;Akwériọs;Akwériọs|Pẹ́sin Wé Kárí Sọ́mtin|Water|Zódiak
♓;Paísiz;Fish|Paísiz|Zódiak
⛎;Ọfiúkus;Ọfiúkus|Pẹ́sin Wé Kárí Sọ́mtin|Sápẹnt|Snek|Zódiak
🔀;Shọ́fúl Trak-dẹm Bọ́tin;Áro|Krọ́s Áro|Shọ́fúl Trak-dẹm Bọ́tin
🔁;Ripít Bọ́tin;Áro|Klọ́k Hand Dairẹ́kshọn|Ripit|Ripít Bọ́tin
🔂;Ripít Síngúl Bọ́tin;Áro|Klọ́k Hand Dairẹ́kshọn|Ripít Síngúl Bọ́tin|Wọ́n Taim|Wọns
▶️;Plé Bọ́tin;Áro|Plé Bọ́tin|Rait|Tráyángul
⏩;Fást-Fọ́wọ́d Bọ́tin;Áro|Dọ́bul|Fast|Fást-Fọ́wọ́d Bọ́tin|Fọ́wọd
⏭️;Nẹ́kst Trák Bọ́tin;Áro|Nẹ́kst Siin|Nẹ́kst Trak|Nẹ́kst Trák Bọ́tin|Tráyángul
⏯️;Plé ọ Stọ́p-smọl Bọ́tin;Áro|Plè|Plé ọ Stọ́p-smọl Bọ́tin|Rait|Stọ́p-smọl|Tráyángul
◀️;Rivás Bọ́tin;Áro|Lẹft|Rivas|Rivás Bọ́tin|Tráyángul
⏪;Fást Rivás Bọ́tin;Áro|Dọ́bul|Fást Rivás Bọ́tin|Riwaind
⏮️;Lást Trák Bọ́tin;Áro|Di Siin Bifọ́ Dís Wọn|Di Trak Bifọ́ Dís Wọn|Lást Trák Bọ́tin|Tráyángul
🔼;Ọ́p Bọ́tin;Áro|Bọ́tin|Ọp|Ọ́p Bọ́tin|Rẹd
⏫;Fást Ọ́p Bọ́tin;Áro|Dọ́bul|Fást Ọ́p Bọ́tin
🔽;Daún Bọ́tin;Áro|Bọ́tin|Daun|Daún Bọ́tin|Rẹd
⏬;Fást Daún Bọ́tin;Áro|Daun|Dọ́bul|Fást Daún Bọ́tin
⏸️;Stọ́p-smọl Bọ́tin;Baa|Dọ́bul|Stọ́p-smọl|Stọ́p-smọl Bọ́tin|Stret
⏹️;Stọ́p Bọ́tin;Skwea|Stọp|Stọ́p Bọ́tin
⏺️;Rẹ́kọ́d Bọ́tin;Rẹ́kọd|Rẹ́kọ́d Bọ́tin|Sẹ́kul
⏏️;Ijẹ́kt Bọ́tin;Ijẹkt|Ijẹ́kt Bọ́tin
🎦;Sinẹ́ma;Fim|Kámẹ́ra|Múvi|Sinẹ́ma
🔅;Dim Bọ́tin;Braítnẹs|Dim|Dim Bọ́tin|Dím Bọ́tin|Lò
🔆;Braít Bọ́tin;Brait|Braít Bọ́tin|Braítnẹs
📶;Antẹ́ná Baa-dẹm;Antẹ́na|Antẹ́ná Baa-dẹm|Baa|Fon|Mọ́bail|Sẹ́lfon
🛜;Wáyálẹs;Íntánẹt|Kọmpúta|Nẹ́twọk|Wáyálẹs
📳;Vaibréshọ́n Mod;Fon|Mọ́bail|Mod|Sẹl|Tẹlifon|Vaibréshọn|Vaibréshọ́n Mod
📴;Mọ́baíl Fon Dé Ọff;Fon|Mọ́bail|Mọ́baíl Fon Dé Ọff|Ọff|Sẹl|Tẹlifon
♀️;Wúman Sain;Wúman|Wúman Sain
♂️;Man Sain;Man|Man Sain
⚧️;Transjẹ́ndá Símbul;Transjẹ́nda|Transjẹ́ndá Símbul
✖️;Taims Sain;Kánsul|Sain|Taims|To Mọltiplai|X
➕;Plọs;+|Mats|Plọs|Sain
➖;Maínọs;-|Maínọs|Mats|Sain
➗;Divaid;÷|Divaid|Divíshọn|Mats|Sain
🟰;Bíg Íkwọ́ls Sain;Bíg Íkwọ́ls Sain|Fọ Tins To Dé Íkwọl|Mats
♾️;Infíníti;Fọ Ẹ́vríwia|Fọrẹ́va|Infíníti|Jẹ́náral|Nọ́ Gẹ́t Límit
‼️;Dọ́búl Ẹksklaméshọn Mak;!|!!|Bángbang|Dọ́búl Ẹksklaméshọn Mak|Ẹksklaméshọn|Mak
⁉️;Ẹksklaméshọn Kwẹ́shọn Mak;!|!?|?|Ẹksklaméshọn|Kwẹ́shọn|Mak|Pọnkchuéshọn
❓;Kwẹ́shọn Mak;?|Kwẹ́shọn|Mak|Pọnkchuéshọn
❔;Waít Kwẹ́shọn Mak;?|Aútlain|Kwẹ́shọn|Mak|Pọnkchuéshọn|Waít Kwẹ́shọn Mak
❕;Wait Ẹksklaméshọn Mak;!|Aútlain|Ẹksklaméshọn|Mak|Pọnkchuéshọn|Wait Ẹksklaméshọn Mak
❗;Rẹ́d Ẹksklaméshọn Mak;!|Ẹksklaméshọn|Mak|Pọnkchuéshọn|Rẹ́d Ẹksklaméshọn Mak
〰️;Kọv-kọ́v Dash;Dash|Kọv-kọ́v|Pọnkchuéshọn
💱;Kọ́rẹ́nsí Ẹ́kschenj;Bank|Ẹ́kschenj|Kọ́rẹ́nsi|Kọ́rẹ́nsí Ẹ́kschenj|Mọní
💲;Hẹ́ví Dọ́lá Sain;Dọ́la|Hẹ́ví Dọ́lá Sain|Kọ́rẹ́nsi|Mọní
⚕️;Mẹ́díkál Sain;Éskiulépiọs|Mẹ́díkál Sain|Mẹ́dísin|Wọ́ka-dẹm|Wọ́kas
♻️;Risaíkúl Sain;Risaíkul|Risaíkúl Sain
⚜️;Flẹ́-De-Lis;Flẹ́-De-Lis
🔱;Traidẹ́nt Sain;Hẹ́ví Áyọ́n Huk Wé De Hól Ship Fọ Wọ́n Ples Ínsaíd Wọtá|Sain|Ship|Spia Wé Gẹ́t Tírí Maut|Traidẹ́nt Sain|Tuul
📛;Ném Baj;Baj|Nem|Ném Baj
🔰;Japán Sain Fọ Bigína;Bigína|Japán|Japán Sain Fọ Bigína|Lif|Shẹ́vrọn
⭕;Rẹd Sẹ́kul Wé Gẹ́t Hol;Big|o|Rẹd|Rẹd Sẹ́kul Wé Gẹ́t Hol|Sẹ́kul
✅;Chẹ́k Mák Bọ́tin;✓|Bọ́tin|Chẹk|Chẹ́k Mák Bọ́tin|Mak
☑️;Chẹ́k Bọks Wit Chẹk;✓|Bọks|Chẹk|Chẹ́k Bọks Wit Chẹk|Gud|Gúd Bọks Wit Gud
✔️;Chẹ́k Mak;✓|Chẹk|Chẹ́k Mak|Mak
❌;Krọ́s Mak;×|Kánsul|Krọs|Krọ́s Mak|Mak|Mọltiplai|Taims|X
❎;Krọ́s Mák Bọ́tin;Krọ́s Mák Bọ́tin|Mak|Skwea|X
➰;Raúnd Shép Rop;Raund|Raúnd Shép Rop|Rop
➿;Dọ́búl Raúnd Shép Rop;Dọ́búl|Dọ́búl Raúnd Shép Rop|Raúnd|Rop
〽️;Pát Ọltanéshọn Mak;Mak|Pat|Pát Ọltanéshọn Mak
✳️;Astẹ́risk Wé Gẹ́t Ẹ́t Spok;Astẹ́risk|Astẹ́risk Wé Gẹ́t Ẹ́t Spok
✴️;Sta Wé Gẹ́t Ẹ́t Pọint;Sta|Sta Wé Gẹ́t Ẹ́t Pọint
❇️;Spákul;Spákul
©️;Kọ́pírait;c|Kọ́pírait
®️;Rẹ́jísta;r|Rẹ́jísta
™️;Tréd Mak;Mak|TM|Tréd Mak|Trédmak
🫟;splátá;dríp|holi|ínk|líkwid|mẹ́s|pẹ́nt|spil|splátá|stẹ́n
#️⃣;Kíkap: #;Kíkap
*️⃣;Kíkap: *;Kíkap
0️⃣;Kíkap: 0;0|Kíkap|zẹro
1️⃣;Kíkap: 1;1|Kíkap|wán
2️⃣;Kíkap: 2;2|Kíkap|tú
3️⃣;Kíkap: 3;3|Kíkap|trí
4️⃣;Kíkap: 4;4|fọr|Kíkap
5️⃣;Kíkap: 5;5|fáiv|Kíkap
6️⃣;Kíkap: 6;6|Kíkap|síx
7️⃣;Kíkap: 7;7|Kíkap|sẹven
8️⃣;Kíkap: 8;8|ẹít|Kíkap
9️⃣;Kíkap: 9;9|Kíkap|naín
🔟;Kíkap: 10;Kíkap
🔠;Pút Látin Bíg Sain-dẹm;AB(Ch)D|AB(Ch)D Sain-dẹm|Bíg Sain-dẹm|Látin|Put|Pút Látin Bíg Sain-dẹm
🔡;Pút Látin Smọ́l Lẹ́ta-dẹm;ab(ch)d|AB(Ch)D Sain-dẹm|Látin|Put|Pút Látin Smọ́l Lẹ́ta-dẹm|Smọ́l Sain-dẹm
🔢;Pút Nọ́mba-dẹm;1234|Nọ́mba-dẹm|Put|Pút Nọ́mba-dẹm
🔣;Pút Sain-dẹm;〒♪&amp;%|Put|Pút Sain-dẹm
🔤;Pút Látin Lẹ́ta-dẹm;ab(ch)|AB(Ch)D Sain-dẹm|Álfábẹt|Látin|Put|Pút Látin Lẹ́ta-dẹm
🅰️;A Bọ́tin (Blọ́d Taip);a|A Bọ́tin (Blọ́d Taip)
🆎;AB Bọ́tin (Blọ́d Taip);ab|AB Bọ́tin (Blọ́d Taip)|Blọ́d Taip
🅱️;B Bọ́tin (Blọ́d Taip);b|B Bọ́tin (Blọ́d Taip)|Blọ́d Taip
🆑;CL Bọ́tin;cl|CL Bọ́tin
🆒;COOL Bọ́tin;Cool|COOL Bọ́tin
🆓;FREE Bọ́tin;FREE Bọ́tin|Fri
ℹ️;Ínfọméshọn;i|Ínfọméshọn
🆔;ID Bọ́tin;Aídẹ́ntíti|id|ID Bọ́tin
Ⓜ️;M Wé Dẹm Drọ́ Sẹ́kúl Raúnd Am;m|M Wé Dẹm Drọ́ Sẹ́kúl Raúnd Am|Sẹ́kúl
🆕;NEW Bọ́tin;New|NEW Bọ́tin|Niu
🆖;NG Bọ́tin;ng|NG Bọ́tin
🅾️;O Bọ́tin (Blọ́d Taip);Blọ́d Taip|o|O Bọ́tin (Blọ́d Taip)
🆗;OK Bọ́tin;OK|OK Bọ́tin
🅿️;P Bọ́tin;P Bọ́tin|Pákin
🆘;SOS Bọ́tin;Hẹ́lẹp|sos|SOS Bọ́tin
🆙;UP! Bọ́tin;Mak|Ọp|Up|UP! Bọ́tin
🆚;VS Bọ́tin;Vẹsọs|vs|VS Bọ́tin
🈁;Japán Bọ́tin Fọ “Hia”;“Hia”|Japán Bọ́tin Fọ “Hia”|Japán Pípul|Katákaná
🈂️;Japán Bọ́tin Fọ “Sávís Chaj”;“Sávís Chaj”|Japán Bọ́tin Fọ “Sávís Chaj”|Japán Pípul|Katákaná
🈷️;Japán Bọ́tin Fọ “Mọ́nt Bai Mọ́nt Amaunt”;“Mọ́nt Bai Mọ́nt Amaunt”|Japán Bọ́tin Fọ “Mọ́nt Bai Mọ́nt Amaunt”|Japán Pípul|Japán Raítin
🈶;Japán Bọ́tin Fọ “Nọ́ Bi Frí Ọf Chaj”;“Nọ́ Bi Frí Ọf Chaj”|Japán Bọ́tin Fọ “Nọ́ Bi Frí Ọf Chaj”|Japán Pípul|Japán Raítin
🈯;Japán Bọ́tin Fọ “Rizav”;“Rizáv Fọ Sọ́mbọ́di”|Japán Bọ́tin Fọ “Rizav”|Japán Pípul|Japán Raítin
🉐;Japán Bọ́tin Fọ “Gívawé Praiz”;“Gívawé Praiz”|Japán Bọ́tin Fọ “Gívawé Praiz”|Japán Pípul|Japán Raítin
🈹;Japán Bọ́tin Fọ “Diskaunt” Bọ́tin;&quot;Diskaunt&quot;|Idiógraf|Japan|Japán &quot;Diskaunt&quot; Bọ́tin|Japán Bọ́tin Fọ “Diskaunt” Bọ́tin
🈚;Japán Bọ́tin Fọ “Frí Ọf Chaj”;&quot;Frí Ọf Chaj&quot;|Japan|Japán Bọ́tin Fọ &quot;Frí Ọf Chaj&quot;|Japán Bọ́tin Fọ “Frí Ọf Chaj”|Japán Wè Fọ Ték Raít Sọ́mtin
🈲;Japán Bọ́tin Fọ “Fọbid”;“Fọbid”|&quot;Nọ́ Dú Am&quot;|Japan|Japán Bọ́tin Fọ “Fọbid”|Japán Raítin
🉑;Japán Bọ́tin Fọ “Asẹpt”;“Asẹpt”|Japan|Japán Bọ́tin Fọ “Asẹpt”|Japán Raítin
🈸;Japán Bọ́tin Fọ “Aplai”;“Aplikéshọn”|Japan|Japán Bọ́tin Fọ “Aplai”|Japán Bọ́tin Fọ “Aplikéshọn”|Japán Raítin
🈴;Japán Bọ́tin Fọ “Mak To Ték Pás Ẹkzam”;&quot;Ẹzám Pás Mak&quot;|Japan|Japán Bọ́tin Fọ &quot;Ẹzám Pás Mak&quot;|Japán Bọ́tin Fọ “Mak To Ték Pás Ẹkzam”|Japán Raítin
🈳;Japán Bọ́tin Fọ “Vákánsi Dè”;“Wọk Dè”|Japan|Japán Bọ́tin Fọ “Vákánsi Dè”|Japán Bọ́tin Fọ “Wọk Dè”|Japán Raítin
㊗️;Japán Bọ́tin Fọ “Kọngratuléshọn”;&quot;Wẹ́ldọn&quot;|Japan|Japán Bọ́tin Fọ “Kọngratuléshọn”|Japán Bọ́tin Fọ &quot;Wẹ́ldọn&quot;|Japán Raítin
㊙️;Japán Bọ́tin Fọ “Síkrit”;“Síkrit”|Japan|Japán Bọ́tin Fọ “Síkrit”|Japán Raítin
🈺;Japán Bọ́tin Fọ “Ópún Fọ Bízẹs”;“Ópún Fọ Bíznẹs”|Japan|Japán Bọ́tin Fọ “Ópún Fọ Bízẹs”|Japán Raítin
🈵;Japán Bọ́tin Fọ “Vákánsi Nọ́ Dè”;“Wọk Nọ́ Dè”|Japan|Japán Bọ́tin Fọ “Vákánsi Nọ́ Dè”|Japán Bọ́tin Fọ “Wọk Nọ́ Dè”|Japán Raítin
🔴;Rẹ́d Sẹ́kul;Jiọ́mẹ́tri|Rẹd|Rẹ́d Sẹ́kul|Sẹ́kul
🟠;Ọ́rénj Kọ́lọ Sẹ́kul;Ọ́rénj Kọ́lọ|Ọ́rénj Kọ́lọ Sẹ́kul|Sẹ́kul
🟡;Yẹ́ló Sẹ́kul;Sẹ́kul|Yẹ́ló
🟢;Grín Sẹ́kul;Grin|Grín Sẹ́kul|Sẹ́kul
🔵;Blú Sẹ́kul;Blu|Blú Sẹ́kul|Jiọ́mẹ́trik
