# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
	🤼🏽‍♀️;ښځې پهلواني کوي: غنم رنګه;پهلواني|ښځې|ښځې پهلواني کوي|غنم رنګه
	🤼🏾‍♀️;ښځې پهلواني کوي: غنمی-تورنګه پوستکۍ;پهلواني|ښځې|ښځې پهلواني کوي|غنمی-تورنګه پوستکۍ
	🤼🏿‍♀️;ښځې پهلواني کوي: تور پوستکۍ;پهلواني|تور پوستکۍ|ښځې|ښځې پهلواني کوي
	🧑🏻‍🫯‍🧑🏼;خلک پهلواني کوي: د روڼ پوستکي ټون و غنمی-روښانه پوستکۍ;پهلوان|پهلواني|خلک پهلواني کوي|د روڼ پوستکي ټون|غنمی-روښانه پوستکۍ
	🧑🏻‍🫯‍🧑🏽;خلک پهلواني کوي: د روڼ پوستکي ټون و غنم رنګه;پهلوان|پهلواني|خلک پهلواني کوي|د روڼ پوستکي ټون|غنم رنګه
	🧑🏻‍🫯‍🧑🏾;خلک پهلواني کوي: د روڼ پوستکي ټون و غنمی-تورنګه پوستکۍ;پهلوان|پهلواني|خلک پهلواني کوي|د روڼ پوستکي ټون|غنمی-تورنګه پوستکۍ
	🧑🏻‍🫯‍🧑🏿;خلک پهلواني کوي: د روڼ پوستکي ټون و تور پوستکۍ;پهلوان|پهلواني|تور پوستکۍ|خلک پهلواني کوي|د روڼ پوستکي ټون
	🧑🏼‍🫯‍🧑🏻;خلک پهلواني کوي: غنمی-روښانه پوستکۍ و د روڼ پوستکي ټون;پهلوان|پهلواني|خلک پهلواني کوي|د روڼ پوستکي ټون|غنمی-روښانه پوستکۍ
	🧑🏼‍🫯‍🧑🏽;خلک پهلواني کوي: غنمی-روښانه پوستکۍ و غنم رنګه;پهلوان|پهلواني|خلک پهلواني کوي|غنم رنګه|غنمی-روښانه پوستکۍ
	🧑🏼‍🫯‍🧑🏾;خلک پهلواني کوي: غنمی-روښانه پوستکۍ و غنمی-تورنګه پوستکۍ;پهلوان|پهلواني|خلک پهلواني کوي|غنمی-تورنګه پوستکۍ|غنمی-روښانه پوستکۍ
	🧑🏼‍🫯‍🧑🏿;خلک پهلواني کوي: غنمی-روښانه پوستکۍ و تور پوستکۍ;پهلوان|پهلواني|تور پوستکۍ|خلک پهلواني کوي|غنمی-روښانه پوستکۍ
	🧑🏽‍🫯‍🧑🏻;خلک پهلواني کوي: غنم رنګه و د روڼ پوستکي ټون;پهلوان|پهلواني|خلک پهلواني کوي|د روڼ پوستکي ټون|غنم رنګه
	🧑🏽‍🫯‍🧑🏼;خلک پهلواني کوي: غنم رنګه و غنمی-روښانه پوستکۍ;پهلوان|پهلواني|خلک پهلواني کوي|غنم رنګه|غنمی-روښانه پوستکۍ
	🧑🏽‍🫯‍🧑🏾;خلک پهلواني کوي: غنم رنګه و غنمی-تورنګه پوستکۍ;پهلوان|پهلواني|خلک پهلواني کوي|غنم رنګه|غنمی-تورنګه پوستکۍ
	🧑🏽‍🫯‍🧑🏿;خلک پهلواني کوي: غنم رنګه و تور پوستکۍ;پهلوان|پهلواني|تور پوستکۍ|خلک پهلواني کوي|غنم رنګه
	🧑🏾‍🫯‍🧑🏻;خلک پهلواني کوي: غنمی-تورنګه پوستکۍ و د روڼ پوستکي ټون;پهلوان|پهلواني|خلک پهلواني کوي|د روڼ پوستکي ټون|غنمی-تورنګه پوستکۍ
	🧑🏾‍🫯‍🧑🏼;خلک پهلواني کوي: غنمی-تورنګه پوستکۍ و غنمی-روښانه پوستکۍ;پهلوان|پهلواني|خلک پهلواني کوي|غنمی-تورنګه پوستکۍ|غنمی-روښانه پوستکۍ
	🧑🏾‍🫯‍🧑🏽;خلک پهلواني کوي: غنمی-تورنګه پوستکۍ و غنم رنګه;پهلوان|پهلواني|خلک پهلواني کوي|غنم رنګه|غنمی-تورنګه پوستکۍ
	🧑🏾‍🫯‍🧑🏿;خلک پهلواني کوي: غنمی-تورنګه پوستکۍ و تور پوستکۍ;پهلوان|پهلواني|تور پوستکۍ|خلک پهلواني کوي|غنمی-تورنګه پوستکۍ
	🧑🏿‍🫯‍🧑🏻;خلک پهلواني کوي: تور پوستکۍ و د روڼ پوستکي ټون;پهلوان|پهلواني|تور پوستکۍ|خلک پهلواني کوي|د روڼ پوستکي ټون
	🧑🏿‍🫯‍🧑🏼;خلک پهلواني کوي: تور پوستکۍ و غنمی-روښانه پوستکۍ;پهلوان|پهلواني|تور پوستکۍ|خلک پهلواني کوي|غنمی-روښانه پوستکۍ
	🧑🏿‍🫯‍🧑🏽;خلک پهلواني کوي: تور پوستکۍ و غنم رنګه;پهلوان|پهلواني|تور پوستکۍ|خلک پهلواني کوي|غنم رنګه
	🧑🏿‍🫯‍🧑🏾;خلک پهلواني کوي: تور پوستکۍ و غنمی-تورنګه پوستکۍ;پهلوان|پهلواني|تور پوستکۍ|خلک پهلواني کوي|غنمی-تورنګه پوستکۍ
	👨🏻‍🫯‍👨🏼;سړي پهلواني کوي: د روڼ پوستکي ټون و غنمی-روښانه پوستکۍ;پهلواني|د روڼ پوستکي ټون|سړي|سړي پهلواني کوي|غنمی-روښانه پوستکۍ
	👨🏻‍🫯‍👨🏽;سړي پهلواني کوي: د روڼ پوستکي ټون و غنم رنګه;پهلواني|د روڼ پوستکي ټون|سړي|سړي پهلواني کوي|غنم رنګه
	👨🏻‍🫯‍👨🏾;سړي پهلواني کوي: د روڼ پوستکي ټون و غنمی-تورنګه پوستکۍ;پهلواني|د روڼ پوستکي ټون|سړي|سړي پهلواني کوي|غنمی-تورنګه پوستکۍ
	👨🏻‍🫯‍👨🏿;سړي پهلواني کوي: د روڼ پوستکي ټون و تور پوستکۍ;پهلواني|تور پوستکۍ|د روڼ پوستکي ټون|سړي|سړي پهلواني کوي
	👨🏼‍🫯‍👨🏻;سړي پهلواني کوي: غنمی-روښانه پوستکۍ و د روڼ پوستکي ټون;پهلواني|د روڼ پوستکي ټون|سړي|سړي پهلواني کوي|غنمی-روښانه پوستکۍ
	👨🏼‍🫯‍👨🏽;سړي پهلواني کوي: غنمی-روښانه پوستکۍ و غنم رنګه;پهلواني|سړي|سړي پهلواني کوي|غنم رنګه|غنمی-روښانه پوستکۍ
	👨🏼‍🫯‍👨🏾;سړي پهلواني کوي: غنمی-روښانه پوستکۍ و غنمی-تورنګه پوستکۍ;پهلواني|سړي|سړي پهلواني کوي|غنمی-تورنګه پوستکۍ|غنمی-روښانه پوستکۍ
	👨🏼‍🫯‍👨🏿;سړي پهلواني کوي: غنمی-روښانه پوستکۍ و تور پوستکۍ;پهلواني|تور پوستکۍ|سړي|سړي پهلواني کوي|غنمی-روښانه پوستکۍ
	👨🏽‍🫯‍👨🏻;سړي پهلواني کوي: غنم رنګه و د روڼ پوستکي ټون;پهلواني|د روڼ پوستکي ټون|سړي|سړي پهلواني کوي|غنم رنګه
	👨🏽‍🫯‍👨🏼;سړي پهلواني کوي: غنم رنګه و غنمی-روښانه پوستکۍ;پهلواني|سړي|سړي پهلواني کوي|غنم رنګه|غنمی-روښانه پوستکۍ
	👨🏽‍🫯‍👨🏾;سړي پهلواني کوي: غنم رنګه و غنمی-تورنګه پوستکۍ;پهلواني|سړي|سړي پهلواني کوي|غنم رنګه|غنمی-تورنګه پوستکۍ
	👨🏽‍🫯‍👨🏿;سړي پهلواني کوي: غنم رنګه و تور پوستکۍ;پهلواني|تور پوستکۍ|سړي|سړي پهلواني کوي|غنم رنګه
	👨🏾‍🫯‍👨🏻;سړي پهلواني کوي: غنمی-تورنګه پوستکۍ و د روڼ پوستکي ټون;پهلواني|د روڼ پوستکي ټون|سړي|سړي پهلواني کوي|غنمی-تورنګه پوستکۍ
	👨🏾‍🫯‍👨🏼;سړي پهلواني کوي: غنمی-تورنګه پوستکۍ و غنمی-روښانه پوستکۍ;پهلواني|سړي|سړي پهلواني کوي|غنمی-تورنګه پوستکۍ|غنمی-روښانه پوستکۍ
	👨🏾‍🫯‍👨🏽;سړي پهلواني کوي: غنمی-تورنګه پوستکۍ و غنم رنګه;پهلواني|سړي|سړي پهلواني کوي|غنم رنګه|غنمی-تورنګه پوستکۍ
	👨🏾‍🫯‍👨🏿;سړي پهلواني کوي: غنمی-تورنګه پوستکۍ و تور پوستکۍ;پهلواني|تور پوستکۍ|سړي|سړي پهلواني کوي|غنمی-تورنګه پوستکۍ
	👨🏿‍🫯‍👨🏻;سړي پهلواني کوي: تور پوستکۍ و د روڼ پوستکي ټون;پهلواني|تور پوستکۍ|د روڼ پوستکي ټون|سړي|سړي پهلواني کوي
	👨🏿‍🫯‍👨🏼;سړي پهلواني کوي: تور پوستکۍ و غنمی-روښانه پوستکۍ;پهلواني|تور پوستکۍ|سړي|سړي پهلواني کوي|غنمی-روښانه پوستکۍ
	👨🏿‍🫯‍👨🏽;سړي پهلواني کوي: تور پوستکۍ و غنم رنګه;پهلواني|تور پوستکۍ|سړي|سړي پهلواني کوي|غنم رنګه
	👨🏿‍🫯‍👨🏾;سړي پهلواني کوي: تور پوستکۍ و غنمی-تورنګه پوستکۍ;پهلواني|تور پوستکۍ|سړي|سړي پهلواني کوي|غنمی-تورنګه پوستکۍ
	👩🏻‍🫯‍👩🏼;ښځې پهلواني کوي: د روڼ پوستکي ټون و غنمی-روښانه پوستکۍ;پهلواني|د روڼ پوستکي ټون|ښځې|ښځې پهلواني کوي|غنمی-روښانه پوستکۍ
	👩🏻‍🫯‍👩🏽;ښځې پهلواني کوي: د روڼ پوستکي ټون و غنم رنګه;پهلواني|د روڼ پوستکي ټون|ښځې|ښځې پهلواني کوي|غنم رنګه
	👩🏻‍🫯‍👩🏾;ښځې پهلواني کوي: د روڼ پوستکي ټون و غنمی-تورنګه پوستکۍ;پهلواني|د روڼ پوستکي ټون|ښځې|ښځې پهلواني کوي|غنمی-تورنګه پوستکۍ
	👩🏻‍🫯‍👩🏿;ښځې پهلواني کوي: د روڼ پوستکي ټون و تور پوستکۍ;پهلواني|تور پوستکۍ|د روڼ پوستکي ټون|ښځې|ښځې پهلواني کوي
	👩🏼‍🫯‍👩🏻;ښځې پهلواني کوي: غنمی-روښانه پوستکۍ و د روڼ پوستکي ټون;پهلواني|د روڼ پوستکي ټون|ښځې|ښځې پهلواني کوي|غنمی-روښانه پوستکۍ
	👩🏼‍🫯‍👩🏽;ښځې پهلواني کوي: غنمی-روښانه پوستکۍ و غنم رنګه;پهلواني|ښځې|ښځې پهلواني کوي|غنم رنګه|غنمی-روښانه پوستکۍ
	👩🏼‍🫯‍👩🏾;ښځې پهلواني کوي: غنمی-روښانه پوستکۍ و غنمی-تورنګه پوستکۍ;پهلواني|ښځې|ښځې پهلواني کوي|غنمی-تورنګه پوستکۍ|غنمی-روښانه پوستکۍ
	👩🏼‍🫯‍👩🏿;ښځې پهلواني کوي: غنمی-روښانه پوستکۍ و تور پوستکۍ;پهلواني|تور پوستکۍ|ښځې|ښځې پهلواني کوي|غنمی-روښانه پوستکۍ
	👩🏽‍🫯‍👩🏻;ښځې پهلواني کوي: غنم رنګه و د روڼ پوستکي ټون;پهلواني|د روڼ پوستکي ټون|ښځې|ښځې پهلواني کوي|غنم رنګه
