# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
	👨🏽‍🤝‍👨🏼;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👬🏽;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏽‍🤝‍👨🏾;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏽‍🤝‍👨🏿;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏾‍🤝‍👨🏻;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏾‍🤝‍👨🏼;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏾‍🤝‍👨🏽;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👬🏾;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏾‍🤝‍👨🏿;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏿‍🤝‍👨🏻;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏿‍🤝‍👨🏼;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏿‍🤝‍👨🏽;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏿‍🤝‍👨🏾;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👬🏿;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
💏;ᎠᏔᏪᏙᎢᏍᏗ;ᎠᏔᏪᏙᎢᏍᏗ|ᏗᎾᏤᎯ
	💏🏻;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	💏🏼;ᎠᏔᏪᏙᎢᏍᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᏗᎾᏤᎯ
	💏🏽;ᎠᏔᏪᏙᎢᏍᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	💏🏾;ᎠᏔᏪᏙᎢᏍᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	💏🏿;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	🧑🏻‍❤️‍💋‍🧑🏼;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏔᎾ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	🧑🏻‍❤️‍💋‍🧑🏽;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	🧑🏻‍❤️‍💋‍🧑🏾;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	🧑🏻‍❤️‍💋‍🧑🏿;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	🧑🏼‍❤️‍💋‍🧑🏻;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏔᎾ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	🧑🏼‍❤️‍💋‍🧑🏽;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
	🧑🏼‍❤️‍💋‍🧑🏾;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
	🧑🏼‍❤️‍💋‍🧑🏿;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
	🧑🏽‍❤️‍💋‍🧑🏻;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	🧑🏽‍❤️‍💋‍🧑🏼;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
	🧑🏽‍❤️‍💋‍🧑🏾;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
	🧑🏽‍❤️‍💋‍🧑🏿;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
	🧑🏾‍❤️‍💋‍🧑🏻;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	🧑🏾‍❤️‍💋‍🧑🏼;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
	🧑🏾‍❤️‍💋‍🧑🏽;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
	🧑🏾‍❤️‍💋‍🧑🏿;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
	🧑🏿‍❤️‍💋‍🧑🏻;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
	🧑🏿‍❤️‍💋‍🧑🏼;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
	🧑🏿‍❤️‍💋‍🧑🏽;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
	🧑🏿‍❤️‍💋‍🧑🏾;ᎠᏔᏪᏙᎢᏍᏗ: ᎤᏔᎾ, ᎤᏔᎾ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏔᏪᏙᎢᏍᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏔᎾ|ᏗᎾᏤᎯ
👩‍❤️‍💋‍👨;ᎠᏔᏪᏙᎢᏍᏗ: ᎠᎨᏯ, ᎠᏍᎦᏯ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏔᏪᏙᎢᏍᏗ|ᏗᎾᏤᎯ
	👩🏻‍❤️‍💋‍👨🏻;ᎠᏔᏪᏙᎢᏍᏗ: ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏔᏪᏙᎢᏍᏗ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎾᏤᎯ
