[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
	🤜🏿;puño a la derecha: tono de piel oscuro;derecha|puño|puño a la derecha|puño a la derecha: tono de piel oscuro|tono de piel oscuro
👏;↑↑↑;↑↑↑
	👏🏻;;
	👏🏼;;
	👏🏽;;
	👏🏾;;
	👏🏿;;
🙌;chocar las manos;celebrar|chocar|chocar las manos|cinco|festejo|manos
	🙌🏻;chocar las manos: tono de piel claro;celebrar|chocar|chocar las manos|chocar las manos: tono de piel claro|cinco|festejo|manos|tono de piel claro
	🙌🏼;chocar las manos: tono de piel claro medio;celebrar|chocar|chocar las manos|chocar las manos: tono de piel claro medio|cinco|festejo|manos|tono de piel claro medio
	🙌🏽;chocar las manos: tono de piel medio;celebrar|chocar|chocar las manos|chocar las manos: tono de piel medio|cinco|festejo|manos|tono de piel medio
	🙌🏾;chocar las manos: tono de piel oscuro medio;celebrar|chocar|chocar las manos|chocar las manos: tono de piel oscuro medio|cinco|festejo|manos|tono de piel oscuro medio
	🙌🏿;chocar las manos: tono de piel oscuro;celebrar|chocar|chocar las manos|chocar las manos: tono de piel oscuro|cinco|festejo|manos|tono de piel oscuro
🫶;corazón con las manos;amor|corazón con las manos
	🫶🏻;corazón con las manos: tono de piel claro;amor|corazón con las manos|corazón con las manos: tono de piel claro|tono de piel claro
	🫶🏼;corazón con las manos: tono de piel claro medio;amor|corazón con las manos|corazón con las manos: tono de piel claro medio|tono de piel claro medio
	🫶🏽;corazón con las manos: tono de piel medio;amor|corazón con las manos|corazón con las manos: tono de piel medio|tono de piel medio
	🫶🏾;corazón con las manos: tono de piel oscuro medio;amor|corazón con las manos|corazón con las manos: tono de piel oscuro medio|tono de piel oscuro medio
	🫶🏿;corazón con las manos: tono de piel oscuro;amor|corazón con las manos|corazón con las manos: tono de piel oscuro|tono de piel oscuro
👐;↑↑↑;abiertas|gesto|manos
