[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
	🤽🏻;persoon die waterpolo speelt: lichte huidskleur;lichte huidskleur|persoon die waterpolo speelt|persoon die waterpolo speelt: lichte huidskleur|polo|water
	🤽🏼;persoon die waterpolo speelt: lichtgetinte huidskleur;lichtgetinte huidskleur|persoon die waterpolo speelt|persoon die waterpolo speelt: lichtgetinte huidskleur|polo|water
	🤽🏽;persoon die waterpolo speelt: getinte huidskleur;getinte huidskleur|persoon die waterpolo speelt|persoon die waterpolo speelt: getinte huidskleur|polo|water
	🤽🏾;persoon die waterpolo speelt: donkergetinte huidskleur;donkergetinte huidskleur|persoon die waterpolo speelt|persoon die waterpolo speelt: donkergetinte huidskleur|polo|water
	🤽🏿;persoon die waterpolo speelt: donkere huidskleur;donkere huidskleur|persoon die waterpolo speelt|persoon die waterpolo speelt: donkere huidskleur|polo|water
🤽‍♂️;man die waterpolo speelt;man|man die waterpolo speelt|waterpolo
	🤽🏻‍♂️;man die waterpolo speelt: lichte huidskleur;lichte huidskleur|man|man die waterpolo speelt|man die waterpolo speelt: lichte huidskleur|waterpolo
	🤽🏼‍♂️;man die waterpolo speelt: lichtgetinte huidskleur;lichtgetinte huidskleur|man|man die waterpolo speelt|man die waterpolo speelt: lichtgetinte huidskleur|waterpolo
	🤽🏽‍♂️;man die waterpolo speelt: getinte huidskleur;getinte huidskleur|man|man die waterpolo speelt|man die waterpolo speelt: getinte huidskleur|waterpolo
	🤽🏾‍♂️;man die waterpolo speelt: donkergetinte huidskleur;donkergetinte huidskleur|man|man die waterpolo speelt|man die waterpolo speelt: donkergetinte huidskleur|waterpolo
	🤽🏿‍♂️;man die waterpolo speelt: donkere huidskleur;donkere huidskleur|man|man die waterpolo speelt|man die waterpolo speelt: donkere huidskleur|waterpolo
🤽‍♀️;vrouw die waterpolo speelt;vrouw|vrouw die waterpolo speelt|waterpolo
	🤽🏻‍♀️;vrouw die waterpolo speelt: lichte huidskleur;lichte huidskleur|vrouw|vrouw die waterpolo speelt|vrouw die waterpolo speelt: lichte huidskleur|waterpolo
	🤽🏼‍♀️;vrouw die waterpolo speelt: lichtgetinte huidskleur;lichtgetinte huidskleur|vrouw|vrouw die waterpolo speelt|vrouw die waterpolo speelt: lichtgetinte huidskleur|waterpolo
	🤽🏽‍♀️;vrouw die waterpolo speelt: getinte huidskleur;getinte huidskleur|vrouw|vrouw die waterpolo speelt|vrouw die waterpolo speelt: getinte huidskleur|waterpolo
	🤽🏾‍♀️;vrouw die waterpolo speelt: donkergetinte huidskleur;donkergetinte huidskleur|vrouw|vrouw die waterpolo speelt|vrouw die waterpolo speelt: donkergetinte huidskleur|waterpolo
	🤽🏿‍♀️;vrouw die waterpolo speelt: donkere huidskleur;donkere huidskleur|vrouw|vrouw die waterpolo speelt|vrouw die waterpolo speelt: donkere huidskleur|waterpolo
🤾;persoon die handbal speelt;bal|handbal|persoon die handbal speelt
	🤾🏻;persoon die handbal speelt: lichte huidskleur;bal|handbal|lichte huidskleur|persoon die handbal speelt|persoon die handbal speelt: lichte huidskleur
	🤾🏼;persoon die handbal speelt: lichtgetinte huidskleur;bal|handbal|lichtgetinte huidskleur|persoon die handbal speelt|persoon die handbal speelt: lichtgetinte huidskleur
	🤾🏽;persoon die handbal speelt: getinte huidskleur;bal|getinte huidskleur|handbal|persoon die handbal speelt|persoon die handbal speelt: getinte huidskleur
	🤾🏾;persoon die handbal speelt: donkergetinte huidskleur;bal|donkergetinte huidskleur|handbal|persoon die handbal speelt|persoon die handbal speelt: donkergetinte huidskleur
	🤾🏿;persoon die handbal speelt: donkere huidskleur;bal|donkere huidskleur|handbal|persoon die handbal speelt|persoon die handbal speelt: donkere huidskleur
🤾‍♂️;man die handbal speelt;handballen|man|man die handbal speelt
	🤾🏻‍♂️;man die handbal speelt: lichte huidskleur;handballen|lichte huidskleur|man|man die handbal speelt|man die handbal speelt: lichte huidskleur
	🤾🏼‍♂️;man die handbal speelt: lichtgetinte huidskleur;handballen|lichtgetinte huidskleur|man|man die handbal speelt|man die handbal speelt: lichtgetinte huidskleur
	🤾🏽‍♂️;man die handbal speelt: getinte huidskleur;getinte huidskleur|handballen|man|man die handbal speelt|man die handbal speelt: getinte huidskleur
	🤾🏾‍♂️;man die handbal speelt: donkergetinte huidskleur;donkergetinte huidskleur|handballen|man|man die handbal speelt|man die handbal speelt: donkergetinte huidskleur
	🤾🏿‍♂️;man die handbal speelt: donkere huidskleur;donkere huidskleur|handballen|man|man die handbal speelt|man die handbal speelt: donkere huidskleur
🤾‍♀️;vrouw die handbal speelt;handballen|vrouw|vrouw die handbal speelt
	🤾🏻‍♀️;vrouw die handbal speelt: lichte huidskleur;handballen|lichte huidskleur|vrouw|vrouw die handbal speelt|vrouw die handbal speelt: lichte huidskleur
	🤾🏼‍♀️;vrouw die handbal speelt: lichtgetinte huidskleur;handballen|lichtgetinte huidskleur|vrouw|vrouw die handbal speelt|vrouw die handbal speelt: lichtgetinte huidskleur
	🤾🏽‍♀️;vrouw die handbal speelt: getinte huidskleur;getinte huidskleur|handballen|vrouw|vrouw die handbal speelt|vrouw die handbal speelt: getinte huidskleur
	🤾🏾‍♀️;vrouw die handbal speelt: donkergetinte huidskleur;donkergetinte huidskleur|handballen|vrouw|vrouw die handbal speelt|vrouw die handbal speelt: donkergetinte huidskleur
	🤾🏿‍♀️;vrouw die handbal speelt: donkere huidskleur;donkere huidskleur|handballen|vrouw|vrouw die handbal speelt|vrouw die handbal speelt: donkere huidskleur
🤹;persoon die jongleert;balans|jongleur|multitasken|persoon die jongleert|vaardigheid
	🤹🏻;persoon die jongleert: lichte huidskleur;balans|jongleur|lichte huidskleur|multitasken|persoon die jongleert|persoon die jongleert: lichte huidskleur|vaardigheid
	🤹🏼;persoon die jongleert: lichtgetinte huidskleur;balans|jongleur|lichtgetinte huidskleur|multitasken|persoon die jongleert|persoon die jongleert: lichtgetinte huidskleur|vaardigheid
	🤹🏽;persoon die jongleert: getinte huidskleur;balans|getinte huidskleur|jongleur|multitasken|persoon die jongleert|persoon die jongleert: getinte huidskleur|vaardigheid
	🤹🏾;persoon die jongleert: donkergetinte huidskleur;balans|donkergetinte huidskleur|jongleur|multitasken|persoon die jongleert|persoon die jongleert: donkergetinte huidskleur|vaardigheid
	🤹🏿;persoon die jongleert: donkere huidskleur;balans|donkere huidskleur|jongleur|multitasken|persoon die jongleert|persoon die jongleert: donkere huidskleur|vaardigheid
🤹‍♂️;man die jongleert;jongleren|man|man die jongleert|multitasken
	🤹🏻‍♂️;man die jongleert: lichte huidskleur;jongleren|lichte huidskleur|man|man die jongleert|man die jongleert: lichte huidskleur|multitasken
	🤹🏼‍♂️;man die jongleert: lichtgetinte huidskleur;jongleren|lichtgetinte huidskleur|man|man die jongleert|man die jongleert: lichtgetinte huidskleur|multitasken
	🤹🏽‍♂️;man die jongleert: getinte huidskleur;getinte huidskleur|jongleren|man|man die jongleert|man die jongleert: getinte huidskleur|multitasken
	🤹🏾‍♂️;man die jongleert: donkergetinte huidskleur;donkergetinte huidskleur|jongleren|man|man die jongleert|man die jongleert: donkergetinte huidskleur|multitasken
	🤹🏿‍♂️;man die jongleert: donkere huidskleur;donkere huidskleur|jongleren|man|man die jongleert|man die jongleert: donkere huidskleur|multitasken
🤹‍♀️;vrouw die jongleert;jongleren|multitasken|vrouw|vrouw die jongleert
	🤹🏻‍♀️;vrouw die jongleert: lichte huidskleur;jongleren|lichte huidskleur|multitasken|vrouw|vrouw die jongleert|vrouw die jongleert: lichte huidskleur
	🤹🏼‍♀️;vrouw die jongleert: lichtgetinte huidskleur;jongleren|lichtgetinte huidskleur|multitasken|vrouw|vrouw die jongleert|vrouw die jongleert: lichtgetinte huidskleur
	🤹🏽‍♀️;vrouw die jongleert: getinte huidskleur;getinte huidskleur|jongleren|multitasken|vrouw|vrouw die jongleert|vrouw die jongleert: getinte huidskleur
	🤹🏾‍♀️;vrouw die jongleert: donkergetinte huidskleur;donkergetinte huidskleur|jongleren|multitasken|vrouw|vrouw die jongleert|vrouw die jongleert: donkergetinte huidskleur
	🤹🏿‍♀️;vrouw die jongleert: donkere huidskleur;donkere huidskleur|jongleren|multitasken|vrouw|vrouw die jongleert|vrouw die jongleert: donkere huidskleur
🧘;persoon in lotushouding;meditatie|persoon in lotushouding|yoga
	🧘🏻;persoon in lotushouding: lichte huidskleur;lichte huidskleur|meditatie|persoon in lotushouding|persoon in lotushouding: lichte huidskleur|yoga
	🧘🏼;persoon in lotushouding: lichtgetinte huidskleur;lichtgetinte huidskleur|meditatie|persoon in lotushouding|persoon in lotushouding: lichtgetinte huidskleur|yoga
	🧘🏽;persoon in lotushouding: getinte huidskleur;getinte huidskleur|meditatie|persoon in lotushouding|persoon in lotushouding: getinte huidskleur|yoga
	🧘🏾;persoon in lotushouding: donkergetinte huidskleur;donkergetinte huidskleur|meditatie|persoon in lotushouding|persoon in lotushouding: donkergetinte huidskleur|yoga
	🧘🏿;persoon in lotushouding: donkere huidskleur;donkere huidskleur|meditatie|persoon in lotushouding|persoon in lotushouding: donkere huidskleur|yoga
🧘‍♂️;man in lotushouding;man in lotushouding|meditatie|yoga
	🧘🏻‍♂️;man in lotushouding: lichte huidskleur;lichte huidskleur|man in lotushouding|man in lotushouding: lichte huidskleur|meditatie|yoga
	🧘🏼‍♂️;man in lotushouding: lichtgetinte huidskleur;lichtgetinte huidskleur|man in lotushouding|man in lotushouding: lichtgetinte huidskleur|meditatie|yoga
	🧘🏽‍♂️;man in lotushouding: getinte huidskleur;getinte huidskleur|man in lotushouding|man in lotushouding: getinte huidskleur|meditatie|yoga
	🧘🏾‍♂️;man in lotushouding: donkergetinte huidskleur;donkergetinte huidskleur|man in lotushouding|man in lotushouding: donkergetinte huidskleur|meditatie|yoga
	🧘🏿‍♂️;man in lotushouding: donkere huidskleur;donkere huidskleur|man in lotushouding|man in lotushouding: donkere huidskleur|meditatie|yoga
🧘‍♀️;vrouw in lotushouding;meditatie|vrouw in lotushouding|yoga
	🧘🏻‍♀️;vrouw in lotushouding: lichte huidskleur;lichte huidskleur|meditatie|vrouw in lotushouding|vrouw in lotushouding: lichte huidskleur|yoga
	🧘🏼‍♀️;vrouw in lotushouding: lichtgetinte huidskleur;lichtgetinte huidskleur|meditatie|vrouw in lotushouding|vrouw in lotushouding: lichtgetinte huidskleur|yoga
	🧘🏽‍♀️;vrouw in lotushouding: getinte huidskleur;getinte huidskleur|meditatie|vrouw in lotushouding|vrouw in lotushouding: getinte huidskleur|yoga
	🧘🏾‍♀️;vrouw in lotushouding: donkergetinte huidskleur;donkergetinte huidskleur|meditatie|vrouw in lotushouding|vrouw in lotushouding: donkergetinte huidskleur|yoga
	🧘🏿‍♀️;vrouw in lotushouding: donkere huidskleur;donkere huidskleur|meditatie|vrouw in lotushouding|vrouw in lotushouding: donkere huidskleur|yoga
🛀;persoon in badkuip;bad|badkuip|persoon in badkuip
	🛀🏻;persoon in badkuip: lichte huidskleur;bad|badkuip|lichte huidskleur|persoon in badkuip|persoon in badkuip: lichte huidskleur
	🛀🏼;persoon in badkuip: lichtgetinte huidskleur;bad|badkuip|lichtgetinte huidskleur|persoon in badkuip|persoon in badkuip: lichtgetinte huidskleur
	🛀🏽;persoon in badkuip: getinte huidskleur;bad|badkuip|getinte huidskleur|persoon in badkuip|persoon in badkuip: getinte huidskleur
	🛀🏾;persoon in badkuip: donkergetinte huidskleur;bad|badkuip|donkergetinte huidskleur|persoon in badkuip|persoon in badkuip: donkergetinte huidskleur
	🛀🏿;persoon in badkuip: donkere huidskleur;bad|badkuip|donkere huidskleur|persoon in badkuip|persoon in badkuip: donkere huidskleur
🛌;persoon in bed;hotel|persoon in bed|slapen
	🛌🏻;persoon in bed: lichte huidskleur;hotel|lichte huidskleur|persoon in bed|persoon in bed: lichte huidskleur|slapen
	🛌🏼;persoon in bed: lichtgetinte huidskleur;hotel|lichtgetinte huidskleur|persoon in bed|persoon in bed: lichtgetinte huidskleur|slapen
	🛌🏽;persoon in bed: getinte huidskleur;getinte huidskleur|hotel|persoon in bed|persoon in bed: getinte huidskleur|slapen
	🛌🏾;persoon in bed: donkergetinte huidskleur;donkergetinte huidskleur|hotel|persoon in bed|persoon in bed: donkergetinte huidskleur|slapen
	🛌🏿;persoon in bed: donkere huidskleur;donkere huidskleur|hotel|persoon in bed|persoon in bed: donkere huidskleur|slapen
🧑‍🤝‍🧑;personen hand in hand;hand|hand in hand|personen hand in hand|persoon|stel|vasthouden
	🧑🏻‍🤝‍🧑🏻;personen hand in hand: lichte huidskleur;hand|hand in hand|lichte huidskleur|personen hand in hand|personen hand in hand: lichte huidskleur|persoon|stel|vasthouden
	🧑🏻‍🤝‍🧑🏼;personen hand in hand: lichte huidskleur, lichtgetinte huidskleur;hand|hand in hand|lichte huidskleur|lichtgetinte huidskleur|personen hand in hand|personen hand in hand: lichte huidskleur, lichtgetinte huidskleur|persoon|stel|vasthouden
	🧑🏻‍🤝‍🧑🏽;personen hand in hand: lichte huidskleur, getinte huidskleur;getinte huidskleur|hand|hand in hand|lichte huidskleur|personen hand in hand|personen hand in hand: lichte huidskleur, getinte huidskleur|persoon|stel|vasthouden
	🧑🏻‍🤝‍🧑🏾;personen hand in hand: lichte huidskleur, donkergetinte huidskleur;donkergetinte huidskleur|hand|hand in hand|lichte huidskleur|personen hand in hand|personen hand in hand: lichte huidskleur, donkergetinte huidskleur|persoon|stel|vasthouden
	🧑🏻‍🤝‍🧑🏿;personen hand in hand: lichte huidskleur, donkere huidskleur;donkere huidskleur|hand|hand in hand|lichte huidskleur|personen hand in hand|personen hand in hand: lichte huidskleur, donkere huidskleur|persoon|stel|vasthouden
	🧑🏼‍🤝‍🧑🏻;personen hand in hand: lichtgetinte huidskleur, lichte huidskleur;hand|hand in hand|lichte huidskleur|lichtgetinte huidskleur|personen hand in hand|personen hand in hand: lichtgetinte huidskleur, lichte huidskleur|persoon|stel|vasthouden
	🧑🏼‍🤝‍🧑🏼;personen hand in hand: lichtgetinte huidskleur;hand|hand in hand|lichtgetinte huidskleur|personen hand in hand|personen hand in hand: lichtgetinte huidskleur|persoon|stel|vasthouden
	🧑🏼‍🤝‍🧑🏽;personen hand in hand: lichtgetinte huidskleur, getinte huidskleur;getinte huidskleur|hand|hand in hand|lichtgetinte huidskleur|personen hand in hand|personen hand in hand: lichtgetinte huidskleur, getinte huidskleur|persoon|stel|vasthouden
	🧑🏼‍🤝‍🧑🏾;personen hand in hand: lichtgetinte huidskleur, donkergetinte huidskleur;donkergetinte huidskleur|hand|hand in hand|lichtgetinte huidskleur|personen hand in hand|personen hand in hand: lichtgetinte huidskleur, donkergetinte huidskleur|persoon|stel|vasthouden
	🧑🏼‍🤝‍🧑🏿;personen hand in hand: lichtgetinte huidskleur, donkere huidskleur;donkere huidskleur|hand|hand in hand|lichtgetinte huidskleur|personen hand in hand|personen hand in hand: lichtgetinte huidskleur, donkere huidskleur|persoon|stel|vasthouden
	🧑🏽‍🤝‍🧑🏻;personen hand in hand: getinte huidskleur, lichte huidskleur;getinte huidskleur|hand|hand in hand|lichte huidskleur|personen hand in hand|personen hand in hand: getinte huidskleur, lichte huidskleur|persoon|stel|vasthouden
	🧑🏽‍🤝‍🧑🏼;personen hand in hand: getinte huidskleur, lichtgetinte huidskleur;getinte huidskleur|hand|hand in hand|lichtgetinte huidskleur|personen hand in hand|personen hand in hand: getinte huidskleur, lichtgetinte huidskleur|persoon|stel|vasthouden
	🧑🏽‍🤝‍🧑🏽;personen hand in hand: getinte huidskleur;getinte huidskleur|hand|hand in hand|personen hand in hand|personen hand in hand: getinte huidskleur|persoon|stel|vasthouden
	🧑🏽‍🤝‍🧑🏾;personen hand in hand: getinte huidskleur, donkergetinte huidskleur;donkergetinte huidskleur|getinte huidskleur|hand|hand in hand|personen hand in hand|personen hand in hand: getinte huidskleur, donkergetinte huidskleur|persoon|stel|vasthouden
	🧑🏽‍🤝‍🧑🏿;personen hand in hand: getinte huidskleur, donkere huidskleur;donkere huidskleur|getinte huidskleur|hand|hand in hand|personen hand in hand|personen hand in hand: getinte huidskleur, donkere huidskleur|persoon|stel|vasthouden
	🧑🏾‍🤝‍🧑🏻;personen hand in hand: donkergetinte huidskleur, lichte huidskleur;donkergetinte huidskleur|hand|hand in hand|lichte huidskleur|personen hand in hand|personen hand in hand: donkergetinte huidskleur, lichte huidskleur|persoon|stel|vasthouden
	🧑🏾‍🤝‍🧑🏼;personen hand in hand: donkergetinte huidskleur, lichtgetinte huidskleur;donkergetinte huidskleur|hand|hand in hand|lichtgetinte huidskleur|personen hand in hand|personen hand in hand: donkergetinte huidskleur, lichtgetinte huidskleur|persoon|stel|vasthouden
	🧑🏾‍🤝‍🧑🏽;personen hand in hand: donkergetinte huidskleur, getinte huidskleur;donkergetinte huidskleur|getinte huidskleur|hand|hand in hand|personen hand in hand|personen hand in hand: donkergetinte huidskleur, getinte huidskleur|persoon|stel|vasthouden
	🧑🏾‍🤝‍🧑🏾;personen hand in hand: donkergetinte huidskleur;donkergetinte huidskleur|hand|hand in hand|personen hand in hand|personen hand in hand: donkergetinte huidskleur|persoon|stel|vasthouden
	🧑🏾‍🤝‍🧑🏿;personen hand in hand: donkergetinte huidskleur, donkere huidskleur;donkere huidskleur|donkergetinte huidskleur|hand|hand in hand|personen hand in hand|personen hand in hand: donkergetinte huidskleur, donkere huidskleur|persoon|stel|vasthouden
	🧑🏿‍🤝‍🧑🏻;personen hand in hand: donkere huidskleur, lichte huidskleur;donkere huidskleur|hand|hand in hand|lichte huidskleur|personen hand in hand|personen hand in hand: donkere huidskleur, lichte huidskleur|persoon|stel|vasthouden
	🧑🏿‍🤝‍🧑🏼;personen hand in hand: donkere huidskleur, lichtgetinte huidskleur;donkere huidskleur|hand|hand in hand|lichtgetinte huidskleur|personen hand in hand|personen hand in hand: donkere huidskleur, lichtgetinte huidskleur|persoon|stel|vasthouden
	🧑🏿‍🤝‍🧑🏽;personen hand in hand: donkere huidskleur, getinte huidskleur;donkere huidskleur|getinte huidskleur|hand|hand in hand|personen hand in hand|personen hand in hand: donkere huidskleur, getinte huidskleur|persoon|stel|vasthouden
